,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,BIM,alexnet,20/80,alexnet,bing,20/80,0.1802721,0.2569444444444444,0.10666666666666667
1,bing,True,BIM,alexnet,20/80,alexnet,bing,30/70,0.10344827,0.17857142857142858,0.03333333333333333
2,bing,True,BIM,alexnet,20/80,alexnet,bing,40/60,0.1292517,0.12413793103448276,0.1342281879194631
3,bing,True,BIM,alexnet,20/80,alexnet,bing,50/50,0.10921501,0.08333333333333333,0.1342281879194631
4,bing,True,BIM,alexnet,20/80,resnet,bing,20/80,0.0443686,0.09090909090909091,0.0
5,bing,True,BIM,alexnet,20/80,resnet,bing,30/70,0.030716723,0.06293706293706294,0.0
6,bing,True,BIM,alexnet,20/80,resnet,bing,40/60,0.016949153,0.027586206896551724,0.006666666666666667
7,bing,True,BIM,alexnet,20/80,resnet,bing,50/50,0.013559322,0.020689655172413793,0.006666666666666667
8,bing,True,BIM,alexnet,20/80,vgg,bing,20/80,0.030612245,0.0625,0.0
9,bing,True,BIM,alexnet,20/80,vgg,bing,30/70,0.016949153,0.034482758620689655,0.0
10,bing,True,BIM,alexnet,20/80,vgg,bing,40/60,0.010169491,0.020689655172413793,0.0
11,bing,True,BIM,alexnet,20/80,vgg,bing,50/50,0.006756757,0.0136986301369863,0.0
12,bing,True,BIM,alexnet,20/80,alexnet,google,20/80,0.15666667,0.28,0.03333333333333333
13,bing,True,BIM,alexnet,20/80,alexnet,google,30/70,0.15,0.22666666666666666,0.07333333333333333
14,bing,True,BIM,alexnet,20/80,alexnet,google,40/60,0.14333333,0.2,0.08666666666666667
15,bing,True,BIM,alexnet,20/80,alexnet,google,50/50,0.120000005,0.17333333333333334,0.06666666666666667
16,bing,True,BIM,alexnet,20/80,resnet,google,20/80,0.06666667,0.13333333333333333,0.0
17,bing,True,BIM,alexnet,20/80,resnet,google,30/70,0.060000002,0.11333333333333333,0.006666666666666667
18,bing,True,BIM,alexnet,20/80,resnet,google,40/60,0.03666667,0.06666666666666667,0.006666666666666667
19,bing,True,BIM,alexnet,20/80,resnet,google,50/50,0.023333333,0.04,0.006666666666666667
20,bing,True,BIM,alexnet,20/80,vgg,google,20/80,0.060000002,0.12,0.0
21,bing,True,BIM,alexnet,20/80,vgg,google,30/70,0.04,0.08,0.0
22,bing,True,BIM,alexnet,20/80,vgg,google,40/60,0.03666667,0.06666666666666667,0.006666666666666667
23,bing,True,BIM,alexnet,20/80,vgg,google,50/50,0.033333335,0.05333333333333334,0.013333333333333334
24,bing,True,BIM,alexnet,30/70,alexnet,bing,20/80,0.13605443,0.18055555555555555,0.09333333333333334
25,bing,True,BIM,alexnet,30/70,alexnet,bing,30/70,0.10344827,0.16428571428571428,0.04666666666666667
26,bing,True,BIM,alexnet,30/70,alexnet,bing,40/60,0.1122449,0.08275862068965517,0.14093959731543623
27,bing,True,BIM,alexnet,30/70,alexnet,bing,50/50,0.102389075,0.041666666666666664,0.1610738255033557
28,bing,True,BIM,alexnet,30/70,resnet,bing,20/80,0.027303753,0.055944055944055944,0.0
29,bing,True,BIM,alexnet,30/70,resnet,bing,30/70,0.020477815,0.04195804195804196,0.0
30,bing,True,BIM,alexnet,30/70,resnet,bing,40/60,0.020338982,0.034482758620689655,0.006666666666666667
31,bing,True,BIM,alexnet,30/70,resnet,bing,50/50,0.006779661,0.006896551724137931,0.006666666666666667
32,bing,True,BIM,alexnet,30/70,vgg,bing,20/80,0.023809522,0.04861111111111111,0.0
33,bing,True,BIM,alexnet,30/70,vgg,bing,30/70,0.013559322,0.027586206896551724,0.0
34,bing,True,BIM,alexnet,30/70,vgg,bing,40/60,0.013559322,0.020689655172413793,0.006666666666666667
35,bing,True,BIM,alexnet,30/70,vgg,bing,50/50,0.006756757,0.0136986301369863,0.0
36,bing,True,BIM,alexnet,30/70,alexnet,google,20/80,0.13333334,0.24,0.02666666666666667
37,bing,True,BIM,alexnet,30/70,alexnet,google,30/70,0.13333334,0.18666666666666668,0.08
38,bing,True,BIM,alexnet,30/70,alexnet,google,40/60,0.120000005,0.16,0.08
39,bing,True,BIM,alexnet,30/70,alexnet,google,50/50,0.10666667,0.12666666666666668,0.08666666666666667
