,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,DeepFool,alexnet,20/80,alexnet,bing,20/80,0.41016948,0.6344827586206897,0.19333333333333333
1,bing,True,DeepFool,alexnet,20/80,alexnet,bing,30/70,0.46896553,0.7785714285714286,0.18
2,bing,True,DeepFool,alexnet,20/80,alexnet,bing,40/60,0.26190475,0.2620689655172414,0.26174496644295303
3,bing,True,DeepFool,alexnet,20/80,alexnet,bing,50/50,0.17406143,0.034722222222222224,0.3087248322147651
4,bing,True,DeepFool,alexnet,20/80,resnet,bing,20/80,0.43686005,0.8881118881118881,0.006666666666666667
5,bing,True,DeepFool,alexnet,20/80,resnet,bing,30/70,0.11262798,0.18181818181818182,0.04666666666666667
6,bing,True,DeepFool,alexnet,20/80,resnet,bing,40/60,0.1118644,0.06896551724137931,0.15333333333333332
7,bing,True,DeepFool,alexnet,20/80,resnet,bing,50/50,0.10169491,0.020689655172413793,0.18
8,bing,True,DeepFool,alexnet,20/80,vgg,bing,20/80,0.43537414,0.8888888888888888,0.0
9,bing,True,DeepFool,alexnet,20/80,vgg,bing,30/70,0.08813559,0.14482758620689656,0.03333333333333333
10,bing,True,DeepFool,alexnet,20/80,vgg,bing,40/60,0.09152542,0.15172413793103448,0.03333333333333333
11,bing,True,DeepFool,alexnet,20/80,vgg,bing,50/50,0.0777027,0.10273972602739725,0.05333333333333334
12,bing,True,DeepFool,alexnet,20/80,alexnet,google,20/80,0.24666667,0.34,0.15333333333333332
13,bing,True,DeepFool,alexnet,20/80,alexnet,google,30/70,0.17333333,0.07333333333333333,0.2733333333333333
14,bing,True,DeepFool,alexnet,20/80,alexnet,google,40/60,0.17333333,0.07333333333333333,0.2733333333333333
15,bing,True,DeepFool,alexnet,20/80,alexnet,google,50/50,0.18,0.07333333333333333,0.2866666666666667
16,bing,True,DeepFool,alexnet,20/80,resnet,google,20/80,0.25666666,0.47333333333333333,0.04
17,bing,True,DeepFool,alexnet,20/80,resnet,google,30/70,0.10666667,0.16666666666666666,0.04666666666666667
18,bing,True,DeepFool,alexnet,20/80,resnet,google,40/60,0.11666667,0.06666666666666667,0.16666666666666666
19,bing,True,DeepFool,alexnet,20/80,resnet,google,50/50,0.08,0.03333333333333333,0.12666666666666668
20,bing,True,DeepFool,alexnet,20/80,vgg,google,20/80,0.27,0.5266666666666666,0.013333333333333334
21,bing,True,DeepFool,alexnet,20/80,vgg,google,30/70,0.10333334,0.18666666666666668,0.02
22,bing,True,DeepFool,alexnet,20/80,vgg,google,40/60,0.1,0.14666666666666667,0.05333333333333334
23,bing,True,DeepFool,alexnet,20/80,vgg,google,50/50,0.086666666,0.12666666666666668,0.04666666666666667
24,bing,True,DeepFool,alexnet,30/70,alexnet,bing,20/80,0.20338982,0.3448275862068966,0.06666666666666667
25,bing,True,DeepFool,alexnet,30/70,alexnet,bing,30/70,0.44827586,0.8071428571428572,0.11333333333333333
26,bing,True,DeepFool,alexnet,30/70,alexnet,bing,40/60,0.1972789,0.2482758620689655,0.1476510067114094
27,bing,True,DeepFool,alexnet,30/70,alexnet,bing,50/50,0.11262798,0.0,0.2214765100671141
28,bing,True,DeepFool,alexnet,30/70,resnet,bing,20/80,0.43686005,0.8951048951048951,0.0
29,bing,True,DeepFool,alexnet,30/70,resnet,bing,30/70,0.047781568,0.06293706293706294,0.03333333333333333
30,bing,True,DeepFool,alexnet,30/70,resnet,bing,40/60,0.061016947,0.020689655172413793,0.1
31,bing,True,DeepFool,alexnet,30/70,resnet,bing,50/50,0.06779661,0.006896551724137931,0.12666666666666668
32,bing,True,DeepFool,alexnet,30/70,vgg,bing,20/80,0.44217685,0.9027777777777778,0.0
33,bing,True,DeepFool,alexnet,30/70,vgg,bing,30/70,0.027118644,0.027586206896551724,0.02666666666666667
34,bing,True,DeepFool,alexnet,30/70,vgg,bing,40/60,0.027118644,0.020689655172413793,0.03333333333333333
35,bing,True,DeepFool,alexnet,30/70,vgg,bing,50/50,0.040540542,0.02054794520547945,0.06
36,bing,True,DeepFool,alexnet,30/70,alexnet,google,20/80,0.16,0.23333333333333334,0.08666666666666667
37,bing,True,DeepFool,alexnet,30/70,alexnet,google,30/70,0.10333334,0.02666666666666667,0.18
38,bing,True,DeepFool,alexnet,30/70,alexnet,google,40/60,0.11,0.02666666666666667,0.19333333333333333
39,bing,True,DeepFool,alexnet,30/70,alexnet,google,50/50,0.1,0.02666666666666667,0.17333333333333334
40,bing,True,DeepFool,alexnet,30/70,resnet,google,20/80,0.26666668,0.52,0.013333333333333334
41,bing,True,DeepFool,alexnet,30/70,resnet,google,30/70,0.05666667,0.08,0.03333333333333333
42,bing,True,DeepFool,alexnet,30/70,resnet,google,40/60,0.07333334,0.03333333333333333,0.11333333333333333
43,bing,True,DeepFool,alexnet,30/70,resnet,google,50/50,0.05666667,0.02666666666666667,0.08666666666666667
