,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,FGSM,alexnet,20/80,alexnet,bing,20/80,0.45238096,0.16666666666666666,0.7266666666666667
1,bing,True,FGSM,alexnet,20/80,alexnet,bing,30/70,0.3862069,0.05714285714285714,0.6933333333333334
2,bing,True,FGSM,alexnet,20/80,alexnet,bing,40/60,0.44557822,0.04827586206896552,0.8322147651006712
3,bing,True,FGSM,alexnet,20/80,alexnet,bing,50/50,0.43003413,0.0,0.8456375838926175
4,bing,True,FGSM,alexnet,20/80,resnet,bing,20/80,0.18430033,0.25874125874125875,0.11333333333333333
5,bing,True,FGSM,alexnet,20/80,resnet,bing,30/70,0.1672355,0.16783216783216784,0.16666666666666666
6,bing,True,FGSM,alexnet,20/80,resnet,bing,40/60,0.3118644,0.034482758620689655,0.58
7,bing,True,FGSM,alexnet,20/80,resnet,bing,50/50,0.32881355,0.0,0.6466666666666666
8,bing,True,FGSM,alexnet,20/80,vgg,bing,20/80,0.21428572,0.4236111111111111,0.013333333333333334
9,bing,True,FGSM,alexnet,20/80,vgg,bing,30/70,0.13220339,0.1793103448275862,0.08666666666666667
10,bing,True,FGSM,alexnet,20/80,vgg,bing,40/60,0.14576271,0.19310344827586207,0.1
11,bing,True,FGSM,alexnet,20/80,vgg,bing,50/50,0.17905405,0.11643835616438356,0.24
12,bing,True,FGSM,alexnet,20/80,alexnet,google,20/80,0.43666667,0.09333333333333334,0.78
13,bing,True,FGSM,alexnet,20/80,alexnet,google,30/70,0.45000002,0.07333333333333333,0.8266666666666667
14,bing,True,FGSM,alexnet,20/80,alexnet,google,40/60,0.46,0.08,0.84
15,bing,True,FGSM,alexnet,20/80,alexnet,google,50/50,0.41,0.06,0.76
16,bing,True,FGSM,alexnet,20/80,resnet,google,20/80,0.20666668,0.14666666666666667,0.26666666666666666
17,bing,True,FGSM,alexnet,20/80,resnet,google,30/70,0.18333334,0.14,0.22666666666666666
18,bing,True,FGSM,alexnet,20/80,resnet,google,40/60,0.33666667,0.04,0.6333333333333333
19,bing,True,FGSM,alexnet,20/80,resnet,google,50/50,0.28,0.02666666666666667,0.5333333333333333
20,bing,True,FGSM,alexnet,20/80,vgg,google,20/80,0.14666668,0.22666666666666666,0.06666666666666667
21,bing,True,FGSM,alexnet,20/80,vgg,google,30/70,0.11666667,0.12666666666666668,0.10666666666666667
22,bing,True,FGSM,alexnet,20/80,vgg,google,40/60,0.14666668,0.12666666666666668,0.16666666666666666
23,bing,True,FGSM,alexnet,20/80,vgg,google,50/50,0.15,0.12666666666666668,0.17333333333333334
24,bing,True,FGSM,alexnet,30/70,alexnet,bing,20/80,0.40816325,0.14583333333333334,0.66
