,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,20/80,0.027118644,0.0,0.05333333333333334
1,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,30/70,0.013793103,0.0,0.02666666666666667
2,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,40/60,0.037414964,0.0,0.0738255033557047
3,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,50/50,0.04095563,0.0,0.08053691275167785
4,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,20/80,0.027303753,0.04195804195804196,0.013333333333333334
5,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,30/70,0.017064845,0.013986013986013986,0.02
6,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,40/60,0.030508474,0.0,0.06
7,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,50/50,0.044067796,0.0,0.08666666666666667
8,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,20/80,0.06122449,0.11805555555555555,0.006666666666666667
9,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,30/70,0.020338982,0.027586206896551724,0.013333333333333334
10,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,40/60,0.020338982,0.027586206896551724,0.013333333333333334
11,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,50/50,0.016891893,0.0136986301369863,0.02
12,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,20/80,0.033333335,0.013333333333333334,0.05333333333333334
13,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,30/70,0.03666667,0.02,0.05333333333333334
14,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,40/60,0.046666667,0.02,0.07333333333333333
15,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,50/50,0.03666667,0.02,0.05333333333333334
16,bing,False,GaussianNoise,alexnet,20/80,resnet,google,20/80,0.03666667,0.05333333333333334,0.02
17,bing,False,GaussianNoise,alexnet,20/80,resnet,google,30/70,0.03666667,0.05333333333333334,0.02
18,bing,False,GaussianNoise,alexnet,20/80,resnet,google,40/60,0.053333335,0.02,0.08666666666666667
19,bing,False,GaussianNoise,alexnet,20/80,resnet,google,50/50,0.060000002,0.02666666666666667,0.09333333333333334
20,bing,False,GaussianNoise,alexnet,20/80,vgg,google,20/80,0.05,0.08666666666666667,0.013333333333333334
21,bing,False,GaussianNoise,alexnet,20/80,vgg,google,30/70,0.03666667,0.06,0.013333333333333334
22,bing,False,GaussianNoise,alexnet,20/80,vgg,google,40/60,0.033333335,0.05333333333333334,0.013333333333333334
23,bing,False,GaussianNoise,alexnet,20/80,vgg,google,50/50,0.033333335,0.04666666666666667,0.02
24,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,20/80,0.020338982,0.0,0.04
25,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,30/70,0.013793103,0.0,0.02666666666666667
26,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,40/60,0.034013607,0.0,0.06711409395973154
27,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,50/50,0.047781568,0.0,0.09395973154362416
28,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,20/80,0.023890784,0.03496503496503497,0.013333333333333334
