,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,InvertColor,alexnet,20/80,alexnet,bing,20/80,0.051020406,0.06944444444444445,0.03333333333333333
1,bing,False,InvertColor,alexnet,20/80,alexnet,bing,30/70,0.04137931,0.05714285714285714,0.02666666666666667
2,bing,False,InvertColor,alexnet,20/80,alexnet,bing,40/60,0.05782313,0.041379310344827586,0.0738255033557047
3,bing,False,InvertColor,alexnet,20/80,alexnet,bing,50/50,0.04095563,0.027777777777777776,0.053691275167785234
4,bing,False,InvertColor,alexnet,20/80,resnet,bing,20/80,0.010238907,0.02097902097902098,0.0
5,bing,False,InvertColor,alexnet,20/80,resnet,bing,30/70,0.0,0.0,0.0
6,bing,False,InvertColor,alexnet,20/80,resnet,bing,40/60,0.016949153,0.013793103448275862,0.02
7,bing,False,InvertColor,alexnet,20/80,resnet,bing,50/50,0.016949153,0.006896551724137931,0.02666666666666667
8,bing,False,InvertColor,alexnet,20/80,vgg,bing,20/80,0.0034013605,0.006944444444444444,0.0
9,bing,False,InvertColor,alexnet,20/80,vgg,bing,30/70,0.006779661,0.006896551724137931,0.006666666666666667
10,bing,False,InvertColor,alexnet,20/80,vgg,bing,40/60,0.006779661,0.0,0.013333333333333334
11,bing,False,InvertColor,alexnet,20/80,vgg,bing,50/50,0.013513514,0.00684931506849315,0.02
12,bing,False,InvertColor,alexnet,20/80,alexnet,google,20/80,0.09666667,0.06666666666666667,0.12666666666666668
13,bing,False,InvertColor,alexnet,20/80,alexnet,google,30/70,0.06666667,0.05333333333333334,0.08
14,bing,False,InvertColor,alexnet,20/80,alexnet,google,40/60,0.06333333,0.06,0.06666666666666667
15,bing,False,InvertColor,alexnet,20/80,alexnet,google,50/50,0.06333333,0.05333333333333334,0.07333333333333333
16,bing,False,InvertColor,alexnet,20/80,resnet,google,20/80,0.023333333,0.04,0.006666666666666667
17,bing,False,InvertColor,alexnet,20/80,resnet,google,30/70,0.026666667,0.04,0.013333333333333334
18,bing,False,InvertColor,alexnet,20/80,resnet,google,40/60,0.030000001,0.04,0.02
19,bing,False,InvertColor,alexnet,20/80,resnet,google,50/50,0.04,0.03333333333333333,0.04666666666666667
20,bing,False,InvertColor,alexnet,20/80,vgg,google,20/80,0.026666667,0.04666666666666667,0.006666666666666667
21,bing,False,InvertColor,alexnet,20/80,vgg,google,30/70,0.013333334,0.02,0.006666666666666667
22,bing,False,InvertColor,alexnet,20/80,vgg,google,40/60,0.023333333,0.02,0.02666666666666667
23,bing,False,InvertColor,alexnet,20/80,vgg,google,50/50,0.023333333,0.006666666666666667,0.04
24,bing,False,InvertColor,alexnet,30/70,alexnet,bing,20/80,0.051020406,0.06944444444444445,0.03333333333333333
25,bing,False,InvertColor,alexnet,30/70,alexnet,bing,30/70,0.04137931,0.05714285714285714,0.02666666666666667
26,bing,False,InvertColor,alexnet,30/70,alexnet,bing,40/60,0.05782313,0.041379310344827586,0.0738255033557047
27,bing,False,InvertColor,alexnet,30/70,alexnet,bing,50/50,0.04095563,0.027777777777777776,0.053691275167785234
28,bing,False,InvertColor,alexnet,30/70,resnet,bing,20/80,0.010238907,0.02097902097902098,0.0
