,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,PGD,alexnet,20/80,alexnet,bing,20/80,0.22033899,0.15172413793103448,0.2866666666666667
1,bing,True,PGD,alexnet,20/80,alexnet,bing,30/70,0.13103448,0.07142857142857142,0.18666666666666668
2,bing,True,PGD,alexnet,20/80,alexnet,bing,40/60,0.24489796,0.041379310344827586,0.4429530201342282
3,bing,True,PGD,alexnet,20/80,alexnet,bing,50/50,0.24573378,0.006944444444444444,0.47651006711409394
4,bing,True,PGD,alexnet,20/80,resnet,bing,20/80,0.08191126,0.13986013986013987,0.02666666666666667
5,bing,True,PGD,alexnet,20/80,resnet,bing,30/70,0.047781568,0.06293706293706294,0.03333333333333333
6,bing,True,PGD,alexnet,20/80,resnet,bing,40/60,0.09152542,0.006896551724137931,0.17333333333333334
7,bing,True,PGD,alexnet,20/80,resnet,bing,50/50,0.13220339,0.0,0.26
8,bing,True,PGD,alexnet,20/80,vgg,bing,20/80,0.1802721,0.3541666666666667,0.013333333333333334
9,bing,True,PGD,alexnet,20/80,vgg,bing,30/70,0.10169491,0.15172413793103448,0.05333333333333334
10,bing,True,PGD,alexnet,20/80,vgg,bing,40/60,0.08813559,0.11724137931034483,0.06
11,bing,True,PGD,alexnet,20/80,vgg,bing,50/50,0.081081085,0.0684931506849315,0.09333333333333334
12,bing,True,PGD,alexnet,20/80,alexnet,google,20/80,0.21333334,0.11333333333333333,0.31333333333333335
13,bing,True,PGD,alexnet,20/80,alexnet,google,30/70,0.24666667,0.1,0.3933333333333333
14,bing,True,PGD,alexnet,20/80,alexnet,google,40/60,0.26000002,0.08666666666666667,0.43333333333333335
15,bing,True,PGD,alexnet,20/80,alexnet,google,50/50,0.23,0.07333333333333333,0.38666666666666666
16,bing,True,PGD,alexnet,20/80,resnet,google,20/80,0.07666667,0.08666666666666667,0.06666666666666667
17,bing,True,PGD,alexnet,20/80,resnet,google,30/70,0.06333333,0.09333333333333334,0.03333333333333333
18,bing,True,PGD,alexnet,20/80,resnet,google,40/60,0.13333334,0.04,0.22666666666666666
