,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,RFGSM,alexnet,20/80,alexnet,bing,20/80,0.1802721,0.25,0.11333333333333333
1,bing,True,RFGSM,alexnet,20/80,alexnet,bing,30/70,0.096551724,0.15714285714285714,0.04
2,bing,True,RFGSM,alexnet,20/80,alexnet,bing,40/60,0.12244898,0.12413793103448276,0.12080536912751678
3,bing,True,RFGSM,alexnet,20/80,alexnet,bing,50/50,0.09215017,0.05555555555555555,0.12751677852348994
4,bing,True,RFGSM,alexnet,20/80,resnet,bing,20/80,0.03754266,0.07692307692307693,0.0
5,bing,True,RFGSM,alexnet,20/80,resnet,bing,30/70,0.030716723,0.06293706293706294,0.0
6,bing,True,RFGSM,alexnet,20/80,resnet,bing,40/60,0.016949153,0.027586206896551724,0.006666666666666667
7,bing,True,RFGSM,alexnet,20/80,resnet,bing,50/50,0.010169491,0.013793103448275862,0.006666666666666667
8,bing,True,RFGSM,alexnet,20/80,vgg,bing,20/80,0.034013607,0.06944444444444445,0.0
9,bing,True,RFGSM,alexnet,20/80,vgg,bing,30/70,0.013559322,0.027586206896551724,0.0
10,bing,True,RFGSM,alexnet,20/80,vgg,bing,40/60,0.010169491,0.013793103448275862,0.006666666666666667
11,bing,True,RFGSM,alexnet,20/80,vgg,bing,50/50,0.010135136,0.02054794520547945,0.0
12,bing,True,RFGSM,alexnet,20/80,alexnet,google,20/80,0.16,0.2733333333333333,0.04666666666666667
13,bing,True,RFGSM,alexnet,20/80,alexnet,google,30/70,0.15,0.21333333333333335,0.08666666666666667
14,bing,True,RFGSM,alexnet,20/80,alexnet,google,40/60,0.13666667,0.2,0.07333333333333333
15,bing,True,RFGSM,alexnet,20/80,alexnet,google,50/50,0.11333334,0.17333333333333334,0.05333333333333334
16,bing,True,RFGSM,alexnet,20/80,resnet,google,20/80,0.06666667,0.13333333333333333,0.0
17,bing,True,RFGSM,alexnet,20/80,resnet,google,30/70,0.060000002,0.11333333333333333,0.006666666666666667
18,bing,True,RFGSM,alexnet,20/80,resnet,google,40/60,0.03666667,0.06,0.013333333333333334
19,bing,True,RFGSM,alexnet,20/80,resnet,google,50/50,0.02,0.03333333333333333,0.006666666666666667
20,bing,True,RFGSM,alexnet,20/80,vgg,google,20/80,0.05666667,0.11333333333333333,0.0
21,bing,True,RFGSM,alexnet,20/80,vgg,google,30/70,0.03666667,0.07333333333333333,0.0
22,bing,True,RFGSM,alexnet,20/80,vgg,google,40/60,0.03666667,0.06666666666666667,0.006666666666666667
23,bing,True,RFGSM,alexnet,20/80,vgg,google,50/50,0.026666667,0.04666666666666667,0.006666666666666667
24,bing,True,RFGSM,alexnet,30/70,alexnet,bing,20/80,0.14965986,0.1736111111111111,0.12666666666666668
25,bing,True,RFGSM,alexnet,30/70,alexnet,bing,30/70,0.093103446,0.15714285714285714,0.03333333333333333
26,bing,True,RFGSM,alexnet,30/70,alexnet,bing,40/60,0.105442174,0.08275862068965517,0.12751677852348994
27,bing,True,RFGSM,alexnet,30/70,alexnet,bing,50/50,0.095563136,0.041666666666666664,0.1476510067114094
28,bing,True,RFGSM,alexnet,30/70,resnet,bing,20/80,0.03412969,0.06993006993006994,0.0
29,bing,True,RFGSM,alexnet,30/70,resnet,bing,30/70,0.013651877,0.027972027972027972,0.0
30,bing,True,RFGSM,alexnet,30/70,resnet,bing,40/60,0.016949153,0.027586206896551724,0.006666666666666667
31,bing,True,RFGSM,alexnet,30/70,resnet,bing,50/50,0.006779661,0.006896551724137931,0.006666666666666667
32,bing,True,RFGSM,alexnet,30/70,vgg,bing,20/80,0.027210884,0.05555555555555555,0.0
33,bing,True,RFGSM,alexnet,30/70,vgg,bing,30/70,0.016949153,0.034482758620689655,0.0
34,bing,True,RFGSM,alexnet,30/70,vgg,bing,40/60,0.010169491,0.020689655172413793,0.0
35,bing,True,RFGSM,alexnet,30/70,vgg,bing,50/50,0.006756757,0.0136986301369863,0.0
36,bing,True,RFGSM,alexnet,30/70,alexnet,google,20/80,0.13666667,0.23333333333333334,0.04
37,bing,True,RFGSM,alexnet,30/70,alexnet,google,30/70,0.15,0.19333333333333333,0.10666666666666667
38,bing,True,RFGSM,alexnet,30/70,alexnet,google,40/60,0.11,0.16,0.06
39,bing,True,RFGSM,alexnet,30/70,alexnet,google,50/50,0.10333334,0.12,0.08666666666666667
40,bing,True,RFGSM,alexnet,30/70,resnet,google,20/80,0.060000002,0.12,0.0
41,bing,True,RFGSM,alexnet,30/70,resnet,google,30/70,0.04,0.07333333333333333,0.006666666666666667
42,bing,True,RFGSM,alexnet,30/70,resnet,google,40/60,0.03666667,0.06666666666666667,0.006666666666666667
43,bing,True,RFGSM,alexnet,30/70,resnet,google,50/50,0.023333333,0.04,0.006666666666666667
44,bing,True,RFGSM,alexnet,30/70,vgg,google,20/80,0.06333333,0.12666666666666668,0.0
45,bing,True,RFGSM,alexnet,30/70,vgg,google,30/70,0.04,0.08,0.0
46,bing,True,RFGSM,alexnet,30/70,vgg,google,40/60,0.030000001,0.05333333333333334,0.006666666666666667
47,bing,True,RFGSM,alexnet,30/70,vgg,google,50/50,0.030000001,0.05333333333333334,0.006666666666666667
48,bing,True,RFGSM,alexnet,40/60,alexnet,bing,20/80,0.16666666,0.2361111111111111,0.1
49,bing,True,RFGSM,alexnet,40/60,alexnet,bing,30/70,0.113793105,0.18571428571428572,0.04666666666666667
50,bing,True,RFGSM,alexnet,40/60,alexnet,bing,40/60,0.14965986,0.13793103448275862,0.1610738255033557
51,bing,True,RFGSM,alexnet,40/60,alexnet,bing,50/50,0.1331058,0.09722222222222222,0.16778523489932887
52,bing,True,RFGSM,alexnet,40/60,resnet,bing,20/80,0.051194537,0.1048951048951049,0.0
53,bing,True,RFGSM,alexnet,40/60,resnet,bing,30/70,0.030716723,0.06293706293706294,0.0
54,bing,True,RFGSM,alexnet,40/60,resnet,bing,40/60,0.020338982,0.034482758620689655,0.006666666666666667
55,bing,True,RFGSM,alexnet,40/60,resnet,bing,50/50,0.020338982,0.027586206896551724,0.013333333333333334
56,bing,True,RFGSM,alexnet,40/60,vgg,bing,20/80,0.051020406,0.10416666666666667,0.0
57,bing,True,RFGSM,alexnet,40/60,vgg,bing,30/70,0.023728814,0.04827586206896552,0.0
58,bing,True,RFGSM,alexnet,40/60,vgg,bing,40/60,0.013559322,0.027586206896551724,0.0
59,bing,True,RFGSM,alexnet,40/60,vgg,bing,50/50,0.010135136,0.02054794520547945,0.0
60,bing,True,RFGSM,alexnet,40/60,alexnet,google,20/80,0.17666668,0.30666666666666664,0.04666666666666667
61,bing,True,RFGSM,alexnet,40/60,alexnet,google,30/70,0.15,0.22,0.08
62,bing,True,RFGSM,alexnet,40/60,alexnet,google,40/60,0.14333333,0.21333333333333335,0.07333333333333333
63,bing,True,RFGSM,alexnet,40/60,alexnet,google,50/50,0.120000005,0.16666666666666666,0.07333333333333333
64,bing,True,RFGSM,alexnet,40/60,resnet,google,20/80,0.07666667,0.15333333333333332,0.0
65,bing,True,RFGSM,alexnet,40/60,resnet,google,30/70,0.053333335,0.1,0.006666666666666667
66,bing,True,RFGSM,alexnet,40/60,resnet,google,40/60,0.04,0.07333333333333333,0.006666666666666667
67,bing,True,RFGSM,alexnet,40/60,resnet,google,50/50,0.03666667,0.06,0.013333333333333334
68,bing,True,RFGSM,alexnet,40/60,vgg,google,20/80,0.07666667,0.15333333333333332,0.0
69,bing,True,RFGSM,alexnet,40/60,vgg,google,30/70,0.04,0.08,0.0
70,bing,True,RFGSM,alexnet,40/60,vgg,google,40/60,0.033333335,0.06666666666666667,0.0
71,bing,True,RFGSM,alexnet,40/60,vgg,google,50/50,0.026666667,0.05333333333333334,0.0
72,bing,True,RFGSM,alexnet,50/50,alexnet,bing,20/80,0.17006803,0.2361111111111111,0.10666666666666667
73,bing,True,RFGSM,alexnet,50/50,alexnet,bing,30/70,0.11724138,0.18571428571428572,0.05333333333333334
74,bing,True,RFGSM,alexnet,50/50,alexnet,bing,40/60,0.13605443,0.1310344827586207,0.14093959731543623
75,bing,True,RFGSM,alexnet,50/50,alexnet,bing,50/50,0.13993174,0.08333333333333333,0.19463087248322147
76,bing,True,RFGSM,alexnet,50/50,resnet,bing,20/80,0.03754266,0.07692307692307693,0.0
77,bing,True,RFGSM,alexnet,50/50,resnet,bing,30/70,0.0443686,0.08391608391608392,0.006666666666666667
78,bing,True,RFGSM,alexnet,50/50,resnet,bing,40/60,0.023728814,0.041379310344827586,0.006666666666666667
79,bing,True,RFGSM,alexnet,50/50,resnet,bing,50/50,0.020338982,0.027586206896551724,0.013333333333333334
80,bing,True,RFGSM,alexnet,50/50,vgg,bing,20/80,0.047619045,0.09722222222222222,0.0
81,bing,True,RFGSM,alexnet,50/50,vgg,bing,30/70,0.027118644,0.05517241379310345,0.0
82,bing,True,RFGSM,alexnet,50/50,vgg,bing,40/60,0.020338982,0.034482758620689655,0.006666666666666667
83,bing,True,RFGSM,alexnet,50/50,vgg,bing,50/50,0.010135136,0.02054794520547945,0.0
84,bing,True,RFGSM,alexnet,50/50,alexnet,google,20/80,0.16,0.26666666666666666,0.05333333333333334
85,bing,True,RFGSM,alexnet,50/50,alexnet,google,30/70,0.14666668,0.20666666666666667,0.08666666666666667
86,bing,True,RFGSM,alexnet,50/50,alexnet,google,40/60,0.16,0.22666666666666666,0.09333333333333334
