,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,20/80,0.044217687,0.09027777777777778,0.0
1,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,30/70,0.020689655,0.04285714285714286,0.0
2,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,40/60,0.0034013605,0.0,0.006711409395973154
3,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,50/50,0.010238907,0.013888888888888888,0.006711409395973154
4,bing,False,SaltPepper,alexnet,20/80,resnet,bing,20/80,0.013651877,0.027972027972027972,0.0
5,bing,False,SaltPepper,alexnet,20/80,resnet,bing,30/70,0.010238907,0.02097902097902098,0.0
6,bing,False,SaltPepper,alexnet,20/80,resnet,bing,40/60,0.006779661,0.013793103448275862,0.0
7,bing,False,SaltPepper,alexnet,20/80,resnet,bing,50/50,0.013559322,0.0,0.02666666666666667
8,bing,False,SaltPepper,alexnet,20/80,vgg,bing,20/80,0.010204081,0.020833333333333332,0.0
9,bing,False,SaltPepper,alexnet,20/80,vgg,bing,30/70,0.006779661,0.013793103448275862,0.0
10,bing,False,SaltPepper,alexnet,20/80,vgg,bing,40/60,0.006779661,0.013793103448275862,0.0
11,bing,False,SaltPepper,alexnet,20/80,vgg,bing,50/50,0.0033783785,0.00684931506849315,0.0
12,bing,False,SaltPepper,alexnet,20/80,alexnet,google,20/80,0.05666667,0.11333333333333333,0.0
13,bing,False,SaltPepper,alexnet,20/80,alexnet,google,30/70,0.033333335,0.06666666666666667,0.0
14,bing,False,SaltPepper,alexnet,20/80,alexnet,google,40/60,0.03666667,0.06666666666666667,0.006666666666666667
15,bing,False,SaltPepper,alexnet,20/80,alexnet,google,50/50,0.016666668,0.03333333333333333,0.0
16,bing,False,SaltPepper,alexnet,20/80,resnet,google,20/80,0.033333335,0.06666666666666667,0.0
17,bing,False,SaltPepper,alexnet,20/80,resnet,google,30/70,0.026666667,0.05333333333333334,0.0
18,bing,False,SaltPepper,alexnet,20/80,resnet,google,40/60,0.02,0.04,0.0
19,bing,False,SaltPepper,alexnet,20/80,resnet,google,50/50,0.030000001,0.02,0.04
20,bing,False,SaltPepper,alexnet,20/80,vgg,google,20/80,0.04,0.08,0.0
21,bing,False,SaltPepper,alexnet,20/80,vgg,google,30/70,0.023333333,0.04666666666666667,0.0
22,bing,False,SaltPepper,alexnet,20/80,vgg,google,40/60,0.023333333,0.04666666666666667,0.0
23,bing,False,SaltPepper,alexnet,20/80,vgg,google,50/50,0.016666668,0.03333333333333333,0.0
24,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,20/80,0.017006803,0.034722222222222224,0.0
25,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,30/70,0.04137931,0.08571428571428572,0.0
26,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,40/60,0.040816326,0.0,0.08053691275167785
27,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,50/50,0.013651877,0.0,0.026845637583892617
28,bing,False,SaltPepper,alexnet,30/70,resnet,bing,20/80,0.027303753,0.055944055944055944,0.0
29,bing,False,SaltPepper,alexnet,30/70,resnet,bing,30/70,0.03754266,0.06993006993006994,0.006666666666666667
30,bing,False,SaltPepper,alexnet,30/70,resnet,bing,40/60,0.010169491,0.013793103448275862,0.006666666666666667
31,bing,False,SaltPepper,alexnet,30/70,resnet,bing,50/50,0.1118644,0.0,0.22
32,bing,False,SaltPepper,alexnet,30/70,vgg,bing,20/80,0.047619045,0.09722222222222222,0.0
33,bing,False,SaltPepper,alexnet,30/70,vgg,bing,30/70,0.027118644,0.027586206896551724,0.02666666666666667
34,bing,False,SaltPepper,alexnet,30/70,vgg,bing,40/60,0.040677965,0.027586206896551724,0.05333333333333334
35,bing,False,SaltPepper,alexnet,30/70,vgg,bing,50/50,0.054054055,0.02054794520547945,0.08666666666666667
36,bing,False,SaltPepper,alexnet,30/70,alexnet,google,20/80,0.043333333,0.08666666666666667,0.0
37,bing,False,SaltPepper,alexnet,30/70,alexnet,google,30/70,0.030000001,0.04666666666666667,0.013333333333333334
38,bing,False,SaltPepper,alexnet,30/70,alexnet,google,40/60,0.030000001,0.02,0.04
39,bing,False,SaltPepper,alexnet,30/70,alexnet,google,50/50,0.046666667,0.02,0.07333333333333333
40,bing,False,SaltPepper,alexnet,30/70,resnet,google,20/80,0.05666667,0.1,0.013333333333333334
41,bing,False,SaltPepper,alexnet,30/70,resnet,google,30/70,0.053333335,0.09333333333333334,0.013333333333333334
42,bing,False,SaltPepper,alexnet,30/70,resnet,google,40/60,0.033333335,0.04,0.02666666666666667
43,bing,False,SaltPepper,alexnet,30/70,resnet,google,50/50,0.120000005,0.013333333333333334,0.22666666666666666
44,bing,False,SaltPepper,alexnet,30/70,vgg,google,20/80,0.043333333,0.08,0.006666666666666667
45,bing,False,SaltPepper,alexnet,30/70,vgg,google,30/70,0.046666667,0.06666666666666667,0.02666666666666667
46,bing,False,SaltPepper,alexnet,30/70,vgg,google,40/60,0.093333334,0.05333333333333334,0.13333333333333333
47,bing,False,SaltPepper,alexnet,30/70,vgg,google,50/50,0.07,0.04666666666666667,0.09333333333333334
48,bing,False,SaltPepper,alexnet,40/60,alexnet,bing,20/80,0.017006803,0.034722222222222224,0.0
49,bing,False,SaltPepper,alexnet,40/60,alexnet,bing,30/70,0.04137931,0.08571428571428572,0.0
50,bing,False,SaltPepper,alexnet,40/60,alexnet,bing,40/60,0.040816326,0.0,0.08053691275167785
51,bing,False,SaltPepper,alexnet,40/60,alexnet,bing,50/50,0.013651877,0.0,0.026845637583892617
52,bing,False,SaltPepper,alexnet,40/60,resnet,bing,20/80,0.027303753,0.055944055944055944,0.0
53,bing,False,SaltPepper,alexnet,40/60,resnet,bing,30/70,0.03754266,0.06993006993006994,0.006666666666666667
54,bing,False,SaltPepper,alexnet,40/60,resnet,bing,40/60,0.010169491,0.013793103448275862,0.006666666666666667
55,bing,False,SaltPepper,alexnet,40/60,resnet,bing,50/50,0.1118644,0.0,0.22
56,bing,False,SaltPepper,alexnet,40/60,vgg,bing,20/80,0.047619045,0.09722222222222222,0.0
57,bing,False,SaltPepper,alexnet,40/60,vgg,bing,30/70,0.027118644,0.027586206896551724,0.02666666666666667
58,bing,False,SaltPepper,alexnet,40/60,vgg,bing,40/60,0.040677965,0.027586206896551724,0.05333333333333334
59,bing,False,SaltPepper,alexnet,40/60,vgg,bing,50/50,0.054054055,0.02054794520547945,0.08666666666666667
60,bing,False,SaltPepper,alexnet,40/60,alexnet,google,20/80,0.043333333,0.08666666666666667,0.0
61,bing,False,SaltPepper,alexnet,40/60,alexnet,google,30/70,0.030000001,0.04666666666666667,0.013333333333333334
62,bing,False,SaltPepper,alexnet,40/60,alexnet,google,40/60,0.030000001,0.02,0.04
63,bing,False,SaltPepper,alexnet,40/60,alexnet,google,50/50,0.046666667,0.02,0.07333333333333333
64,bing,False,SaltPepper,alexnet,40/60,resnet,google,20/80,0.05666667,0.1,0.013333333333333334
65,bing,False,SaltPepper,alexnet,40/60,resnet,google,30/70,0.053333335,0.09333333333333334,0.013333333333333334
66,bing,False,SaltPepper,alexnet,40/60,resnet,google,40/60,0.033333335,0.04,0.02666666666666667
67,bing,False,SaltPepper,alexnet,40/60,resnet,google,50/50,0.120000005,0.013333333333333334,0.22666666666666666
