,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,20/80,0.0033898305,0.006896551724137931,0.0
1,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,30/70,0.0034482758,0.007142857142857143,0.0
2,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,40/60,0.0,0.0,0.0
3,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,50/50,0.0034129692,0.0,0.006711409395973154
4,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,20/80,0.0,0.0,0.0
5,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,30/70,0.0,0.0,0.0
6,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,40/60,0.0,0.0,0.0
7,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,50/50,0.0033898305,0.0,0.006666666666666667
8,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,20/80,0.0,0.0,0.0
9,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,30/70,0.0,0.0,0.0
10,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,40/60,0.0,0.0,0.0
11,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,50/50,0.0,0.0,0.0
12,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,20/80,0.03666667,0.07333333333333333,0.0
13,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,30/70,0.023333333,0.04666666666666667,0.0
14,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,40/60,0.016666668,0.02666666666666667,0.006666666666666667
15,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,50/50,0.016666668,0.03333333333333333,0.0
16,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,20/80,0.023333333,0.04666666666666667,0.0
17,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,30/70,0.016666668,0.03333333333333333,0.0
18,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,40/60,0.013333334,0.02666666666666667,0.0
19,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,50/50,0.01,0.013333333333333334,0.006666666666666667
20,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,20/80,0.016666668,0.03333333333333333,0.0
21,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,30/70,0.016666668,0.03333333333333333,0.0
22,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,40/60,0.02,0.03333333333333333,0.006666666666666667
23,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,50/50,0.016666668,0.02666666666666667,0.006666666666666667
24,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,20/80,0.0033898305,0.006896551724137931,0.0
25,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,30/70,0.0034482758,0.007142857142857143,0.0
26,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,40/60,0.0,0.0,0.0
27,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,50/50,0.0034129692,0.0,0.006711409395973154
28,bing,False,SplitMergeRGB,alexnet,30/70,resnet,bing,20/80,0.0,0.0,0.0
29,bing,False,SplitMergeRGB,alexnet,30/70,resnet,bing,30/70,0.0,0.0,0.0
30,bing,False,SplitMergeRGB,alexnet,30/70,resnet,bing,40/60,0.0,0.0,0.0
31,bing,False,SplitMergeRGB,alexnet,30/70,resnet,bing,50/50,0.0033898305,0.0,0.006666666666666667
32,bing,False,SplitMergeRGB,alexnet,30/70,vgg,bing,20/80,0.0,0.0,0.0
33,bing,False,SplitMergeRGB,alexnet,30/70,vgg,bing,30/70,0.0,0.0,0.0
34,bing,False,SplitMergeRGB,alexnet,30/70,vgg,bing,40/60,0.0,0.0,0.0
35,bing,False,SplitMergeRGB,alexnet,30/70,vgg,bing,50/50,0.0,0.0,0.0
36,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,google,20/80,0.03666667,0.07333333333333333,0.0
37,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,google,30/70,0.023333333,0.04666666666666667,0.0
38,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,google,40/60,0.016666668,0.02666666666666667,0.006666666666666667
39,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,google,50/50,0.016666668,0.03333333333333333,0.0
40,bing,False,SplitMergeRGB,alexnet,30/70,resnet,google,20/80,0.023333333,0.04666666666666667,0.0
41,bing,False,SplitMergeRGB,alexnet,30/70,resnet,google,30/70,0.016666668,0.03333333333333333,0.0
42,bing,False,SplitMergeRGB,alexnet,30/70,resnet,google,40/60,0.013333334,0.02666666666666667,0.0
43,bing,False,SplitMergeRGB,alexnet,30/70,resnet,google,50/50,0.01,0.013333333333333334,0.006666666666666667
44,bing,False,SplitMergeRGB,alexnet,30/70,vgg,google,20/80,0.016666668,0.03333333333333333,0.0
45,bing,False,SplitMergeRGB,alexnet,30/70,vgg,google,30/70,0.016666668,0.03333333333333333,0.0
46,bing,False,SplitMergeRGB,alexnet,30/70,vgg,google,40/60,0.02,0.03333333333333333,0.006666666666666667
47,bing,False,SplitMergeRGB,alexnet,30/70,vgg,google,50/50,0.016666668,0.02666666666666667,0.006666666666666667
48,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,bing,20/80,0.0033898305,0.006896551724137931,0.0
49,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,bing,30/70,0.0034482758,0.007142857142857143,0.0
50,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,bing,40/60,0.0,0.0,0.0
51,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,bing,50/50,0.0034129692,0.0,0.006711409395973154
52,bing,False,SplitMergeRGB,alexnet,40/60,resnet,bing,20/80,0.0,0.0,0.0
53,bing,False,SplitMergeRGB,alexnet,40/60,resnet,bing,30/70,0.0,0.0,0.0
54,bing,False,SplitMergeRGB,alexnet,40/60,resnet,bing,40/60,0.0,0.0,0.0
55,bing,False,SplitMergeRGB,alexnet,40/60,resnet,bing,50/50,0.0033898305,0.0,0.006666666666666667
56,bing,False,SplitMergeRGB,alexnet,40/60,vgg,bing,20/80,0.0,0.0,0.0
57,bing,False,SplitMergeRGB,alexnet,40/60,vgg,bing,30/70,0.0,0.0,0.0
58,bing,False,SplitMergeRGB,alexnet,40/60,vgg,bing,40/60,0.0,0.0,0.0
59,bing,False,SplitMergeRGB,alexnet,40/60,vgg,bing,50/50,0.0,0.0,0.0
60,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,google,20/80,0.03666667,0.07333333333333333,0.0
61,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,google,30/70,0.023333333,0.04666666666666667,0.0
62,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,google,40/60,0.016666668,0.02666666666666667,0.006666666666666667
63,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,google,50/50,0.016666668,0.03333333333333333,0.0
64,bing,False,SplitMergeRGB,alexnet,40/60,resnet,google,20/80,0.023333333,0.04666666666666667,0.0
65,bing,False,SplitMergeRGB,alexnet,40/60,resnet,google,30/70,0.016666668,0.03333333333333333,0.0
66,bing,False,SplitMergeRGB,alexnet,40/60,resnet,google,40/60,0.013333334,0.02666666666666667,0.0
67,bing,False,SplitMergeRGB,alexnet,40/60,resnet,google,50/50,0.01,0.013333333333333334,0.006666666666666667
68,bing,False,SplitMergeRGB,alexnet,40/60,vgg,google,20/80,0.016666668,0.03333333333333333,0.0
69,bing,False,SplitMergeRGB,alexnet,40/60,vgg,google,30/70,0.016666668,0.03333333333333333,0.0
70,bing,False,SplitMergeRGB,alexnet,40/60,vgg,google,40/60,0.02,0.03333333333333333,0.006666666666666667
71,bing,False,SplitMergeRGB,alexnet,40/60,vgg,google,50/50,0.016666668,0.02666666666666667,0.006666666666666667
72,bing,False,SplitMergeRGB,alexnet,50/50,alexnet,bing,20/80,0.0033898305,0.006896551724137931,0.0
73,bing,False,SplitMergeRGB,alexnet,50/50,alexnet,bing,30/70,0.0034482758,0.007142857142857143,0.0
74,bing,False,SplitMergeRGB,alexnet,50/50,alexnet,bing,40/60,0.0,0.0,0.0
75,bing,False,SplitMergeRGB,alexnet,50/50,alexnet,bing,50/50,0.0034129692,0.0,0.006711409395973154
76,bing,False,SplitMergeRGB,alexnet,50/50,resnet,bing,20/80,0.0,0.0,0.0
77,bing,False,SplitMergeRGB,alexnet,50/50,resnet,bing,30/70,0.0,0.0,0.0
78,bing,False,SplitMergeRGB,alexnet,50/50,resnet,bing,40/60,0.0,0.0,0.0
79,bing,False,SplitMergeRGB,alexnet,50/50,resnet,bing,50/50,0.0033898305,0.0,0.006666666666666667
80,bing,False,SplitMergeRGB,alexnet,50/50,vgg,bing,20/80,0.0,0.0,0.0
81,bing,False,SplitMergeRGB,alexnet,50/50,vgg,bing,30/70,0.0,0.0,0.0
