,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,Square,alexnet,20/80,alexnet,bing,20/80,0.21694915,0.36551724137931035,0.07333333333333333
1,bing,True,Square,alexnet,20/80,alexnet,bing,30/70,0.1724138,0.14285714285714285,0.2
2,bing,True,Square,alexnet,20/80,alexnet,bing,40/60,0.21768707,0.08275862068965517,0.348993288590604
3,bing,True,Square,alexnet,20/80,alexnet,bing,50/50,0.2764505,0.027777777777777776,0.5167785234899329
4,bing,True,Square,alexnet,20/80,resnet,bing,20/80,0.18430033,0.36363636363636365,0.013333333333333334
5,bing,True,Square,alexnet,20/80,resnet,bing,30/70,0.19453925,0.16083916083916083,0.22666666666666666
6,bing,True,Square,alexnet,20/80,resnet,bing,40/60,0.17288135,0.0896551724137931,0.25333333333333335
7,bing,True,Square,alexnet,20/80,resnet,bing,50/50,0.2881356,0.013793103448275862,0.5533333333333333
8,bing,True,Square,alexnet,20/80,vgg,bing,20/80,0.30612245,0.05555555555555555,0.5466666666666666
9,bing,True,Square,alexnet,20/80,vgg,bing,30/70,0.32542372,0.006896551724137931,0.6333333333333333
10,bing,True,Square,alexnet,20/80,vgg,bing,40/60,0.3322034,0.013793103448275862,0.64
11,bing,True,Square,alexnet,20/80,vgg,bing,50/50,0.3310811,0.00684931506849315,0.6466666666666666
12,bing,True,Square,alexnet,20/80,alexnet,google,20/80,0.23,0.09333333333333334,0.36666666666666664
13,bing,True,Square,alexnet,20/80,alexnet,google,30/70,0.23,0.04666666666666667,0.41333333333333333
14,bing,True,Square,alexnet,20/80,alexnet,google,40/60,0.27,0.05333333333333334,0.4866666666666667
15,bing,True,Square,alexnet,20/80,alexnet,google,50/50,0.25333333,0.05333333333333334,0.4533333333333333
16,bing,True,Square,alexnet,20/80,resnet,google,20/80,0.28666666,0.24666666666666667,0.32666666666666666
17,bing,True,Square,alexnet,20/80,resnet,google,30/70,0.29666668,0.08,0.5133333333333333
18,bing,True,Square,alexnet,20/80,resnet,google,40/60,0.31,0.08666666666666667,0.5333333333333333
19,bing,True,Square,alexnet,20/80,resnet,google,50/50,0.31666666,0.03333333333333333,0.6
20,bing,True,Square,alexnet,20/80,vgg,google,20/80,0.34,0.04666666666666667,0.6333333333333333
21,bing,True,Square,alexnet,20/80,vgg,google,30/70,0.34333333,0.04,0.6466666666666666
22,bing,True,Square,alexnet,20/80,vgg,google,40/60,0.34,0.03333333333333333,0.6466666666666666
23,bing,True,Square,alexnet,20/80,vgg,google,50/50,0.34,0.03333333333333333,0.6466666666666666
24,bing,True,Square,alexnet,30/70,alexnet,bing,20/80,0.2,0.3724137931034483,0.03333333333333333
25,bing,True,Square,alexnet,30/70,alexnet,bing,30/70,0.23793103,0.3357142857142857,0.14666666666666667
