,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,20/80,0.5966102,0.5172413793103449,0.6733333333333333
1,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,30/70,0.54137933,0.45714285714285713,0.62
2,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,40/60,0.56122446,0.32413793103448274,0.7919463087248322
3,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,50/50,0.5017065,0.20833333333333334,0.785234899328859
4,bing,True,TIFGSM,alexnet,20/80,resnet,bing,20/80,0.095563136,0.1958041958041958,0.0
5,bing,True,TIFGSM,alexnet,20/80,resnet,bing,30/70,0.06825938,0.11888111888111888,0.02
6,bing,True,TIFGSM,alexnet,20/80,resnet,bing,40/60,0.037288137,0.027586206896551724,0.04666666666666667
7,bing,True,TIFGSM,alexnet,20/80,resnet,bing,50/50,0.040677965,0.027586206896551724,0.05333333333333334
8,bing,True,TIFGSM,alexnet,20/80,vgg,bing,20/80,0.06122449,0.1111111111111111,0.013333333333333334
9,bing,True,TIFGSM,alexnet,20/80,vgg,bing,30/70,0.040677965,0.04827586206896552,0.03333333333333333
10,bing,True,TIFGSM,alexnet,20/80,vgg,bing,40/60,0.037288137,0.034482758620689655,0.04
11,bing,True,TIFGSM,alexnet,20/80,vgg,bing,50/50,0.030405406,0.02054794520547945,0.04
12,bing,True,TIFGSM,alexnet,20/80,alexnet,google,20/80,0.51,0.44,0.58
13,bing,True,TIFGSM,alexnet,20/80,alexnet,google,30/70,0.56,0.38,0.74
14,bing,True,TIFGSM,alexnet,20/80,alexnet,google,40/60,0.51666665,0.35333333333333333,0.68
15,bing,True,TIFGSM,alexnet,20/80,alexnet,google,50/50,0.51,0.30666666666666664,0.7133333333333334
16,bing,True,TIFGSM,alexnet,20/80,resnet,google,20/80,0.10666667,0.18,0.03333333333333333
17,bing,True,TIFGSM,alexnet,20/80,resnet,google,30/70,0.07,0.13333333333333333,0.006666666666666667
18,bing,True,TIFGSM,alexnet,20/80,resnet,google,40/60,0.06333333,0.07333333333333333,0.05333333333333334
19,bing,True,TIFGSM,alexnet,20/80,resnet,google,50/50,0.053333335,0.06,0.04666666666666667
20,bing,True,TIFGSM,alexnet,20/80,vgg,google,20/80,0.06333333,0.12,0.006666666666666667
21,bing,True,TIFGSM,alexnet,20/80,vgg,google,30/70,0.05666667,0.07333333333333333,0.04
22,bing,True,TIFGSM,alexnet,20/80,vgg,google,40/60,0.05666667,0.06666666666666667,0.04666666666666667
23,bing,True,TIFGSM,alexnet,20/80,vgg,google,50/50,0.053333335,0.06666666666666667,0.04
24,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,20/80,0.4474576,0.3586206896551724,0.5333333333333333
25,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,30/70,0.50689656,0.4142857142857143,0.5933333333333334
26,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,40/60,0.48979592,0.21379310344827587,0.7583892617449665
27,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,50/50,0.47440273,0.1527777777777778,0.785234899328859
28,bing,True,TIFGSM,alexnet,30/70,resnet,bing,20/80,0.061433446,0.1258741258741259,0.0
29,bing,True,TIFGSM,alexnet,30/70,resnet,bing,30/70,0.04095563,0.07692307692307693,0.006666666666666667
30,bing,True,TIFGSM,alexnet,30/70,resnet,bing,40/60,0.033898305,0.020689655172413793,0.04666666666666667
31,bing,True,TIFGSM,alexnet,30/70,resnet,bing,50/50,0.027118644,0.006896551724137931,0.04666666666666667
32,bing,True,TIFGSM,alexnet,30/70,vgg,bing,20/80,0.034013607,0.05555555555555555,0.013333333333333334
33,bing,True,TIFGSM,alexnet,30/70,vgg,bing,30/70,0.013559322,0.013793103448275862,0.013333333333333334
34,bing,True,TIFGSM,alexnet,30/70,vgg,bing,40/60,0.020338982,0.013793103448275862,0.02666666666666667
35,bing,True,TIFGSM,alexnet,30/70,vgg,bing,50/50,0.016891893,0.0136986301369863,0.02
36,bing,True,TIFGSM,alexnet,30/70,alexnet,google,20/80,0.43333334,0.35333333333333333,0.5133333333333333
37,bing,True,TIFGSM,alexnet,30/70,alexnet,google,30/70,0.51,0.30666666666666664,0.7133333333333334
38,bing,True,TIFGSM,alexnet,30/70,alexnet,google,40/60,0.44333336,0.24,0.6466666666666666
39,bing,True,TIFGSM,alexnet,30/70,alexnet,google,50/50,0.4466667,0.20666666666666667,0.6866666666666666
40,bing,True,TIFGSM,alexnet,30/70,resnet,google,20/80,0.06666667,0.12,0.013333333333333334
41,bing,True,TIFGSM,alexnet,30/70,resnet,google,30/70,0.046666667,0.08666666666666667,0.006666666666666667
42,bing,True,TIFGSM,alexnet,30/70,resnet,google,40/60,0.053333335,0.05333333333333334,0.05333333333333334
43,bing,True,TIFGSM,alexnet,30/70,resnet,google,50/50,0.043333333,0.04,0.04666666666666667
44,bing,True,TIFGSM,alexnet,30/70,vgg,google,20/80,0.060000002,0.10666666666666667,0.013333333333333334
45,bing,True,TIFGSM,alexnet,30/70,vgg,google,30/70,0.04,0.06666666666666667,0.013333333333333334
46,bing,True,TIFGSM,alexnet,30/70,vgg,google,40/60,0.053333335,0.06666666666666667,0.04
47,bing,True,TIFGSM,alexnet,30/70,vgg,google,50/50,0.04,0.04,0.04
48,bing,True,TIFGSM,alexnet,40/60,alexnet,bing,20/80,0.5694915,0.4413793103448276,0.6933333333333334
49,bing,True,TIFGSM,alexnet,40/60,alexnet,bing,30/70,0.5689655,0.45714285714285713,0.6733333333333333
50,bing,True,TIFGSM,alexnet,40/60,alexnet,bing,40/60,0.5952381,0.32413793103448274,0.8590604026845637
51,bing,True,TIFGSM,alexnet,40/60,alexnet,bing,50/50,0.5631399,0.24305555555555555,0.87248322147651
52,bing,True,TIFGSM,alexnet,40/60,resnet,bing,20/80,0.09215017,0.1888111888111888,0.0
53,bing,True,TIFGSM,alexnet,40/60,resnet,bing,30/70,0.06484641,0.11888111888111888,0.013333333333333334
54,bing,True,TIFGSM,alexnet,40/60,resnet,bing,40/60,0.037288137,0.020689655172413793,0.05333333333333334
55,bing,True,TIFGSM,alexnet,40/60,resnet,bing,50/50,0.050847456,0.027586206896551724,0.07333333333333333
56,bing,True,TIFGSM,alexnet,40/60,vgg,bing,20/80,0.07482993,0.13194444444444445,0.02
57,bing,True,TIFGSM,alexnet,40/60,vgg,bing,30/70,0.054237287,0.06896551724137931,0.04
58,bing,True,TIFGSM,alexnet,40/60,vgg,bing,40/60,0.050847456,0.06206896551724138,0.04
59,bing,True,TIFGSM,alexnet,40/60,vgg,bing,50/50,0.033783786,0.02054794520547945,0.04666666666666667
60,bing,True,TIFGSM,alexnet,40/60,alexnet,google,20/80,0.5266667,0.4266666666666667,0.6266666666666667
61,bing,True,TIFGSM,alexnet,40/60,alexnet,google,30/70,0.59000003,0.3933333333333333,0.7866666666666666
62,bing,True,TIFGSM,alexnet,40/60,alexnet,google,40/60,0.54333335,0.3333333333333333,0.7533333333333333
63,bing,True,TIFGSM,alexnet,40/60,alexnet,google,50/50,0.5366667,0.3,0.7733333333333333
64,bing,True,TIFGSM,alexnet,40/60,resnet,google,20/80,0.083333336,0.16,0.006666666666666667
65,bing,True,TIFGSM,alexnet,40/60,resnet,google,30/70,0.060000002,0.11333333333333333,0.006666666666666667
66,bing,True,TIFGSM,alexnet,40/60,resnet,google,40/60,0.05666667,0.06666666666666667,0.04666666666666667
67,bing,True,TIFGSM,alexnet,40/60,resnet,google,50/50,0.05666667,0.06,0.05333333333333334
68,bing,True,TIFGSM,alexnet,40/60,vgg,google,20/80,0.07,0.12666666666666668,0.013333333333333334
69,bing,True,TIFGSM,alexnet,40/60,vgg,google,30/70,0.05,0.08,0.02
70,bing,True,TIFGSM,alexnet,40/60,vgg,google,40/60,0.053333335,0.06666666666666667,0.04
71,bing,True,TIFGSM,alexnet,40/60,vgg,google,50/50,0.043333333,0.06,0.02666666666666667
72,bing,True,TIFGSM,alexnet,50/50,alexnet,bing,20/80,0.5084746,0.4206896551724138,0.5933333333333334
73,bing,True,TIFGSM,alexnet,50/50,alexnet,bing,30/70,0.49655172,0.42142857142857143,0.5666666666666667
74,bing,True,TIFGSM,alexnet,50/50,alexnet,bing,40/60,0.5238095,0.2689655172413793,0.7718120805369127
75,bing,True,TIFGSM,alexnet,50/50,alexnet,bing,50/50,0.552901,0.25,0.8456375838926175
76,bing,True,TIFGSM,alexnet,50/50,resnet,bing,20/80,0.0887372,0.17482517482517482,0.006666666666666667
77,bing,True,TIFGSM,alexnet,50/50,resnet,bing,30/70,0.07167235,0.1258741258741259,0.02
78,bing,True,TIFGSM,alexnet,50/50,resnet,bing,40/60,0.047457628,0.041379310344827586,0.05333333333333334
79,bing,True,TIFGSM,alexnet,50/50,resnet,bing,50/50,0.05762712,0.041379310344827586,0.07333333333333333
80,bing,True,TIFGSM,alexnet,50/50,vgg,bing,20/80,0.07142857,0.125,0.02
81,bing,True,TIFGSM,alexnet,50/50,vgg,bing,30/70,0.06779661,0.0896551724137931,0.04666666666666667
82,bing,True,TIFGSM,alexnet,50/50,vgg,bing,40/60,0.054237287,0.06896551724137931,0.04
83,bing,True,TIFGSM,alexnet,50/50,vgg,bing,50/50,0.037162162,0.0273972602739726,0.04666666666666667
84,bing,True,TIFGSM,alexnet,50/50,alexnet,google,20/80,0.42666668,0.37333333333333335,0.48
85,bing,True,TIFGSM,alexnet,50/50,alexnet,google,30/70,0.55,0.36666666666666664,0.7333333333333333
86,bing,True,TIFGSM,alexnet,50/50,alexnet,google,40/60,0.51,0.34,0.68
87,bing,True,TIFGSM,alexnet,50/50,alexnet,google,50/50,0.5233334,0.32666666666666666,0.72
88,bing,True,TIFGSM,alexnet,50/50,resnet,google,20/80,0.09,0.14666666666666667,0.03333333333333333
89,bing,True,TIFGSM,alexnet,50/50,resnet,google,30/70,0.07333334,0.14,0.006666666666666667
90,bing,True,TIFGSM,alexnet,50/50,resnet,google,40/60,0.06333333,0.06666666666666667,0.06
91,bing,True,TIFGSM,alexnet,50/50,resnet,google,50/50,0.053333335,0.04666666666666667,0.06
92,bing,True,TIFGSM,alexnet,50/50,vgg,google,20/80,0.08,0.13333333333333333,0.02666666666666667
93,bing,True,TIFGSM,alexnet,50/50,vgg,google,30/70,0.06666667,0.1,0.03333333333333333
94,bing,True,TIFGSM,alexnet,50/50,vgg,google,40/60,0.05666667,0.08,0.03333333333333333
95,bing,True,TIFGSM,alexnet,50/50,vgg,google,50/50,0.05,0.07333333333333333,0.02666666666666667
96,bing,True,TIFGSM,resnet,20/80,alexnet,bing,20/80,0.054237287,0.06896551724137931,0.04
97,bing,True,TIFGSM,resnet,20/80,alexnet,bing,30/70,0.037931032,0.05714285714285714,0.02
98,bing,True,TIFGSM,resnet,20/80,alexnet,bing,40/60,0.047619045,0.006896551724137931,0.087248322147651
99,bing,True,TIFGSM,resnet,20/80,alexnet,bing,50/50,0.0443686,0.0,0.087248322147651
100,bing,True,TIFGSM,resnet,20/80,resnet,bing,20/80,0.5017065,0.5314685314685315,0.47333333333333333
101,bing,True,TIFGSM,resnet,20/80,resnet,bing,30/70,0.3549488,0.3776223776223776,0.3333333333333333
102,bing,True,TIFGSM,resnet,20/80,resnet,bing,40/60,0.37288135,0.22758620689655173,0.5133333333333333
103,bing,True,TIFGSM,resnet,20/80,resnet,bing,50/50,0.36610168,0.2,0.5266666666666666
104,bing,True,TIFGSM,resnet,20/80,vgg,bing,20/80,0.11904762,0.18055555555555555,0.06
105,bing,True,TIFGSM,resnet,20/80,vgg,bing,30/70,0.10169491,0.06896551724137931,0.13333333333333333
106,bing,True,TIFGSM,resnet,20/80,vgg,bing,40/60,0.11525424,0.10344827586206896,0.12666666666666668
107,bing,True,TIFGSM,resnet,20/80,vgg,bing,50/50,0.104729734,0.0547945205479452,0.15333333333333332
108,bing,True,TIFGSM,resnet,20/80,alexnet,google,20/80,0.05,0.08,0.02
109,bing,True,TIFGSM,resnet,20/80,alexnet,google,30/70,0.060000002,0.06666666666666667,0.05333333333333334
110,bing,True,TIFGSM,resnet,20/80,alexnet,google,40/60,0.060000002,0.05333333333333334,0.06666666666666667
111,bing,True,TIFGSM,resnet,20/80,alexnet,google,50/50,0.05,0.04666666666666667,0.05333333333333334
112,bing,True,TIFGSM,resnet,20/80,resnet,google,20/80,0.45666668,0.4666666666666667,0.44666666666666666
113,bing,True,TIFGSM,resnet,20/80,resnet,google,30/70,0.32333335,0.37333333333333335,0.2733333333333333
114,bing,True,TIFGSM,resnet,20/80,resnet,google,40/60,0.35333335,0.22666666666666666,0.48
115,bing,True,TIFGSM,resnet,20/80,resnet,google,50/50,0.32666668,0.21333333333333335,0.44
116,bing,True,TIFGSM,resnet,20/80,vgg,google,20/80,0.120000005,0.18,0.06
117,bing,True,TIFGSM,resnet,20/80,vgg,google,30/70,0.093333334,0.1,0.08666666666666667
118,bing,True,TIFGSM,resnet,20/80,vgg,google,40/60,0.11,0.08666666666666667,0.13333333333333333
119,bing,True,TIFGSM,resnet,20/80,vgg,google,50/50,0.120000005,0.08,0.16
120,bing,True,TIFGSM,resnet,30/70,alexnet,bing,20/80,0.040677965,0.041379310344827586,0.04
121,bing,True,TIFGSM,resnet,30/70,alexnet,bing,30/70,0.044827588,0.06428571428571428,0.02666666666666667
122,bing,True,TIFGSM,resnet,30/70,alexnet,bing,40/60,0.040816326,0.006896551724137931,0.0738255033557047
123,bing,True,TIFGSM,resnet,30/70,alexnet,bing,50/50,0.06484641,0.006944444444444444,0.12080536912751678
124,bing,True,TIFGSM,resnet,30/70,resnet,bing,20/80,0.334471,0.45454545454545453,0.22
125,bing,True,TIFGSM,resnet,30/70,resnet,bing,30/70,0.50511944,0.46853146853146854,0.54
126,bing,True,TIFGSM,resnet,30/70,resnet,bing,40/60,0.3898305,0.2827586206896552,0.49333333333333335
127,bing,True,TIFGSM,resnet,30/70,resnet,bing,50/50,0.4033898,0.25517241379310346,0.5466666666666666
128,bing,True,TIFGSM,resnet,30/70,vgg,bing,20/80,0.1462585,0.2152777777777778,0.08
129,bing,True,TIFGSM,resnet,30/70,vgg,bing,30/70,0.11525424,0.06896551724137931,0.16
130,bing,True,TIFGSM,resnet,30/70,vgg,bing,40/60,0.12542373,0.09655172413793103,0.15333333333333332
131,bing,True,TIFGSM,resnet,30/70,vgg,bing,50/50,0.11486487,0.04794520547945205,0.18
132,bing,True,TIFGSM,resnet,30/70,alexnet,google,20/80,0.06333333,0.10666666666666667,0.02
133,bing,True,TIFGSM,resnet,30/70,alexnet,google,30/70,0.053333335,0.06,0.04666666666666667
134,bing,True,TIFGSM,resnet,30/70,alexnet,google,40/60,0.05,0.05333333333333334,0.04666666666666667
135,bing,True,TIFGSM,resnet,30/70,alexnet,google,50/50,0.060000002,0.04666666666666667,0.07333333333333333
136,bing,True,TIFGSM,resnet,30/70,resnet,google,20/80,0.31,0.38666666666666666,0.23333333333333334
137,bing,True,TIFGSM,resnet,30/70,resnet,google,30/70,0.43666667,0.4533333333333333,0.42
138,bing,True,TIFGSM,resnet,30/70,resnet,google,40/60,0.37333333,0.26666666666666666,0.48
139,bing,True,TIFGSM,resnet,30/70,resnet,google,50/50,0.34,0.22,0.46
140,bing,True,TIFGSM,resnet,30/70,vgg,google,20/80,0.11666667,0.18666666666666668,0.04666666666666667
141,bing,True,TIFGSM,resnet,30/70,vgg,google,30/70,0.10333334,0.08666666666666667,0.12
142,bing,True,TIFGSM,resnet,30/70,vgg,google,40/60,0.11666667,0.08,0.15333333333333332
143,bing,True,TIFGSM,resnet,30/70,vgg,google,50/50,0.11666667,0.06,0.17333333333333334
144,bing,True,TIFGSM,resnet,40/60,alexnet,bing,20/80,0.061016947,0.06896551724137931,0.05333333333333334
145,bing,True,TIFGSM,resnet,40/60,alexnet,bing,30/70,0.037931032,0.05,0.02666666666666667
146,bing,True,TIFGSM,resnet,40/60,alexnet,bing,40/60,0.054421768,0.006896551724137931,0.10067114093959731
147,bing,True,TIFGSM,resnet,40/60,alexnet,bing,50/50,0.058020476,0.006944444444444444,0.10738255033557047
148,bing,True,TIFGSM,resnet,40/60,resnet,bing,20/80,0.39590442,0.4755244755244755,0.32
149,bing,True,TIFGSM,resnet,40/60,resnet,bing,30/70,0.44709897,0.42657342657342656,0.4666666666666667
150,bing,True,TIFGSM,resnet,40/60,resnet,bing,40/60,0.58305085,0.4068965517241379,0.7533333333333333
151,bing,True,TIFGSM,resnet,40/60,resnet,bing,50/50,0.5118644,0.33793103448275863,0.68
152,bing,True,TIFGSM,resnet,40/60,vgg,bing,20/80,0.1462585,0.20833333333333334,0.08666666666666667
153,bing,True,TIFGSM,resnet,40/60,vgg,bing,30/70,0.14576271,0.12413793103448276,0.16666666666666666
154,bing,True,TIFGSM,resnet,40/60,vgg,bing,40/60,0.18305084,0.1724137931034483,0.19333333333333333
155,bing,True,TIFGSM,resnet,40/60,vgg,bing,50/50,0.1418919,0.0821917808219178,0.2
156,bing,True,TIFGSM,resnet,40/60,alexnet,google,20/80,0.06666667,0.11333333333333333,0.02
157,bing,True,TIFGSM,resnet,40/60,alexnet,google,30/70,0.07,0.06666666666666667,0.07333333333333333
158,bing,True,TIFGSM,resnet,40/60,alexnet,google,40/60,0.06333333,0.06,0.06666666666666667
