,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,BIM,alexnet,20/80,alexnet,bing,20/80,0.50735295,0.8048780487804879,0.26174496644295303
1,bing,True,BIM,alexnet,20/80,alexnet,bing,30/70,0.5176056,0.6934306569343066,0.35374149659863946
2,bing,True,BIM,alexnet,20/80,alexnet,bing,40/60,0.57342654,0.7446808510638298,0.4068965517241379
3,bing,True,BIM,alexnet,20/80,alexnet,bing,50/50,0.5176056,0.6906474820143885,0.35172413793103446
4,bing,True,BIM,alexnet,20/80,resnet,bing,20/80,0.19791667,0.31654676258992803,0.087248322147651
5,bing,True,BIM,alexnet,20/80,resnet,bing,30/70,0.22727272,0.37681159420289856,0.08783783783783784
6,bing,True,BIM,alexnet,20/80,resnet,bing,40/60,0.21799308,0.3076923076923077,0.13013698630136986
7,bing,True,BIM,alexnet,20/80,resnet,bing,50/50,0.18275861,0.2222222222222222,0.14383561643835616
8,bing,True,BIM,alexnet,20/80,vgg,bing,20/80,0.23958333,0.38571428571428573,0.10135135135135136
9,bing,True,BIM,alexnet,20/80,vgg,bing,30/70,0.2682927,0.4676258992805755,0.08108108108108109
10,bing,True,BIM,alexnet,20/80,vgg,bing,40/60,0.27303752,0.3931034482758621,0.1554054054054054
11,bing,True,BIM,alexnet,20/80,vgg,bing,50/50,0.22945206,0.3219178082191781,0.136986301369863
12,bing,True,BIM,alexnet,20/80,alexnet,google,20/80,0.5566667,0.74,0.37333333333333335
13,bing,True,BIM,alexnet,20/80,alexnet,google,30/70,0.5233334,0.6066666666666667,0.44
14,bing,True,BIM,alexnet,20/80,alexnet,google,40/60,0.56,0.6666666666666666,0.4533333333333333
15,bing,True,BIM,alexnet,20/80,alexnet,google,50/50,0.56,0.6066666666666667,0.5133333333333333
16,bing,True,BIM,alexnet,20/80,resnet,google,20/80,0.21666667,0.34,0.09333333333333334
17,bing,True,BIM,alexnet,20/80,resnet,google,30/70,0.23333333,0.34,0.12666666666666668
18,bing,True,BIM,alexnet,20/80,resnet,google,40/60,0.22333334,0.25333333333333335,0.19333333333333333
19,bing,True,BIM,alexnet,20/80,resnet,google,50/50,0.21333334,0.26666666666666666,0.16
20,bing,True,BIM,alexnet,20/80,vgg,google,20/80,0.27666667,0.4266666666666667,0.12666666666666668
21,bing,True,BIM,alexnet,20/80,vgg,google,30/70,0.26333335,0.36666666666666664,0.16
