,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,DeepFool,alexnet,20/80,alexnet,bing,20/80,0.46153846,0.8870967741935484,0.10738255033557047
1,bing,True,DeepFool,alexnet,20/80,alexnet,bing,30/70,0.44483986,0.7037037037037037,0.2054794520547945
2,bing,True,DeepFool,alexnet,20/80,alexnet,bing,40/60,0.50877196,0.7762237762237763,0.23943661971830985
3,bing,True,DeepFool,alexnet,20/80,alexnet,bing,50/50,0.5244755,0.8723404255319149,0.18620689655172415
4,bing,True,DeepFool,alexnet,20/80,resnet,bing,20/80,0.3137931,0.6099290780141844,0.03355704697986577
5,bing,True,DeepFool,alexnet,20/80,resnet,bing,30/70,0.31118882,0.6376811594202898,0.006756756756756757
6,bing,True,DeepFool,alexnet,20/80,resnet,bing,40/60,0.32871974,0.6013986013986014,0.06164383561643835
7,bing,True,DeepFool,alexnet,20/80,resnet,bing,50/50,0.21724138,0.3194444444444444,0.11643835616438356
8,bing,True,DeepFool,alexnet,20/80,vgg,bing,20/80,0.45833334,0.9428571428571428,0.0
9,bing,True,DeepFool,alexnet,20/80,vgg,bing,30/70,0.31010452,0.6330935251798561,0.006756756756756757
10,bing,True,DeepFool,alexnet,20/80,vgg,bing,40/60,0.22525597,0.42758620689655175,0.02702702702702703
11,bing,True,DeepFool,alexnet,20/80,vgg,bing,50/50,0.13356164,0.2054794520547945,0.06164383561643835
12,bing,True,DeepFool,alexnet,20/80,alexnet,google,20/80,0.55333334,0.92,0.18666666666666668
13,bing,True,DeepFool,alexnet,20/80,alexnet,google,30/70,0.31333333,0.35333333333333333,0.2733333333333333
14,bing,True,DeepFool,alexnet,20/80,alexnet,google,40/60,0.49333334,0.7066666666666667,0.28
15,bing,True,DeepFool,alexnet,20/80,alexnet,google,50/50,0.54333335,0.72,0.36666666666666664
16,bing,True,DeepFool,alexnet,20/80,resnet,google,20/80,0.44333336,0.8733333333333333,0.013333333333333334
17,bing,True,DeepFool,alexnet,20/80,resnet,google,30/70,0.27,0.5,0.04
18,bing,True,DeepFool,alexnet,20/80,resnet,google,40/60,0.16,0.14,0.18
19,bing,True,DeepFool,alexnet,20/80,resnet,google,50/50,0.16666667,0.16,0.17333333333333334
20,bing,True,DeepFool,alexnet,20/80,vgg,google,20/80,0.46,0.9066666666666666,0.013333333333333334
21,bing,True,DeepFool,alexnet,20/80,vgg,google,30/70,0.28,0.5333333333333333,0.02666666666666667
22,bing,True,DeepFool,alexnet,20/80,vgg,google,40/60,0.22333334,0.38,0.06666666666666667
23,bing,True,DeepFool,alexnet,20/80,vgg,google,50/50,0.13666667,0.18666666666666668,0.08666666666666667
24,bing,True,DeepFool,alexnet,30/70,alexnet,bing,20/80,0.15018316,0.20161290322580644,0.10738255033557047
25,bing,True,DeepFool,alexnet,30/70,alexnet,bing,30/70,0.5836299,1.0,0.19863013698630136
26,bing,True,DeepFool,alexnet,30/70,alexnet,bing,40/60,0.5859649,0.9230769230769231,0.24647887323943662
27,bing,True,DeepFool,alexnet,30/70,alexnet,bing,50/50,0.5629371,0.9858156028368794,0.15172413793103448
28,bing,True,DeepFool,alexnet,30/70,resnet,bing,20/80,0.25172412,0.5035460992907801,0.013422818791946308
29,bing,True,DeepFool,alexnet,30/70,resnet,bing,30/70,0.22727272,0.4420289855072464,0.02702702702702703
30,bing,True,DeepFool,alexnet,30/70,resnet,bing,40/60,0.49826992,0.9230769230769231,0.0821917808219178
31,bing,True,DeepFool,alexnet,30/70,resnet,bing,50/50,0.16896552,0.22916666666666666,0.1095890410958904
32,bing,True,DeepFool,alexnet,30/70,vgg,bing,20/80,0.47916666,0.9857142857142858,0.0
33,bing,True,DeepFool,alexnet,30/70,vgg,bing,30/70,0.31707317,0.6474820143884892,0.006756756756756757
34,bing,True,DeepFool,alexnet,30/70,vgg,bing,40/60,0.11262798,0.2,0.02702702702702703
35,bing,True,DeepFool,alexnet,30/70,vgg,bing,50/50,0.07876712,0.08904109589041095,0.0684931506849315
36,bing,True,DeepFool,alexnet,30/70,alexnet,google,20/80,0.5466667,0.9133333333333333,0.18
37,bing,True,DeepFool,alexnet,30/70,alexnet,google,30/70,0.46666667,0.64,0.29333333333333333
38,bing,True,DeepFool,alexnet,30/70,alexnet,google,40/60,0.5566667,0.8533333333333334,0.26
39,bing,True,DeepFool,alexnet,30/70,alexnet,google,50/50,0.6,0.8733333333333333,0.32666666666666666
40,bing,True,DeepFool,alexnet,30/70,resnet,google,20/80,0.50333333,0.98,0.02666666666666667
41,bing,True,DeepFool,alexnet,30/70,resnet,google,30/70,0.31666666,0.58,0.05333333333333334
42,bing,True,DeepFool,alexnet,30/70,resnet,google,40/60,0.26333335,0.31333333333333335,0.21333333333333335
43,bing,True,DeepFool,alexnet,30/70,resnet,google,50/50,0.14333333,0.09333333333333334,0.19333333333333333
44,bing,True,DeepFool,alexnet,30/70,vgg,google,20/80,0.48666668,0.9666666666666667,0.006666666666666667
45,bing,True,DeepFool,alexnet,30/70,vgg,google,30/70,0.24333334,0.4533333333333333,0.03333333333333333
46,bing,True,DeepFool,alexnet,30/70,vgg,google,40/60,0.1,0.16,0.04
47,bing,True,DeepFool,alexnet,30/70,vgg,google,50/50,0.07,0.05333333333333334,0.08666666666666667
48,bing,True,DeepFool,alexnet,40/60,alexnet,bing,20/80,0.17948718,0.29838709677419356,0.08053691275167785
49,bing,True,DeepFool,alexnet,40/60,alexnet,bing,30/70,0.57651246,0.9851851851851852,0.19863013698630136
50,bing,True,DeepFool,alexnet,40/60,alexnet,bing,40/60,0.6035088,1.0,0.20422535211267606
51,bing,True,DeepFool,alexnet,40/60,alexnet,bing,50/50,0.5629371,1.0,0.13793103448275862
52,bing,True,DeepFool,alexnet,40/60,resnet,bing,20/80,0.2,0.3971631205673759,0.013422818791946308
53,bing,True,DeepFool,alexnet,40/60,resnet,bing,30/70,0.05944056,0.10869565217391304,0.013513513513513514
54,bing,True,DeepFool,alexnet,40/60,resnet,bing,40/60,0.50865054,0.993006993006993,0.03424657534246575
