,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,FGSM,alexnet,20/80,alexnet,bing,20/80,0.13000001,0.14,0.12080537
1,bing,True,FGSM,alexnet,20/80,alexnet,bing,30/70,0.1,0.1,0.10067114
2,bing,True,FGSM,alexnet,20/80,alexnet,bing,40/60,0.083333336,0.08,0.087248325
3,bing,True,FGSM,alexnet,20/80,alexnet,bing,50/50,0.07333334,0.06666667,0.08053692
4,bing,True,FGSM,alexnet,20/80,resnet,bing,20/80,0.046666667,0.04,0.053691275
5,bing,True,FGSM,alexnet,20/80,resnet,bing,30/70,0.05,0.06666667,0.033557046
6,bing,True,FGSM,alexnet,20/80,resnet,bing,40/60,0.046666667,0.033333335,0.060402684
7,bing,True,FGSM,alexnet,20/80,resnet,bing,50/50,0.03666667,0.033333335,0.04026846
8,bing,True,FGSM,alexnet,20/80,vgg,bing,20/80,0.046666667,0.053333335,0.04026846
9,bing,True,FGSM,alexnet,20/80,vgg,bing,30/70,0.043333333,0.053333335,0.033557046
10,bing,True,FGSM,alexnet,20/80,vgg,bing,40/60,0.026666667,0.033333335,0.02013423
11,bing,True,FGSM,alexnet,20/80,vgg,bing,50/50,0.026666667,0.033333335,0.02013423
12,bing,True,FGSM,alexnet,20/80,alexnet,google,20/80,0.1,0.11333334,0.087248325
13,bing,True,FGSM,alexnet,20/80,alexnet,google,30/70,0.07666667,0.07333334,0.08053692
14,bing,True,FGSM,alexnet,20/80,alexnet,google,40/60,0.07666667,0.06666667,0.087248325
15,bing,True,FGSM,alexnet,20/80,alexnet,google,50/50,0.07,0.1,0.04026846
16,bing,True,FGSM,alexnet,20/80,resnet,google,20/80,0.046666667,0.07333334,0.02013423
17,bing,True,FGSM,alexnet,20/80,resnet,google,30/70,0.04,0.04,0.04026846
18,bing,True,FGSM,alexnet,20/80,resnet,google,40/60,0.04,0.033333335,0.046979867
19,bing,True,FGSM,alexnet,20/80,resnet,google,50/50,0.033333335,0.026666667,0.04026846
20,bing,True,FGSM,alexnet,20/80,vgg,google,20/80,0.03666667,0.04,0.033557046
21,bing,True,FGSM,alexnet,20/80,vgg,google,30/70,0.043333333,0.053333335,0.033557046
22,bing,True,FGSM,alexnet,20/80,vgg,google,40/60,0.033333335,0.02,0.046979867
23,bing,True,FGSM,alexnet,20/80,vgg,google,50/50,0.026666667,0.013333334,0.033557046
24,bing,True,FGSM,alexnet,30/70,alexnet,bing,20/80,0.12666667,0.13333334,0.12080537
25,bing,True,FGSM,alexnet,30/70,alexnet,bing,30/70,0.093333334,0.1,0.087248325
26,bing,True,FGSM,alexnet,30/70,alexnet,bing,40/60,0.083333336,0.086666666,0.08053692
27,bing,True,FGSM,alexnet,30/70,alexnet,bing,50/50,0.06666667,0.060000002,0.0738255
28,bing,True,FGSM,alexnet,30/70,resnet,bing,20/80,0.046666667,0.04,0.053691275
29,bing,True,FGSM,alexnet,30/70,resnet,bing,30/70,0.053333335,0.06666667,0.04026846
30,bing,True,FGSM,alexnet,30/70,resnet,bing,40/60,0.043333333,0.033333335,0.053691275
31,bing,True,FGSM,alexnet,30/70,resnet,bing,50/50,0.03666667,0.033333335,0.04026846
32,bing,True,FGSM,alexnet,30/70,vgg,bing,20/80,0.043333333,0.04,0.046979867
33,bing,True,FGSM,alexnet,30/70,vgg,bing,30/70,0.05,0.060000002,0.04026846
34,bing,True,FGSM,alexnet,30/70,vgg,bing,40/60,0.033333335,0.046666667,0.02013423
35,bing,True,FGSM,alexnet,30/70,vgg,bing,50/50,0.026666667,0.033333335,0.02013423
36,bing,True,FGSM,alexnet,30/70,alexnet,google,20/80,0.086666666,0.10666667,0.06711409
