,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,20/80,0.102564104,0.1935483870967742,0.026845637583892617
1,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,30/70,0.09608541,0.17037037037037037,0.0273972602739726
2,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,40/60,0.08070175,0.15384615384615385,0.007042253521126761
3,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,50/50,0.09090909,0.16312056737588654,0.020689655172413793
4,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,20/80,0.048275862,0.07801418439716312,0.020134228187919462
5,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,30/70,0.108391605,0.21739130434782608,0.006756756756756757
6,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,40/60,0.06228374,0.08391608391608392,0.0410958904109589
7,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,50/50,0.04137931,0.027777777777777776,0.0547945205479452
8,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,20/80,0.13194445,0.25,0.02027027027027027
9,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,30/70,0.12543555,0.22302158273381295,0.033783783783783786
10,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,40/60,0.102389075,0.1103448275862069,0.0945945945945946
11,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,50/50,0.07191781,0.06164383561643835,0.0821917808219178
12,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,20/80,0.15,0.28,0.02
13,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,30/70,0.093333334,0.14666666666666667,0.04
14,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,40/60,0.083333336,0.12,0.04666666666666667
15,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,50/50,0.09,0.12666666666666668,0.05333333333333334
16,bing,False,GaussianNoise,alexnet,20/80,resnet,google,20/80,0.1,0.19333333333333333,0.006666666666666667
17,bing,False,GaussianNoise,alexnet,20/80,resnet,google,30/70,0.09,0.16666666666666666,0.013333333333333334
18,bing,False,GaussianNoise,alexnet,20/80,resnet,google,40/60,0.07333334,0.04666666666666667,0.1
19,bing,False,GaussianNoise,alexnet,20/80,resnet,google,50/50,0.07333334,0.07333333333333333,0.07333333333333333
20,bing,False,GaussianNoise,alexnet,20/80,vgg,google,20/80,0.22333334,0.43333333333333335,0.013333333333333334
21,bing,False,GaussianNoise,alexnet,20/80,vgg,google,30/70,0.15,0.26,0.04
22,bing,False,GaussianNoise,alexnet,20/80,vgg,google,40/60,0.09666667,0.13333333333333333,0.06
23,bing,False,GaussianNoise,alexnet,20/80,vgg,google,50/50,0.083333336,0.06666666666666667,0.1
24,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,20/80,0.09157509,0.16129032258064516,0.03355704697986577
25,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,30/70,0.071174376,0.13333333333333333,0.0136986301369863
26,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,40/60,0.08070175,0.13986013986013987,0.02112676056338028
27,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,50/50,0.08741259,0.14184397163120568,0.034482758620689655
28,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,20/80,0.08275862,0.1347517730496454,0.03355704697986577
29,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,30/70,0.1013986,0.2028985507246377,0.006756756756756757
30,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,40/60,0.048442908,0.06993006993006994,0.0273972602739726
31,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,50/50,0.044827588,0.020833333333333332,0.0684931506849315
32,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,20/80,0.11805556,0.21428571428571427,0.02702702702702703
33,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,30/70,0.1184669,0.20863309352517986,0.033783783783783786
34,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,40/60,0.10921501,0.1103448275862069,0.10810810810810811
35,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,50/50,0.0890411,0.0684931506849315,0.1095890410958904
36,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,20/80,0.13000001,0.22,0.04
37,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,30/70,0.086666666,0.14,0.03333333333333333
38,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,40/60,0.086666666,0.12,0.05333333333333334
39,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,50/50,0.09666667,0.12666666666666668,0.06666666666666667
40,bing,False,GaussianNoise,alexnet,30/70,resnet,google,20/80,0.12666667,0.25333333333333335,0.0
41,bing,False,GaussianNoise,alexnet,30/70,resnet,google,30/70,0.10333334,0.2,0.006666666666666667
42,bing,False,GaussianNoise,alexnet,30/70,resnet,google,40/60,0.083333336,0.04666666666666667,0.12
43,bing,False,GaussianNoise,alexnet,30/70,resnet,google,50/50,0.053333335,0.03333333333333333,0.07333333333333333
44,bing,False,GaussianNoise,alexnet,30/70,vgg,google,20/80,0.2,0.4,0.0
45,bing,False,GaussianNoise,alexnet,30/70,vgg,google,30/70,0.13666667,0.24666666666666667,0.02666666666666667
46,bing,False,GaussianNoise,alexnet,30/70,vgg,google,40/60,0.09666667,0.11333333333333333,0.08
47,bing,False,GaussianNoise,alexnet,30/70,vgg,google,50/50,0.083333336,0.06666666666666667,0.1
48,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,20/80,0.102564104,0.18548387096774194,0.03355704697986577
49,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,30/70,0.06049822,0.1037037037037037,0.02054794520547945
50,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,40/60,0.08070175,0.14685314685314685,0.014084507042253521
51,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,50/50,0.07692307,0.1347517730496454,0.020689655172413793
52,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,20/80,0.06896552,0.12056737588652482,0.020134228187919462
53,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,30/70,0.09440559,0.18840579710144928,0.006756756756756757
54,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,40/60,0.06228374,0.11188811188811189,0.0136986301369863
55,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,50/50,0.044827588,0.027777777777777776,0.06164383561643835
56,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,20/80,0.121527776,0.24285714285714285,0.006756756756756757
57,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,30/70,0.108013935,0.19424460431654678,0.02702702702702703
58,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,40/60,0.095563136,0.11724137931034483,0.07432432432432433
59,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,50/50,0.07534246,0.0821917808219178,0.0684931506849315
60,bing,False,GaussianNoise,alexnet,40/60,alexnet,google,20/80,0.14,0.24666666666666667,0.03333333333333333
61,bing,False,GaussianNoise,alexnet,40/60,alexnet,google,30/70,0.093333334,0.15333333333333332,0.03333333333333333
62,bing,False,GaussianNoise,alexnet,40/60,alexnet,google,40/60,0.083333336,0.11333333333333333,0.05333333333333334
63,bing,False,GaussianNoise,alexnet,40/60,alexnet,google,50/50,0.08,0.10666666666666667,0.05333333333333334
64,bing,False,GaussianNoise,alexnet,40/60,resnet,google,20/80,0.11333334,0.22666666666666666,0.0
65,bing,False,GaussianNoise,alexnet,40/60,resnet,google,30/70,0.10333334,0.18666666666666668,0.02
66,bing,False,GaussianNoise,alexnet,40/60,resnet,google,40/60,0.07333334,0.04666666666666667,0.1
