,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,GreyScale,alexnet,20/80,alexnet,bing,20/80,0.066176474,0.13008130081300814,0.013422818791946308
1,bing,False,GreyScale,alexnet,20/80,alexnet,bing,30/70,0.038732395,0.051094890510948905,0.027210884353741496
2,bing,False,GreyScale,alexnet,20/80,alexnet,bing,40/60,0.038461536,0.05673758865248227,0.020689655172413793
3,bing,False,GreyScale,alexnet,20/80,alexnet,bing,50/50,0.04225352,0.07194244604316546,0.013793103448275862
4,bing,False,GreyScale,alexnet,20/80,resnet,bing,20/80,0.020833334,0.03597122302158273,0.006711409395973154
5,bing,False,GreyScale,alexnet,20/80,resnet,bing,30/70,0.01048951,0.021739130434782608,0.0
6,bing,False,GreyScale,alexnet,20/80,resnet,bing,40/60,0.017301038,0.027972027972027972,0.00684931506849315
7,bing,False,GreyScale,alexnet,20/80,resnet,bing,50/50,0.010344828,0.013888888888888888,0.00684931506849315
8,bing,False,GreyScale,alexnet,20/80,vgg,bing,20/80,0.020833334,0.04285714285714286,0.0
9,bing,False,GreyScale,alexnet,20/80,vgg,bing,30/70,0.020905923,0.04316546762589928,0.0
10,bing,False,GreyScale,alexnet,20/80,vgg,bing,40/60,0.020477815,0.034482758620689655,0.006756756756756757
11,bing,False,GreyScale,alexnet,20/80,vgg,bing,50/50,0.01369863,0.0273972602739726,0.0
12,bing,False,GreyScale,alexnet,20/80,alexnet,google,20/80,0.10666667,0.2,0.013333333333333334
13,bing,False,GreyScale,alexnet,20/80,alexnet,google,30/70,0.07333334,0.10666666666666667,0.04
14,bing,False,GreyScale,alexnet,20/80,alexnet,google,40/60,0.083333336,0.15333333333333332,0.013333333333333334
15,bing,False,GreyScale,alexnet,20/80,alexnet,google,50/50,0.05666667,0.08,0.03333333333333333
16,bing,False,GreyScale,alexnet,20/80,resnet,google,20/80,0.07666667,0.15333333333333332,0.0
17,bing,False,GreyScale,alexnet,20/80,resnet,google,30/70,0.046666667,0.09333333333333334,0.0
18,bing,False,GreyScale,alexnet,20/80,resnet,google,40/60,0.043333333,0.07333333333333333,0.013333333333333334
19,bing,False,GreyScale,alexnet,20/80,resnet,google,50/50,0.033333335,0.04,0.02666666666666667
20,bing,False,GreyScale,alexnet,20/80,vgg,google,20/80,0.05,0.09333333333333334,0.006666666666666667
21,bing,False,GreyScale,alexnet,20/80,vgg,google,30/70,0.05,0.08666666666666667,0.013333333333333334
22,bing,False,GreyScale,alexnet,20/80,vgg,google,40/60,0.030000001,0.04,0.02
23,bing,False,GreyScale,alexnet,20/80,vgg,google,50/50,0.026666667,0.02666666666666667,0.02666666666666667
24,bing,False,GreyScale,alexnet,30/70,alexnet,bing,20/80,0.066176474,0.13008130081300814,0.013422818791946308
25,bing,False,GreyScale,alexnet,30/70,alexnet,bing,30/70,0.038732395,0.051094890510948905,0.027210884353741496
26,bing,False,GreyScale,alexnet,30/70,alexnet,bing,40/60,0.038461536,0.05673758865248227,0.020689655172413793
27,bing,False,GreyScale,alexnet,30/70,alexnet,bing,50/50,0.04225352,0.07194244604316546,0.013793103448275862
28,bing,False,GreyScale,alexnet,30/70,resnet,bing,20/80,0.020833334,0.03597122302158273,0.006711409395973154
29,bing,False,GreyScale,alexnet,30/70,resnet,bing,30/70,0.01048951,0.021739130434782608,0.0
30,bing,False,GreyScale,alexnet,30/70,resnet,bing,40/60,0.017301038,0.027972027972027972,0.00684931506849315
31,bing,False,GreyScale,alexnet,30/70,resnet,bing,50/50,0.010344828,0.013888888888888888,0.00684931506849315
32,bing,False,GreyScale,alexnet,30/70,vgg,bing,20/80,0.020833334,0.04285714285714286,0.0
33,bing,False,GreyScale,alexnet,30/70,vgg,bing,30/70,0.020905923,0.04316546762589928,0.0
34,bing,False,GreyScale,alexnet,30/70,vgg,bing,40/60,0.020477815,0.034482758620689655,0.006756756756756757
35,bing,False,GreyScale,alexnet,30/70,vgg,bing,50/50,0.01369863,0.0273972602739726,0.0
36,bing,False,GreyScale,alexnet,30/70,alexnet,google,20/80,0.10666667,0.2,0.013333333333333334
37,bing,False,GreyScale,alexnet,30/70,alexnet,google,30/70,0.07333334,0.10666666666666667,0.04
38,bing,False,GreyScale,alexnet,30/70,alexnet,google,40/60,0.083333336,0.15333333333333332,0.013333333333333334
39,bing,False,GreyScale,alexnet,30/70,alexnet,google,50/50,0.05666667,0.08,0.03333333333333333
40,bing,False,GreyScale,alexnet,30/70,resnet,google,20/80,0.07666667,0.15333333333333332,0.0
41,bing,False,GreyScale,alexnet,30/70,resnet,google,30/70,0.046666667,0.09333333333333334,0.0
42,bing,False,GreyScale,alexnet,30/70,resnet,google,40/60,0.043333333,0.07333333333333333,0.013333333333333334
43,bing,False,GreyScale,alexnet,30/70,resnet,google,50/50,0.033333335,0.04,0.02666666666666667
44,bing,False,GreyScale,alexnet,30/70,vgg,google,20/80,0.05,0.09333333333333334,0.006666666666666667
45,bing,False,GreyScale,alexnet,30/70,vgg,google,30/70,0.05,0.08666666666666667,0.013333333333333334
46,bing,False,GreyScale,alexnet,30/70,vgg,google,40/60,0.030000001,0.04,0.02
47,bing,False,GreyScale,alexnet,30/70,vgg,google,50/50,0.026666667,0.02666666666666667,0.02666666666666667
48,bing,False,GreyScale,alexnet,40/60,alexnet,bing,20/80,0.066176474,0.13008130081300814,0.013422818791946308
49,bing,False,GreyScale,alexnet,40/60,alexnet,bing,30/70,0.038732395,0.051094890510948905,0.027210884353741496
50,bing,False,GreyScale,alexnet,40/60,alexnet,bing,40/60,0.038461536,0.05673758865248227,0.020689655172413793
51,bing,False,GreyScale,alexnet,40/60,alexnet,bing,50/50,0.04225352,0.07194244604316546,0.013793103448275862
52,bing,False,GreyScale,alexnet,40/60,resnet,bing,20/80,0.020833334,0.03597122302158273,0.006711409395973154
53,bing,False,GreyScale,alexnet,40/60,resnet,bing,30/70,0.01048951,0.021739130434782608,0.0
54,bing,False,GreyScale,alexnet,40/60,resnet,bing,40/60,0.017301038,0.027972027972027972,0.00684931506849315
