,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,InvertColor,alexnet,20/80,alexnet,bing,20/80,0.17666668,0.19333334,0.16107383
1,bing,False,InvertColor,alexnet,20/80,alexnet,bing,30/70,0.26000002,0.20666668,0.30872482
2,bing,False,InvertColor,alexnet,20/80,alexnet,bing,40/60,0.21000001,0.2,0.22147651
3,bing,False,InvertColor,alexnet,20/80,alexnet,bing,50/50,0.21000001,0.21333334,0.2080537
4,bing,False,InvertColor,alexnet,20/80,resnet,bing,20/80,0.13000001,0.11333334,0.147651
5,bing,False,InvertColor,alexnet,20/80,resnet,bing,30/70,0.11333334,0.11333334,0.11409396
6,bing,False,InvertColor,alexnet,20/80,resnet,bing,40/60,0.16333334,0.18,0.147651
7,bing,False,InvertColor,alexnet,20/80,resnet,bing,50/50,0.24000001,0.23333333,0.24832214
8,bing,False,InvertColor,alexnet,20/80,vgg,bing,20/80,0.19666667,0.19333334,0.20134228
9,bing,False,InvertColor,alexnet,20/80,vgg,bing,30/70,0.19,0.22,0.16107383
10,bing,False,InvertColor,alexnet,20/80,vgg,bing,40/60,0.22666667,0.22,0.22818792
11,bing,False,InvertColor,alexnet,20/80,vgg,bing,50/50,0.25333333,0.24666667,0.26174498
12,bing,False,InvertColor,alexnet,20/80,alexnet,google,20/80,0.15333334,0.15333334,0.147651
13,bing,False,InvertColor,alexnet,20/80,alexnet,google,30/70,0.20666668,0.22666667,0.18791947
14,bing,False,InvertColor,alexnet,20/80,alexnet,google,40/60,0.2,0.19333334,0.2080537
15,bing,False,InvertColor,alexnet,20/80,alexnet,google,50/50,0.19,0.21333334,0.16778524
16,bing,False,InvertColor,alexnet,20/80,resnet,google,20/80,0.13000001,0.17333333,0.087248325
17,bing,False,InvertColor,alexnet,20/80,resnet,google,30/70,0.11666667,0.120000005,0.11409396
18,bing,False,InvertColor,alexnet,20/80,resnet,google,40/60,0.16333334,0.12666667,0.20134228
19,bing,False,InvertColor,alexnet,20/80,resnet,google,50/50,0.17,0.18,0.16107383
20,bing,False,InvertColor,alexnet,20/80,vgg,google,20/80,0.14333333,0.16666667,0.12080537
21,bing,False,InvertColor,alexnet,20/80,vgg,google,30/70,0.20666668,0.2,0.2147651
22,bing,False,InvertColor,alexnet,20/80,vgg,google,40/60,0.23,0.17333333,0.2885906
23,bing,False,InvertColor,alexnet,20/80,vgg,google,50/50,0.24333334,0.24000001,0.24832214
24,bing,False,InvertColor,alexnet,30/70,alexnet,bing,20/80,0.17666668,0.19333334,0.16107383
25,bing,False,InvertColor,alexnet,30/70,alexnet,bing,30/70,0.26000002,0.20666668,0.30872482
26,bing,False,InvertColor,alexnet,30/70,alexnet,bing,40/60,0.21000001,0.2,0.22147651
27,bing,False,InvertColor,alexnet,30/70,alexnet,bing,50/50,0.21000001,0.21333334,0.2080537
28,bing,False,InvertColor,alexnet,30/70,resnet,bing,20/80,0.13000001,0.11333334,0.147651
29,bing,False,InvertColor,alexnet,30/70,resnet,bing,30/70,0.11333334,0.11333334,0.11409396
30,bing,False,InvertColor,alexnet,30/70,resnet,bing,40/60,0.16333334,0.18,0.147651
31,bing,False,InvertColor,alexnet,30/70,resnet,bing,50/50,0.24000001,0.23333333,0.24832214
32,bing,False,InvertColor,alexnet,30/70,vgg,bing,20/80,0.19666667,0.19333334,0.20134228
33,bing,False,InvertColor,alexnet,30/70,vgg,bing,30/70,0.19,0.22,0.16107383
34,bing,False,InvertColor,alexnet,30/70,vgg,bing,40/60,0.22666667,0.22,0.22818792
35,bing,False,InvertColor,alexnet,30/70,vgg,bing,50/50,0.25333333,0.24666667,0.26174498
36,bing,False,InvertColor,alexnet,30/70,alexnet,google,20/80,0.15333334,0.15333334,0.147651
37,bing,False,InvertColor,alexnet,30/70,alexnet,google,30/70,0.20666668,0.22666667,0.18791947
38,bing,False,InvertColor,alexnet,30/70,alexnet,google,40/60,0.2,0.19333334,0.2080537
39,bing,False,InvertColor,alexnet,30/70,alexnet,google,50/50,0.19,0.21333334,0.16778524
40,bing,False,InvertColor,alexnet,30/70,resnet,google,20/80,0.13000001,0.17333333,0.087248325
41,bing,False,InvertColor,alexnet,30/70,resnet,google,30/70,0.11666667,0.120000005,0.11409396
42,bing,False,InvertColor,alexnet,30/70,resnet,google,40/60,0.16333334,0.12666667,0.20134228
43,bing,False,InvertColor,alexnet,30/70,resnet,google,50/50,0.17,0.18,0.16107383
44,bing,False,InvertColor,alexnet,30/70,vgg,google,20/80,0.14333333,0.16666667,0.12080537
45,bing,False,InvertColor,alexnet,30/70,vgg,google,30/70,0.20666668,0.2,0.2147651
46,bing,False,InvertColor,alexnet,30/70,vgg,google,40/60,0.23,0.17333333,0.2885906
47,bing,False,InvertColor,alexnet,30/70,vgg,google,50/50,0.24333334,0.24000001,0.24832214
48,bing,False,InvertColor,alexnet,40/60,alexnet,bing,20/80,0.17666668,0.19333334,0.16107383
49,bing,False,InvertColor,alexnet,40/60,alexnet,bing,30/70,0.26000002,0.20666668,0.30872482
50,bing,False,InvertColor,alexnet,40/60,alexnet,bing,40/60,0.21000001,0.2,0.22147651
51,bing,False,InvertColor,alexnet,40/60,alexnet,bing,50/50,0.21000001,0.21333334,0.2080537
52,bing,False,InvertColor,alexnet,40/60,resnet,bing,20/80,0.13000001,0.11333334,0.147651
53,bing,False,InvertColor,alexnet,40/60,resnet,bing,30/70,0.11333334,0.11333334,0.11409396
54,bing,False,InvertColor,alexnet,40/60,resnet,bing,40/60,0.16333334,0.18,0.147651
55,bing,False,InvertColor,alexnet,40/60,resnet,bing,50/50,0.24000001,0.23333333,0.24832214
56,bing,False,InvertColor,alexnet,40/60,vgg,bing,20/80,0.19666667,0.19333334,0.20134228
57,bing,False,InvertColor,alexnet,40/60,vgg,bing,30/70,0.19,0.22,0.16107383
58,bing,False,InvertColor,alexnet,40/60,vgg,bing,40/60,0.22666667,0.22,0.22818792
59,bing,False,InvertColor,alexnet,40/60,vgg,bing,50/50,0.25333333,0.24666667,0.26174498
60,bing,False,InvertColor,alexnet,40/60,alexnet,google,20/80,0.15333334,0.15333334,0.147651
61,bing,False,InvertColor,alexnet,40/60,alexnet,google,30/70,0.20666668,0.22666667,0.18791947
62,bing,False,InvertColor,alexnet,40/60,alexnet,google,40/60,0.2,0.19333334,0.2080537
63,bing,False,InvertColor,alexnet,40/60,alexnet,google,50/50,0.19,0.21333334,0.16778524
64,bing,False,InvertColor,alexnet,40/60,resnet,google,20/80,0.13000001,0.17333333,0.087248325
65,bing,False,InvertColor,alexnet,40/60,resnet,google,30/70,0.11666667,0.120000005,0.11409396
66,bing,False,InvertColor,alexnet,40/60,resnet,google,40/60,0.16333334,0.12666667,0.20134228
67,bing,False,InvertColor,alexnet,40/60,resnet,google,50/50,0.17,0.18,0.16107383
68,bing,False,InvertColor,alexnet,40/60,vgg,google,20/80,0.14333333,0.16666667,0.12080537
69,bing,False,InvertColor,alexnet,40/60,vgg,google,30/70,0.20666668,0.2,0.2147651
70,bing,False,InvertColor,alexnet,40/60,vgg,google,40/60,0.23,0.17333333,0.2885906
71,bing,False,InvertColor,alexnet,40/60,vgg,google,50/50,0.24333334,0.24000001,0.24832214
72,bing,False,InvertColor,alexnet,50/50,alexnet,bing,20/80,0.17666668,0.19333334,0.16107383
73,bing,False,InvertColor,alexnet,50/50,alexnet,bing,30/70,0.26000002,0.20666668,0.30872482
74,bing,False,InvertColor,alexnet,50/50,alexnet,bing,40/60,0.21000001,0.2,0.22147651
75,bing,False,InvertColor,alexnet,50/50,alexnet,bing,50/50,0.21000001,0.21333334,0.2080537
76,bing,False,InvertColor,alexnet,50/50,resnet,bing,20/80,0.13000001,0.11333334,0.147651
77,bing,False,InvertColor,alexnet,50/50,resnet,bing,30/70,0.11333334,0.11333334,0.11409396
78,bing,False,InvertColor,alexnet,50/50,resnet,bing,40/60,0.16333334,0.18,0.147651
79,bing,False,InvertColor,alexnet,50/50,resnet,bing,50/50,0.24000001,0.23333333,0.24832214
80,bing,False,InvertColor,alexnet,50/50,vgg,bing,20/80,0.19666667,0.19333334,0.20134228
81,bing,False,InvertColor,alexnet,50/50,vgg,bing,30/70,0.19,0.22,0.16107383
82,bing,False,InvertColor,alexnet,50/50,vgg,bing,40/60,0.22666667,0.22,0.22818792
83,bing,False,InvertColor,alexnet,50/50,vgg,bing,50/50,0.25333333,0.24666667,0.26174498
84,bing,False,InvertColor,alexnet,50/50,alexnet,google,20/80,0.15333334,0.15333334,0.147651
85,bing,False,InvertColor,alexnet,50/50,alexnet,google,30/70,0.20666668,0.22666667,0.18791947
86,bing,False,InvertColor,alexnet,50/50,alexnet,google,40/60,0.2,0.19333334,0.2080537
87,bing,False,InvertColor,alexnet,50/50,alexnet,google,50/50,0.19,0.21333334,0.16778524
88,bing,False,InvertColor,alexnet,50/50,resnet,google,20/80,0.13000001,0.17333333,0.087248325
89,bing,False,InvertColor,alexnet,50/50,resnet,google,30/70,0.11666667,0.120000005,0.11409396
90,bing,False,InvertColor,alexnet,50/50,resnet,google,40/60,0.16333334,0.12666667,0.20134228
91,bing,False,InvertColor,alexnet,50/50,resnet,google,50/50,0.17,0.18,0.16107383
92,bing,False,InvertColor,alexnet,50/50,vgg,google,20/80,0.14333333,0.16666667,0.12080537
93,bing,False,InvertColor,alexnet,50/50,vgg,google,30/70,0.20666668,0.2,0.2147651
94,bing,False,InvertColor,alexnet,50/50,vgg,google,40/60,0.23,0.17333333,0.2885906
95,bing,False,InvertColor,alexnet,50/50,vgg,google,50/50,0.24333334,0.24000001,0.24832214
96,bing,False,InvertColor,resnet,20/80,alexnet,bing,20/80,0.17666668,0.19333334,0.16107383
97,bing,False,InvertColor,resnet,20/80,alexnet,bing,30/70,0.26000002,0.20666668,0.30872482
98,bing,False,InvertColor,resnet,20/80,alexnet,bing,40/60,0.21000001,0.2,0.22147651
99,bing,False,InvertColor,resnet,20/80,alexnet,bing,50/50,0.21000001,0.21333334,0.2080537
100,bing,False,InvertColor,resnet,20/80,resnet,bing,20/80,0.13000001,0.11333334,0.147651
101,bing,False,InvertColor,resnet,20/80,resnet,bing,30/70,0.11333334,0.11333334,0.11409396
102,bing,False,InvertColor,resnet,20/80,resnet,bing,40/60,0.16333334,0.18,0.147651
103,bing,False,InvertColor,resnet,20/80,resnet,bing,50/50,0.24000001,0.23333333,0.24832214
104,bing,False,InvertColor,resnet,20/80,vgg,bing,20/80,0.19666667,0.19333334,0.20134228
105,bing,False,InvertColor,resnet,20/80,vgg,bing,30/70,0.19,0.22,0.16107383
106,bing,False,InvertColor,resnet,20/80,vgg,bing,40/60,0.22666667,0.22,0.22818792
107,bing,False,InvertColor,resnet,20/80,vgg,bing,50/50,0.25333333,0.24666667,0.26174498
108,bing,False,InvertColor,resnet,20/80,alexnet,google,20/80,0.15333334,0.15333334,0.147651
109,bing,False,InvertColor,resnet,20/80,alexnet,google,30/70,0.20666668,0.22666667,0.18791947
110,bing,False,InvertColor,resnet,20/80,alexnet,google,40/60,0.2,0.19333334,0.2080537
111,bing,False,InvertColor,resnet,20/80,alexnet,google,50/50,0.19,0.21333334,0.16778524
112,bing,False,InvertColor,resnet,20/80,resnet,google,20/80,0.13000001,0.17333333,0.087248325
113,bing,False,InvertColor,resnet,20/80,resnet,google,30/70,0.11666667,0.120000005,0.11409396
114,bing,False,InvertColor,resnet,20/80,resnet,google,40/60,0.16333334,0.12666667,0.20134228
115,bing,False,InvertColor,resnet,20/80,resnet,google,50/50,0.17,0.18,0.16107383
116,bing,False,InvertColor,resnet,20/80,vgg,google,20/80,0.14333333,0.16666667,0.12080537
117,bing,False,InvertColor,resnet,20/80,vgg,google,30/70,0.20666668,0.2,0.2147651
118,bing,False,InvertColor,resnet,20/80,vgg,google,40/60,0.23,0.17333333,0.2885906
119,bing,False,InvertColor,resnet,20/80,vgg,google,50/50,0.24333334,0.24000001,0.24832214
120,bing,False,InvertColor,resnet,30/70,alexnet,bing,20/80,0.17666668,0.19333334,0.16107383
121,bing,False,InvertColor,resnet,30/70,alexnet,bing,30/70,0.26000002,0.20666668,0.30872482
122,bing,False,InvertColor,resnet,30/70,alexnet,bing,40/60,0.21000001,0.2,0.22147651
123,bing,False,InvertColor,resnet,30/70,alexnet,bing,50/50,0.21000001,0.21333334,0.2080537
124,bing,False,InvertColor,resnet,30/70,resnet,bing,20/80,0.13000001,0.11333334,0.147651
125,bing,False,InvertColor,resnet,30/70,resnet,bing,30/70,0.11333334,0.11333334,0.11409396
126,bing,False,InvertColor,resnet,30/70,resnet,bing,40/60,0.16333334,0.18,0.147651
127,bing,False,InvertColor,resnet,30/70,resnet,bing,50/50,0.24000001,0.23333333,0.24832214
128,bing,False,InvertColor,resnet,30/70,vgg,bing,20/80,0.19666667,0.19333334,0.20134228
129,bing,False,InvertColor,resnet,30/70,vgg,bing,30/70,0.19,0.22,0.16107383
130,bing,False,InvertColor,resnet,30/70,vgg,bing,40/60,0.22666667,0.22,0.22818792
131,bing,False,InvertColor,resnet,30/70,vgg,bing,50/50,0.25333333,0.24666667,0.26174498
132,bing,False,InvertColor,resnet,30/70,alexnet,google,20/80,0.15333334,0.15333334,0.147651
133,bing,False,InvertColor,resnet,30/70,alexnet,google,30/70,0.20666668,0.22666667,0.18791947
134,bing,False,InvertColor,resnet,30/70,alexnet,google,40/60,0.2,0.19333334,0.2080537
135,bing,False,InvertColor,resnet,30/70,alexnet,google,50/50,0.19,0.21333334,0.16778524
136,bing,False,InvertColor,resnet,30/70,resnet,google,20/80,0.13000001,0.17333333,0.087248325
137,bing,False,InvertColor,resnet,30/70,resnet,google,30/70,0.11666667,0.120000005,0.11409396
138,bing,False,InvertColor,resnet,30/70,resnet,google,40/60,0.16333334,0.12666667,0.20134228
139,bing,False,InvertColor,resnet,30/70,resnet,google,50/50,0.17,0.18,0.16107383
140,bing,False,InvertColor,resnet,30/70,vgg,google,20/80,0.14333333,0.16666667,0.12080537
141,bing,False,InvertColor,resnet,30/70,vgg,google,30/70,0.20666668,0.2,0.2147651
142,bing,False,InvertColor,resnet,30/70,vgg,google,40/60,0.23,0.17333333,0.2885906
143,bing,False,InvertColor,resnet,30/70,vgg,google,50/50,0.24333334,0.24000001,0.24832214
144,bing,False,InvertColor,resnet,40/60,alexnet,bing,20/80,0.17666668,0.19333334,0.16107383
145,bing,False,InvertColor,resnet,40/60,alexnet,bing,30/70,0.26000002,0.20666668,0.30872482
146,bing,False,InvertColor,resnet,40/60,alexnet,bing,40/60,0.21000001,0.2,0.22147651
147,bing,False,InvertColor,resnet,40/60,alexnet,bing,50/50,0.21000001,0.21333334,0.2080537
148,bing,False,InvertColor,resnet,40/60,resnet,bing,20/80,0.13000001,0.11333334,0.147651
149,bing,False,InvertColor,resnet,40/60,resnet,bing,30/70,0.11333334,0.11333334,0.11409396
150,bing,False,InvertColor,resnet,40/60,resnet,bing,40/60,0.16333334,0.18,0.147651
151,bing,False,InvertColor,resnet,40/60,resnet,bing,50/50,0.24000001,0.23333333,0.24832214
152,bing,False,InvertColor,resnet,40/60,vgg,bing,20/80,0.19666667,0.19333334,0.20134228
153,bing,False,InvertColor,resnet,40/60,vgg,bing,30/70,0.19,0.22,0.16107383
154,bing,False,InvertColor,resnet,40/60,vgg,bing,40/60,0.22666667,0.22,0.22818792
155,bing,False,InvertColor,resnet,40/60,vgg,bing,50/50,0.25333333,0.24666667,0.26174498
156,bing,False,InvertColor,resnet,40/60,alexnet,google,20/80,0.15333334,0.15333334,0.147651
157,bing,False,InvertColor,resnet,40/60,alexnet,google,30/70,0.20666668,0.22666667,0.18791947
158,bing,False,InvertColor,resnet,40/60,alexnet,google,40/60,0.2,0.19333334,0.2080537
159,bing,False,InvertColor,resnet,40/60,alexnet,google,50/50,0.19,0.21333334,0.16778524
160,bing,False,InvertColor,resnet,40/60,resnet,google,20/80,0.13000001,0.17333333,0.087248325
161,bing,False,InvertColor,resnet,40/60,resnet,google,30/70,0.11666667,0.120000005,0.11409396
162,bing,False,InvertColor,resnet,40/60,resnet,google,40/60,0.16333334,0.12666667,0.20134228
163,bing,False,InvertColor,resnet,40/60,resnet,google,50/50,0.17,0.18,0.16107383
164,bing,False,InvertColor,resnet,40/60,vgg,google,20/80,0.14333333,0.16666667,0.12080537
165,bing,False,InvertColor,resnet,40/60,vgg,google,30/70,0.20666668,0.2,0.2147651
166,bing,False,InvertColor,resnet,40/60,vgg,google,40/60,0.23,0.17333333,0.2885906
167,bing,False,InvertColor,resnet,40/60,vgg,google,50/50,0.24333334,0.24000001,0.24832214
168,bing,False,InvertColor,resnet,50/50,alexnet,bing,20/80,0.17666668,0.19333334,0.16107383
169,bing,False,InvertColor,resnet,50/50,alexnet,bing,30/70,0.26000002,0.20666668,0.30872482
170,bing,False,InvertColor,resnet,50/50,alexnet,bing,40/60,0.21000001,0.2,0.22147651
171,bing,False,InvertColor,resnet,50/50,alexnet,bing,50/50,0.21000001,0.21333334,0.2080537
172,bing,False,InvertColor,resnet,50/50,resnet,bing,20/80,0.13000001,0.11333334,0.147651
173,bing,False,InvertColor,resnet,50/50,resnet,bing,30/70,0.11333334,0.11333334,0.11409396
174,bing,False,InvertColor,resnet,50/50,resnet,bing,40/60,0.16333334,0.18,0.147651
175,bing,False,InvertColor,resnet,50/50,resnet,bing,50/50,0.24000001,0.23333333,0.24832214
176,bing,False,InvertColor,resnet,50/50,vgg,bing,20/80,0.19666667,0.19333334,0.20134228
177,bing,False,InvertColor,resnet,50/50,vgg,bing,30/70,0.19,0.22,0.16107383
178,bing,False,InvertColor,resnet,50/50,vgg,bing,40/60,0.22666667,0.22,0.22818792
179,bing,False,InvertColor,resnet,50/50,vgg,bing,50/50,0.25333333,0.24666667,0.26174498
180,bing,False,InvertColor,resnet,50/50,alexnet,google,20/80,0.15333334,0.15333334,0.147651
181,bing,False,InvertColor,resnet,50/50,alexnet,google,30/70,0.20666668,0.22666667,0.18791947
182,bing,False,InvertColor,resnet,50/50,alexnet,google,40/60,0.2,0.19333334,0.2080537
183,bing,False,InvertColor,resnet,50/50,alexnet,google,50/50,0.19,0.21333334,0.16778524
184,bing,False,InvertColor,resnet,50/50,resnet,google,20/80,0.13000001,0.17333333,0.087248325
185,bing,False,InvertColor,resnet,50/50,resnet,google,30/70,0.11666667,0.120000005,0.11409396
186,bing,False,InvertColor,resnet,50/50,resnet,google,40/60,0.16333334,0.12666667,0.20134228
187,bing,False,InvertColor,resnet,50/50,resnet,google,50/50,0.17,0.18,0.16107383
188,bing,False,InvertColor,resnet,50/50,vgg,google,20/80,0.14333333,0.16666667,0.12080537
189,bing,False,InvertColor,resnet,50/50,vgg,google,30/70,0.20666668,0.2,0.2147651
190,bing,False,InvertColor,resnet,50/50,vgg,google,40/60,0.23,0.17333333,0.2885906
191,bing,False,InvertColor,resnet,50/50,vgg,google,50/50,0.24333334,0.24000001,0.24832214
192,bing,False,InvertColor,vgg,20/80,alexnet,bing,20/80,0.17666668,0.19333334,0.16107383
