,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,PGD,alexnet,20/80,alexnet,bing,20/80,0.4871795,0.8145161290322581,0.21476510067114093
1,bing,True,PGD,alexnet,20/80,alexnet,bing,30/70,0.50889677,0.7333333333333333,0.3013698630136986
2,bing,True,PGD,alexnet,20/80,alexnet,bing,40/60,0.53333336,0.7412587412587412,0.323943661971831
3,bing,True,PGD,alexnet,20/80,alexnet,bing,50/50,0.49300697,0.7092198581560284,0.2827586206896552
4,bing,True,PGD,alexnet,20/80,resnet,bing,20/80,0.20689654,0.3049645390070922,0.11409395973154363
5,bing,True,PGD,alexnet,20/80,resnet,bing,30/70,0.22027972,0.35507246376811596,0.0945945945945946
6,bing,True,PGD,alexnet,20/80,resnet,bing,40/60,0.20761247,0.25874125874125875,0.15753424657534246
7,bing,True,PGD,alexnet,20/80,resnet,bing,50/50,0.16206896,0.1388888888888889,0.18493150684931506
8,bing,True,PGD,alexnet,20/80,vgg,bing,20/80,0.3263889,0.6285714285714286,0.04054054054054054
9,bing,True,PGD,alexnet,20/80,vgg,bing,30/70,0.31010452,0.5827338129496403,0.05405405405405406
10,bing,True,PGD,alexnet,20/80,vgg,bing,40/60,0.31399316,0.496551724137931,0.13513513513513514
11,bing,True,PGD,alexnet,20/80,vgg,bing,50/50,0.28082192,0.3904109589041096,0.17123287671232876
12,bing,True,PGD,alexnet,20/80,alexnet,google,20/80,0.53000003,0.7866666666666666,0.2733333333333333
13,bing,True,PGD,alexnet,20/80,alexnet,google,30/70,0.51666665,0.6066666666666667,0.4266666666666667
14,bing,True,PGD,alexnet,20/80,alexnet,google,40/60,0.50666666,0.6,0.41333333333333333
15,bing,True,PGD,alexnet,20/80,alexnet,google,50/50,0.49333334,0.5333333333333333,0.4533333333333333
16,bing,True,PGD,alexnet,20/80,resnet,google,20/80,0.22666667,0.37333333333333335,0.08
17,bing,True,PGD,alexnet,20/80,resnet,google,30/70,0.22666667,0.31333333333333335,0.14
18,bing,True,PGD,alexnet,20/80,resnet,google,40/60,0.20666668,0.14666666666666667,0.26666666666666666
19,bing,True,PGD,alexnet,20/80,resnet,google,50/50,0.19666667,0.16,0.23333333333333334
20,bing,True,PGD,alexnet,20/80,vgg,google,20/80,0.37333333,0.7133333333333334,0.03333333333333333
21,bing,True,PGD,alexnet,20/80,vgg,google,30/70,0.33333334,0.5933333333333334,0.07333333333333333
22,bing,True,PGD,alexnet,20/80,vgg,google,40/60,0.32333335,0.49333333333333335,0.15333333333333332
23,bing,True,PGD,alexnet,20/80,vgg,google,50/50,0.31333333,0.4,0.22666666666666666
24,bing,True,PGD,alexnet,30/70,alexnet,bing,20/80,0.4065934,0.7338709677419355,0.1342281879194631
25,bing,True,PGD,alexnet,30/70,alexnet,bing,30/70,0.4519573,0.6592592592592592,0.2602739726027397
26,bing,True,PGD,alexnet,30/70,alexnet,bing,40/60,0.46666667,0.6573426573426573,0.2746478873239437
27,bing,True,PGD,alexnet,30/70,alexnet,bing,50/50,0.4020979,0.5886524822695035,0.2206896551724138
28,bing,True,PGD,alexnet,30/70,resnet,bing,20/80,0.19310345,0.2624113475177305,0.12751677852348994
29,bing,True,PGD,alexnet,30/70,resnet,bing,30/70,0.18181819,0.2898550724637681,0.08108108108108109
30,bing,True,PGD,alexnet,30/70,resnet,bing,40/60,0.1799308,0.23076923076923078,0.13013698630136986
31,bing,True,PGD,alexnet,30/70,resnet,bing,50/50,0.12068965,0.11805555555555555,0.1232876712328767
32,bing,True,PGD,alexnet,30/70,vgg,bing,20/80,0.27430555,0.5071428571428571,0.05405405405405406
33,bing,True,PGD,alexnet,30/70,vgg,bing,30/70,0.2752613,0.5107913669064749,0.05405405405405406
34,bing,True,PGD,alexnet,30/70,vgg,bing,40/60,0.25597268,0.4068965517241379,0.10810810810810811
35,bing,True,PGD,alexnet,30/70,vgg,bing,50/50,0.21575342,0.3013698630136986,0.13013698630136986
36,bing,True,PGD,alexnet,30/70,alexnet,google,20/80,0.47333336,0.72,0.22666666666666666
