,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,RFGSM,alexnet,20/80,alexnet,bing,20/80,0.5110294,0.8048780487804879,0.2684563758389262
1,bing,True,RFGSM,alexnet,20/80,alexnet,bing,30/70,0.5140845,0.6934306569343066,0.3469387755102041
2,bing,True,RFGSM,alexnet,20/80,alexnet,bing,40/60,0.5629371,0.7375886524822695,0.3931034482758621
3,bing,True,RFGSM,alexnet,20/80,alexnet,bing,50/50,0.5105634,0.6834532374100719,0.3448275862068966
4,bing,True,RFGSM,alexnet,20/80,resnet,bing,20/80,0.20486112,0.3381294964028777,0.08053691275167785
5,bing,True,RFGSM,alexnet,20/80,resnet,bing,30/70,0.22727272,0.36231884057971014,0.10135135135135136
6,bing,True,RFGSM,alexnet,20/80,resnet,bing,40/60,0.2214533,0.3076923076923077,0.136986301369863
7,bing,True,RFGSM,alexnet,20/80,resnet,bing,50/50,0.16896552,0.20833333333333334,0.13013698630136986
8,bing,True,RFGSM,alexnet,20/80,vgg,bing,20/80,0.23611112,0.39285714285714285,0.08783783783783784
9,bing,True,RFGSM,alexnet,20/80,vgg,bing,30/70,0.26132405,0.4460431654676259,0.08783783783783784
10,bing,True,RFGSM,alexnet,20/80,vgg,bing,40/60,0.27303752,0.38620689655172413,0.16216216216216217
11,bing,True,RFGSM,alexnet,20/80,vgg,bing,50/50,0.23287672,0.3013698630136986,0.1643835616438356
12,bing,True,RFGSM,alexnet,20/80,alexnet,google,20/80,0.56,0.7533333333333333,0.36666666666666664
13,bing,True,RFGSM,alexnet,20/80,alexnet,google,30/70,0.5233334,0.5866666666666667,0.46
14,bing,True,RFGSM,alexnet,20/80,alexnet,google,40/60,0.5566667,0.66,0.4533333333333333
15,bing,True,RFGSM,alexnet,20/80,alexnet,google,50/50,0.56333333,0.6066666666666667,0.52
16,bing,True,RFGSM,alexnet,20/80,resnet,google,20/80,0.22,0.34,0.1
17,bing,True,RFGSM,alexnet,20/80,resnet,google,30/70,0.23,0.3333333333333333,0.12666666666666668
