,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,20/80,0.5,0.016260162601626018,0.8993288590604027
1,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,30/70,0.40492958,0.043795620437956206,0.7414965986394558
2,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,40/60,0.42657343,0.014184397163120567,0.8275862068965517
3,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,50/50,0.4084507,0.03597122302158273,0.7655172413793103
4,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,20/80,0.26041666,0.20863309352517986,0.3087248322147651
5,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,30/70,0.27272728,0.21014492753623187,0.3310810810810811
6,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,40/60,0.28027683,0.055944055944055944,0.5
7,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,50/50,0.35172415,0.020833333333333332,0.678082191780822
8,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,20/80,0.25347224,0.2,0.30405405405405406
9,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,30/70,0.24041812,0.16546762589928057,0.3108108108108108
10,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,40/60,0.2901024,0.07586206896551724,0.5
11,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,50/50,0.30821916,0.02054794520547945,0.5958904109589042
12,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,20/80,0.34,0.28,0.4
13,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,30/70,0.35666668,0.16,0.5533333333333333
14,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,40/60,0.35,0.06666666666666667,0.6333333333333333
15,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,50/50,0.43666667,0.02,0.8533333333333334
16,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,20/80,0.36666667,0.66,0.07333333333333333
17,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,30/70,0.27,0.38,0.16
18,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,40/60,0.31333333,0.03333333333333333,0.5933333333333334
19,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,50/50,0.37333333,0.02,0.7266666666666667
20,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,20/80,0.22666667,0.18666666666666668,0.26666666666666666
21,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,30/70,0.22666667,0.16,0.29333333333333333
22,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,40/60,0.27,0.08666666666666667,0.4533333333333333
23,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,50/50,0.3,0.006666666666666667,0.5933333333333334
24,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,20/80,0.5,0.016260162601626018,0.8993288590604027
25,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,30/70,0.40492958,0.043795620437956206,0.7414965986394558
26,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,40/60,0.42657343,0.014184397163120567,0.8275862068965517
27,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,50/50,0.4084507,0.03597122302158273,0.7655172413793103
28,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,20/80,0.26041666,0.20863309352517986,0.3087248322147651
29,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,30/70,0.27272728,0.21014492753623187,0.3310810810810811
30,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,40/60,0.28027683,0.055944055944055944,0.5
31,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,50/50,0.35172415,0.020833333333333332,0.678082191780822
32,bing,False,RandomBlackBox,alexnet,30/70,vgg,bing,20/80,0.25347224,0.2,0.30405405405405406
33,bing,False,RandomBlackBox,alexnet,30/70,vgg,bing,30/70,0.24041812,0.16546762589928057,0.3108108108108108
34,bing,False,RandomBlackBox,alexnet,30/70,vgg,bing,40/60,0.2901024,0.07586206896551724,0.5
35,bing,False,RandomBlackBox,alexnet,30/70,vgg,bing,50/50,0.30821916,0.02054794520547945,0.5958904109589042
36,bing,False,RandomBlackBox,alexnet,30/70,alexnet,google,20/80,0.34,0.28,0.4
37,bing,False,RandomBlackBox,alexnet,30/70,alexnet,google,30/70,0.35666668,0.16,0.5533333333333333
38,bing,False,RandomBlackBox,alexnet,30/70,alexnet,google,40/60,0.35,0.06666666666666667,0.6333333333333333
39,bing,False,RandomBlackBox,alexnet,30/70,alexnet,google,50/50,0.43666667,0.02,0.8533333333333334
40,bing,False,RandomBlackBox,alexnet,30/70,resnet,google,20/80,0.36666667,0.66,0.07333333333333333
41,bing,False,RandomBlackBox,alexnet,30/70,resnet,google,30/70,0.27,0.38,0.16
42,bing,False,RandomBlackBox,alexnet,30/70,resnet,google,40/60,0.31333333,0.03333333333333333,0.5933333333333334
43,bing,False,RandomBlackBox,alexnet,30/70,resnet,google,50/50,0.37333333,0.02,0.7266666666666667
44,bing,False,RandomBlackBox,alexnet,30/70,vgg,google,20/80,0.22666667,0.18666666666666668,0.26666666666666666
45,bing,False,RandomBlackBox,alexnet,30/70,vgg,google,30/70,0.22666667,0.16,0.29333333333333333
46,bing,False,RandomBlackBox,alexnet,30/70,vgg,google,40/60,0.27,0.08666666666666667,0.4533333333333333
47,bing,False,RandomBlackBox,alexnet,30/70,vgg,google,50/50,0.3,0.006666666666666667,0.5933333333333334
48,bing,False,RandomBlackBox,alexnet,40/60,alexnet,bing,20/80,0.5,0.016260162601626018,0.8993288590604027
49,bing,False,RandomBlackBox,alexnet,40/60,alexnet,bing,30/70,0.40492958,0.043795620437956206,0.7414965986394558
50,bing,False,RandomBlackBox,alexnet,40/60,alexnet,bing,40/60,0.42657343,0.014184397163120567,0.8275862068965517
51,bing,False,RandomBlackBox,alexnet,40/60,alexnet,bing,50/50,0.4084507,0.03597122302158273,0.7655172413793103
52,bing,False,RandomBlackBox,alexnet,40/60,resnet,bing,20/80,0.26041666,0.20863309352517986,0.3087248322147651
53,bing,False,RandomBlackBox,alexnet,40/60,resnet,bing,30/70,0.27272728,0.21014492753623187,0.3310810810810811
54,bing,False,RandomBlackBox,alexnet,40/60,resnet,bing,40/60,0.28027683,0.055944055944055944,0.5
