,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,20/80,0.18,0.21333334,0.147651
1,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,30/70,0.11,0.11333334,0.10738255
2,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,40/60,0.08,0.07333334,0.087248325
3,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,50/50,0.09,0.086666666,0.093959734
4,bing,False,SaltPepper,alexnet,20/80,resnet,bing,20/80,0.15666667,0.15333334,0.16107383
5,bing,False,SaltPepper,alexnet,20/80,resnet,bing,30/70,0.13666667,0.16666667,0.10738255
6,bing,False,SaltPepper,alexnet,20/80,resnet,bing,40/60,0.1,0.086666666,0.11409396
7,bing,False,SaltPepper,alexnet,20/80,resnet,bing,50/50,0.05666667,0.07333334,0.04026846
8,bing,False,SaltPepper,alexnet,20/80,vgg,bing,20/80,0.10333334,0.120000005,0.087248325
9,bing,False,SaltPepper,alexnet,20/80,vgg,bing,30/70,0.09666667,0.093333334,0.10067114
10,bing,False,SaltPepper,alexnet,20/80,vgg,bing,40/60,0.07,0.07333334,0.06711409
11,bing,False,SaltPepper,alexnet,20/80,vgg,bing,50/50,0.05666667,0.053333335,0.060402684
12,bing,False,SaltPepper,alexnet,20/80,alexnet,google,20/80,0.17333333,0.20666668,0.1409396
13,bing,False,SaltPepper,alexnet,20/80,alexnet,google,30/70,0.11666667,0.120000005,0.11409396
14,bing,False,SaltPepper,alexnet,20/80,alexnet,google,40/60,0.10666667,0.11333334,0.10067114
15,bing,False,SaltPepper,alexnet,20/80,alexnet,google,50/50,0.083333336,0.08,0.087248325
16,bing,False,SaltPepper,alexnet,20/80,resnet,google,20/80,0.17666668,0.21333334,0.1409396
17,bing,False,SaltPepper,alexnet,20/80,resnet,google,30/70,0.13666667,0.15333334,0.12080537
18,bing,False,SaltPepper,alexnet,20/80,resnet,google,40/60,0.11,0.12666667,0.093959734
19,bing,False,SaltPepper,alexnet,20/80,resnet,google,50/50,0.06666667,0.053333335,0.08053692
20,bing,False,SaltPepper,alexnet,20/80,vgg,google,20/80,0.093333334,0.11333334,0.0738255
21,bing,False,SaltPepper,alexnet,20/80,vgg,google,30/70,0.08,0.093333334,0.06711409
22,bing,False,SaltPepper,alexnet,20/80,vgg,google,40/60,0.05666667,0.04,0.06711409
23,bing,False,SaltPepper,alexnet,20/80,vgg,google,50/50,0.060000002,0.053333335,0.06711409
24,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,20/80,0.18,0.21333334,0.147651
25,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,30/70,0.11,0.11333334,0.10738255
26,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,40/60,0.08,0.07333334,0.087248325
27,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,50/50,0.09,0.086666666,0.093959734
28,bing,False,SaltPepper,alexnet,30/70,resnet,bing,20/80,0.15666667,0.15333334,0.16107383
29,bing,False,SaltPepper,alexnet,30/70,resnet,bing,30/70,0.13666667,0.16666667,0.10738255
