,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,Sharpen,alexnet,20/80,alexnet,bing,20/80,0.01831502,0.03225806451612903,0.006711409395973154
1,bing,False,Sharpen,alexnet,20/80,alexnet,bing,30/70,0.010676157,0.022222222222222223,0.0
2,bing,False,Sharpen,alexnet,20/80,alexnet,bing,40/60,0.01754386,0.027972027972027972,0.007042253521126761
3,bing,False,Sharpen,alexnet,20/80,alexnet,bing,50/50,0.01048951,0.014184397163120567,0.006896551724137931
4,bing,False,Sharpen,alexnet,20/80,resnet,bing,20/80,0.0068965517,0.014184397163120567,0.0
5,bing,False,Sharpen,alexnet,20/80,resnet,bing,30/70,0.0,0.0,0.0
6,bing,False,Sharpen,alexnet,20/80,resnet,bing,40/60,0.0069204154,0.013986013986013986,0.0
7,bing,False,Sharpen,alexnet,20/80,resnet,bing,50/50,0.010344828,0.013888888888888888,0.00684931506849315
8,bing,False,Sharpen,alexnet,20/80,vgg,bing,20/80,0.0,0.0,0.0
9,bing,False,Sharpen,alexnet,20/80,vgg,bing,30/70,0.006968641,0.007194244604316547,0.006756756756756757
10,bing,False,Sharpen,alexnet,20/80,vgg,bing,40/60,0.0068259384,0.013793103448275862,0.0
11,bing,False,Sharpen,alexnet,20/80,vgg,bing,50/50,0.0,0.0,0.0
12,bing,False,Sharpen,alexnet,20/80,alexnet,google,20/80,0.060000002,0.10666666666666667,0.013333333333333334
13,bing,False,Sharpen,alexnet,20/80,alexnet,google,30/70,0.05666667,0.06,0.05333333333333334
14,bing,False,Sharpen,alexnet,20/80,alexnet,google,40/60,0.046666667,0.06,0.03333333333333333
15,bing,False,Sharpen,alexnet,20/80,alexnet,google,50/50,0.043333333,0.04,0.04666666666666667
16,bing,False,Sharpen,alexnet,20/80,resnet,google,20/80,0.033333335,0.06,0.006666666666666667
17,bing,False,Sharpen,alexnet,20/80,resnet,google,30/70,0.03666667,0.04666666666666667,0.02666666666666667
18,bing,False,Sharpen,alexnet,20/80,resnet,google,40/60,0.033333335,0.03333333333333333,0.03333333333333333
19,bing,False,Sharpen,alexnet,20/80,resnet,google,50/50,0.033333335,0.03333333333333333,0.03333333333333333
20,bing,False,Sharpen,alexnet,20/80,vgg,google,20/80,0.030000001,0.06,0.0
21,bing,False,Sharpen,alexnet,20/80,vgg,google,30/70,0.030000001,0.05333333333333334,0.006666666666666667
22,bing,False,Sharpen,alexnet,20/80,vgg,google,40/60,0.030000001,0.04,0.02
23,bing,False,Sharpen,alexnet,20/80,vgg,google,50/50,0.023333333,0.02666666666666667,0.02
24,bing,False,Sharpen,alexnet,30/70,alexnet,bing,20/80,0.01831502,0.03225806451612903,0.006711409395973154
25,bing,False,Sharpen,alexnet,30/70,alexnet,bing,30/70,0.010676157,0.022222222222222223,0.0
26,bing,False,Sharpen,alexnet,30/70,alexnet,bing,40/60,0.01754386,0.027972027972027972,0.007042253521126761
27,bing,False,Sharpen,alexnet,30/70,alexnet,bing,50/50,0.01048951,0.014184397163120567,0.006896551724137931
28,bing,False,Sharpen,alexnet,30/70,resnet,bing,20/80,0.0068965517,0.014184397163120567,0.0
29,bing,False,Sharpen,alexnet,30/70,resnet,bing,30/70,0.0,0.0,0.0
30,bing,False,Sharpen,alexnet,30/70,resnet,bing,40/60,0.0069204154,0.013986013986013986,0.0
31,bing,False,Sharpen,alexnet,30/70,resnet,bing,50/50,0.010344828,0.013888888888888888,0.00684931506849315
32,bing,False,Sharpen,alexnet,30/70,vgg,bing,20/80,0.0,0.0,0.0
33,bing,False,Sharpen,alexnet,30/70,vgg,bing,30/70,0.006968641,0.007194244604316547,0.006756756756756757
34,bing,False,Sharpen,alexnet,30/70,vgg,bing,40/60,0.0068259384,0.013793103448275862,0.0
35,bing,False,Sharpen,alexnet,30/70,vgg,bing,50/50,0.0,0.0,0.0
36,bing,False,Sharpen,alexnet,30/70,alexnet,google,20/80,0.060000002,0.10666666666666667,0.013333333333333334
37,bing,False,Sharpen,alexnet,30/70,alexnet,google,30/70,0.05666667,0.06,0.05333333333333334
38,bing,False,Sharpen,alexnet,30/70,alexnet,google,40/60,0.046666667,0.06,0.03333333333333333
39,bing,False,Sharpen,alexnet,30/70,alexnet,google,50/50,0.043333333,0.04,0.04666666666666667
40,bing,False,Sharpen,alexnet,30/70,resnet,google,20/80,0.033333335,0.06,0.006666666666666667
41,bing,False,Sharpen,alexnet,30/70,resnet,google,30/70,0.03666667,0.04666666666666667,0.02666666666666667
42,bing,False,Sharpen,alexnet,30/70,resnet,google,40/60,0.033333335,0.03333333333333333,0.03333333333333333
43,bing,False,Sharpen,alexnet,30/70,resnet,google,50/50,0.033333335,0.03333333333333333,0.03333333333333333
44,bing,False,Sharpen,alexnet,30/70,vgg,google,20/80,0.030000001,0.06,0.0
45,bing,False,Sharpen,alexnet,30/70,vgg,google,30/70,0.030000001,0.05333333333333334,0.006666666666666667
46,bing,False,Sharpen,alexnet,30/70,vgg,google,40/60,0.030000001,0.04,0.02
47,bing,False,Sharpen,alexnet,30/70,vgg,google,50/50,0.023333333,0.02666666666666667,0.02
48,bing,False,Sharpen,alexnet,40/60,alexnet,bing,20/80,0.01831502,0.03225806451612903,0.006711409395973154
49,bing,False,Sharpen,alexnet,40/60,alexnet,bing,30/70,0.010676157,0.022222222222222223,0.0
50,bing,False,Sharpen,alexnet,40/60,alexnet,bing,40/60,0.01754386,0.027972027972027972,0.007042253521126761
51,bing,False,Sharpen,alexnet,40/60,alexnet,bing,50/50,0.01048951,0.014184397163120567,0.006896551724137931
52,bing,False,Sharpen,alexnet,40/60,resnet,bing,20/80,0.0068965517,0.014184397163120567,0.0
53,bing,False,Sharpen,alexnet,40/60,resnet,bing,30/70,0.0,0.0,0.0
54,bing,False,Sharpen,alexnet,40/60,resnet,bing,40/60,0.0069204154,0.013986013986013986,0.0
55,bing,False,Sharpen,alexnet,40/60,resnet,bing,50/50,0.010344828,0.013888888888888888,0.00684931506849315
56,bing,False,Sharpen,alexnet,40/60,vgg,bing,20/80,0.0,0.0,0.0
57,bing,False,Sharpen,alexnet,40/60,vgg,bing,30/70,0.006968641,0.007194244604316547,0.006756756756756757
58,bing,False,Sharpen,alexnet,40/60,vgg,bing,40/60,0.0068259384,0.013793103448275862,0.0
