,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,20/80,0.06593407,0.04032258064516129,0.087248322147651
1,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,30/70,0.07473309,0.02962962962962963,0.11643835616438356
2,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,40/60,0.073684216,0.006993006993006993,0.14084507042253522
3,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,50/50,0.06993007,0.028368794326241134,0.1103448275862069
4,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,20/80,0.020689655,0.03546099290780142,0.006711409395973154
5,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,30/70,0.017482517,0.021739130434782608,0.013513513513513514
6,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,40/60,0.013840831,0.013986013986013986,0.0136986301369863
7,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,50/50,0.013793103,0.006944444444444444,0.02054794520547945
8,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,20/80,0.027777778,0.03571428571428571,0.02027027027027027
9,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,30/70,0.024390245,0.02877697841726619,0.02027027027027027
10,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,40/60,0.020477815,0.006896551724137931,0.033783783783783786
11,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,50/50,0.023972603,0.0,0.04794520547945205
12,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,20/80,0.11333334,0.13333333333333333,0.09333333333333334
13,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,30/70,0.12666667,0.08,0.17333333333333334
14,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,40/60,0.11,0.04666666666666667,0.17333333333333334
15,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,50/50,0.15333334,0.04666666666666667,0.26
16,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,20/80,0.060000002,0.10666666666666667,0.013333333333333334
17,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,30/70,0.046666667,0.07333333333333333,0.02
18,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,40/60,0.033333335,0.03333333333333333,0.03333333333333333
19,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,50/50,0.03666667,0.02666666666666667,0.04666666666666667
20,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,20/80,0.046666667,0.08666666666666667,0.006666666666666667
21,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,30/70,0.043333333,0.05333333333333334,0.03333333333333333
22,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,40/60,0.043333333,0.02666666666666667,0.06
23,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,50/50,0.046666667,0.03333333333333333,0.06
24,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,20/80,0.06593407,0.04032258064516129,0.087248322147651
25,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,30/70,0.07473309,0.02962962962962963,0.11643835616438356
26,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,40/60,0.073684216,0.006993006993006993,0.14084507042253522
