,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,Square,alexnet,20/80,alexnet,bing,20/80,0.2783883,0.6129032258064516,0.0
1,bing,True,Square,alexnet,20/80,alexnet,bing,30/70,0.15302491,0.3037037037037037,0.0136986301369863
2,bing,True,Square,alexnet,20/80,alexnet,bing,40/60,0.1754386,0.3006993006993007,0.04929577464788732
3,bing,True,Square,alexnet,20/80,alexnet,bing,50/50,0.12587413,0.22695035460992907,0.027586206896551724
4,bing,True,Square,alexnet,20/80,resnet,bing,20/80,0.11034483,0.22695035460992907,0.0
5,bing,True,Square,alexnet,20/80,resnet,bing,30/70,0.08741259,0.17391304347826086,0.006756756756756757
6,bing,True,Square,alexnet,20/80,resnet,bing,40/60,0.038062286,0.055944055944055944,0.02054794520547945
7,bing,True,Square,alexnet,20/80,resnet,bing,50/50,0.024137931,0.013888888888888888,0.03424657534246575
8,bing,True,Square,alexnet,20/80,vgg,bing,20/80,0.12847222,0.2571428571428571,0.006756756756756757
9,bing,True,Square,alexnet,20/80,vgg,bing,30/70,0.080139376,0.1366906474820144,0.02702702702702703
10,bing,True,Square,alexnet,20/80,vgg,bing,40/60,0.061433446,0.06896551724137931,0.05405405405405406
11,bing,True,Square,alexnet,20/80,vgg,bing,50/50,0.05821918,0.03424657534246575,0.0821917808219178
12,bing,True,Square,alexnet,20/80,alexnet,google,20/80,0.23333333,0.44,0.02666666666666667
13,bing,True,Square,alexnet,20/80,alexnet,google,30/70,0.14,0.22,0.06
14,bing,True,Square,alexnet,20/80,alexnet,google,40/60,0.15333334,0.24,0.06666666666666667
15,bing,True,Square,alexnet,20/80,alexnet,google,50/50,0.123333335,0.15333333333333332,0.09333333333333334
16,bing,True,Square,alexnet,20/80,resnet,google,20/80,0.17333333,0.34,0.006666666666666667
17,bing,True,Square,alexnet,20/80,resnet,google,30/70,0.09,0.16,0.02
18,bing,True,Square,alexnet,20/80,resnet,google,40/60,0.060000002,0.04,0.08
19,bing,True,Square,alexnet,20/80,resnet,google,50/50,0.03666667,0.02,0.05333333333333334
20,bing,True,Square,alexnet,20/80,vgg,google,20/80,0.123333335,0.23333333333333334,0.013333333333333334
21,bing,True,Square,alexnet,20/80,vgg,google,30/70,0.06666667,0.08666666666666667,0.04666666666666667
22,bing,True,Square,alexnet,20/80,vgg,google,40/60,0.06333333,0.05333333333333334,0.07333333333333333
23,bing,True,Square,alexnet,20/80,vgg,google,50/50,0.07,0.02666666666666667,0.11333333333333333
24,bing,True,Square,alexnet,30/70,alexnet,bing,20/80,0.45054945,0.9919354838709677,0.0
25,bing,True,Square,alexnet,30/70,alexnet,bing,30/70,0.40569395,0.8222222222222222,0.02054794520547945
26,bing,True,Square,alexnet,30/70,alexnet,bing,40/60,0.45964915,0.9090909090909091,0.007042253521126761
27,bing,True,Square,alexnet,30/70,alexnet,bing,50/50,0.31118882,0.41843971631205673,0.20689655172413793
28,bing,True,Square,alexnet,30/70,resnet,bing,20/80,0.28965518,0.5957446808510638,0.0
29,bing,True,Square,alexnet,30/70,resnet,bing,30/70,0.22377622,0.4057971014492754,0.05405405405405406
30,bing,True,Square,alexnet,30/70,resnet,bing,40/60,0.18685122,0.3356643356643357,0.0410958904109589
31,bing,True,Square,alexnet,30/70,resnet,bing,50/50,0.1,0.09722222222222222,0.10273972602739725
32,bing,True,Square,alexnet,30/70,vgg,bing,20/80,0.3402778,0.6928571428571428,0.006756756756756757
33,bing,True,Square,alexnet,30/70,vgg,bing,30/70,0.271777,0.302158273381295,0.24324324324324326
34,bing,True,Square,alexnet,30/70,vgg,bing,40/60,0.20819113,0.2,0.21621621621621623
35,bing,True,Square,alexnet,30/70,vgg,bing,50/50,0.19520548,0.10273972602739725,0.2876712328767123
36,bing,True,Square,alexnet,30/70,alexnet,google,20/80,0.44,0.86,0.02
37,bing,True,Square,alexnet,30/70,alexnet,google,30/70,0.35666668,0.64,0.07333333333333333
38,bing,True,Square,alexnet,30/70,alexnet,google,40/60,0.42666668,0.7866666666666666,0.06666666666666667
39,bing,True,Square,alexnet,30/70,alexnet,google,50/50,0.27666667,0.4066666666666667,0.14666666666666667
40,bing,True,Square,alexnet,30/70,resnet,google,20/80,0.40333334,0.8,0.006666666666666667
41,bing,True,Square,alexnet,30/70,resnet,google,30/70,0.19666667,0.36,0.03333333333333333
42,bing,True,Square,alexnet,30/70,resnet,google,40/60,0.14333333,0.12666666666666668,0.16
43,bing,True,Square,alexnet,30/70,resnet,google,50/50,0.09666667,0.06666666666666667,0.12666666666666668
44,bing,True,Square,alexnet,30/70,vgg,google,20/80,0.29333335,0.58,0.006666666666666667
45,bing,True,Square,alexnet,30/70,vgg,google,30/70,0.18,0.14666666666666667,0.21333333333333335
46,bing,True,Square,alexnet,30/70,vgg,google,40/60,0.21000001,0.1,0.32
47,bing,True,Square,alexnet,30/70,vgg,google,50/50,0.19666667,0.04666666666666667,0.3466666666666667
48,bing,True,Square,alexnet,40/60,alexnet,bing,20/80,0.45421246,1.0,0.0
