,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,20/80,0.83882785,0.9354838709677419,0.7583892617449665
1,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,30/70,0.85765123,0.8740740740740741,0.8424657534246576
2,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,40/60,0.8807018,0.8881118881118881,0.8732394366197183
3,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,50/50,0.8636364,0.8865248226950354,0.8413793103448276
4,bing,True,TIFGSM,alexnet,20/80,resnet,bing,20/80,0.21724138,0.28368794326241137,0.15436241610738255
5,bing,True,TIFGSM,alexnet,20/80,resnet,bing,30/70,0.1923077,0.2898550724637681,0.10135135135135136
6,bing,True,TIFGSM,alexnet,20/80,resnet,bing,40/60,0.183391,0.1888111888111888,0.1780821917808219
7,bing,True,TIFGSM,alexnet,20/80,resnet,bing,50/50,0.15172413,0.13194444444444445,0.17123287671232876
8,bing,True,TIFGSM,alexnet,20/80,vgg,bing,20/80,0.21180555,0.36428571428571427,0.06756756756756757
9,bing,True,TIFGSM,alexnet,20/80,vgg,bing,30/70,0.2195122,0.38848920863309355,0.060810810810810814
10,bing,True,TIFGSM,alexnet,20/80,vgg,bing,40/60,0.22866893,0.296551724137931,0.16216216216216217
11,bing,True,TIFGSM,alexnet,20/80,vgg,bing,50/50,0.2260274,0.2465753424657534,0.2054794520547945
12,bing,True,TIFGSM,alexnet,20/80,alexnet,google,20/80,0.85,0.9266666666666666,0.7733333333333333
13,bing,True,TIFGSM,alexnet,20/80,alexnet,google,30/70,0.8466667,0.8133333333333334,0.88
14,bing,True,TIFGSM,alexnet,20/80,alexnet,google,40/60,0.84333336,0.8333333333333334,0.8533333333333334
15,bing,True,TIFGSM,alexnet,20/80,alexnet,google,50/50,0.87,0.8,0.94
16,bing,True,TIFGSM,alexnet,20/80,resnet,google,20/80,0.20666668,0.32666666666666666,0.08666666666666667
17,bing,True,TIFGSM,alexnet,20/80,resnet,google,30/70,0.20333333,0.30666666666666664,0.1
18,bing,True,TIFGSM,alexnet,20/80,resnet,google,40/60,0.17666668,0.14,0.21333333333333335
19,bing,True,TIFGSM,alexnet,20/80,resnet,google,50/50,0.14333333,0.11333333333333333,0.17333333333333334
20,bing,True,TIFGSM,alexnet,20/80,vgg,google,20/80,0.25333333,0.44,0.06666666666666667
21,bing,True,TIFGSM,alexnet,20/80,vgg,google,30/70,0.23666668,0.36,0.11333333333333333
22,bing,True,TIFGSM,alexnet,20/80,vgg,google,40/60,0.23,0.30666666666666664,0.15333333333333332
23,bing,True,TIFGSM,alexnet,20/80,vgg,google,50/50,0.24000001,0.26,0.22
24,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,20/80,0.7655678,0.8870967741935484,0.6644295302013423
25,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,30/70,0.83985764,0.8444444444444444,0.8356164383561644
26,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,40/60,0.8210527,0.7902097902097902,0.852112676056338
27,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,50/50,0.79720277,0.8014184397163121,0.7931034482758621
28,bing,True,TIFGSM,alexnet,30/70,resnet,bing,20/80,0.17931035,0.2553191489361702,0.10738255033557047
29,bing,True,TIFGSM,alexnet,30/70,resnet,bing,30/70,0.18531469,0.2753623188405797,0.10135135135135136
30,bing,True,TIFGSM,alexnet,30/70,resnet,bing,40/60,0.14878893,0.15384615384615385,0.14383561643835616
31,bing,True,TIFGSM,alexnet,30/70,resnet,bing,50/50,0.14482759,0.125,0.1643835616438356
32,bing,True,TIFGSM,alexnet,30/70,vgg,bing,20/80,0.18402778,0.3,0.07432432432432433
33,bing,True,TIFGSM,alexnet,30/70,vgg,bing,30/70,0.19512196,0.31654676258992803,0.08108108108108109
34,bing,True,TIFGSM,alexnet,30/70,vgg,bing,40/60,0.18771331,0.2482758620689655,0.12837837837837837
35,bing,True,TIFGSM,alexnet,30/70,vgg,bing,50/50,0.17123288,0.1917808219178082,0.1506849315068493
36,bing,True,TIFGSM,alexnet,30/70,alexnet,google,20/80,0.7866667,0.82,0.7533333333333333
37,bing,True,TIFGSM,alexnet,30/70,alexnet,google,30/70,0.81666666,0.74,0.8933333333333333
38,bing,True,TIFGSM,alexnet,30/70,alexnet,google,40/60,0.78333336,0.7266666666666667,0.84
39,bing,True,TIFGSM,alexnet,30/70,alexnet,google,50/50,0.8,0.6733333333333333,0.9266666666666666
40,bing,True,TIFGSM,alexnet,30/70,resnet,google,20/80,0.19,0.3,0.08
41,bing,True,TIFGSM,alexnet,30/70,resnet,google,30/70,0.18,0.26,0.1
42,bing,True,TIFGSM,alexnet,30/70,resnet,google,40/60,0.13333334,0.1,0.16666666666666666
