,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,BIM,alexnet,20/80,alexnet,bing,20/80,0.59143966,0.7787610619469026,0.4444444444444444
1,bing,True,BIM,alexnet,20/80,alexnet,bing,30/70,0.6,0.6612903225806451,0.5460992907801419
2,bing,True,BIM,alexnet,20/80,alexnet,bing,40/60,0.5912409,0.5766423357664233,0.6058394160583942
3,bing,True,BIM,alexnet,20/80,alexnet,bing,50/50,0.54379565,0.4857142857142857,0.6044776119402985
4,bing,True,BIM,alexnet,20/80,resnet,bing,20/80,0.25539568,0.2631578947368421,0.2482758620689655
5,bing,True,BIM,alexnet,20/80,resnet,bing,30/70,0.28671327,0.2907801418439716,0.2827586206896552
6,bing,True,BIM,alexnet,20/80,resnet,bing,40/60,0.306338,0.16083916083916083,0.45390070921985815
7,bing,True,BIM,alexnet,20/80,resnet,bing,50/50,0.32291666,0.14383561643835616,0.5070422535211268
8,bing,True,BIM,alexnet,20/80,vgg,bing,20/80,0.3465704,0.3082706766917293,0.3819444444444444
9,bing,True,BIM,alexnet,20/80,vgg,bing,30/70,0.33935016,0.2222222222222222,0.4507042253521127
10,bing,True,BIM,alexnet,20/80,vgg,bing,40/60,0.3886926,0.13986013986013987,0.6428571428571429
11,bing,True,BIM,alexnet,20/80,vgg,bing,50/50,0.38732395,0.13286713286713286,0.6453900709219859
12,bing,True,BIM,alexnet,20/80,alexnet,google,20/80,0.6066667,0.7,0.5133333333333333
13,bing,True,BIM,alexnet,20/80,alexnet,google,30/70,0.5266667,0.5133333333333333,0.54
14,bing,True,BIM,alexnet,20/80,alexnet,google,40/60,0.5466667,0.4266666666666667,0.6666666666666666
15,bing,True,BIM,alexnet,20/80,alexnet,google,50/50,0.5133333,0.3333333333333333,0.6933333333333334
16,bing,True,BIM,alexnet,20/80,resnet,google,20/80,0.29666668,0.2733333333333333,0.32
17,bing,True,BIM,alexnet,20/80,resnet,google,30/70,0.31666666,0.16,0.47333333333333333
18,bing,True,BIM,alexnet,20/80,resnet,google,40/60,0.36333334,0.09333333333333334,0.6333333333333333
19,bing,True,BIM,alexnet,20/80,resnet,google,50/50,0.35666668,0.06666666666666667,0.6466666666666666
20,bing,True,BIM,alexnet,20/80,vgg,google,20/80,0.38,0.32666666666666666,0.43333333333333335
21,bing,True,BIM,alexnet,20/80,vgg,google,30/70,0.36333334,0.13333333333333333,0.5933333333333334
