,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,DeepFool,alexnet,20/80,alexnet,bing,20/80,0.101167314,0.061946902654867256,0.13194444444444445
1,bing,True,DeepFool,alexnet,20/80,alexnet,bing,30/70,0.064150944,0.03225806451612903,0.09219858156028368
2,bing,True,DeepFool,alexnet,20/80,alexnet,bing,40/60,0.08029197,0.014598540145985401,0.145985401459854
3,bing,True,DeepFool,alexnet,20/80,alexnet,bing,50/50,0.054744527,0.007142857142857143,0.1044776119402985
4,bing,True,DeepFool,alexnet,20/80,resnet,bing,20/80,0.02877698,0.007518796992481203,0.04827586206896552
5,bing,True,DeepFool,alexnet,20/80,resnet,bing,30/70,0.024475524,0.0070921985815602835,0.041379310344827586
6,bing,True,DeepFool,alexnet,20/80,resnet,bing,40/60,0.056338027,0.006993006993006993,0.10638297872340426
7,bing,True,DeepFool,alexnet,20/80,resnet,bing,50/50,0.07638889,0.0,0.15492957746478872
8,bing,True,DeepFool,alexnet,20/80,vgg,bing,20/80,0.039711192,0.0,0.0763888888888889
9,bing,True,DeepFool,alexnet,20/80,vgg,bing,30/70,0.036101084,0.0,0.07042253521126761
10,bing,True,DeepFool,alexnet,20/80,vgg,bing,40/60,0.15547703,0.0,0.3142857142857143
11,bing,True,DeepFool,alexnet,20/80,vgg,bing,50/50,0.10211267,0.0,0.20567375886524822
12,bing,True,DeepFool,alexnet,20/80,alexnet,google,20/80,0.23666668,0.38,0.09333333333333334
13,bing,True,DeepFool,alexnet,20/80,alexnet,google,30/70,0.2,0.21333333333333335,0.18666666666666668
14,bing,True,DeepFool,alexnet,20/80,alexnet,google,40/60,0.15666667,0.13333333333333333,0.18
15,bing,True,DeepFool,alexnet,20/80,alexnet,google,50/50,0.17,0.1,0.24
16,bing,True,DeepFool,alexnet,20/80,resnet,google,20/80,0.16,0.22666666666666666,0.09333333333333334
17,bing,True,DeepFool,alexnet,20/80,resnet,google,30/70,0.17,0.16,0.18
18,bing,True,DeepFool,alexnet,20/80,resnet,google,40/60,0.25,0.06,0.44
19,bing,True,DeepFool,alexnet,20/80,resnet,google,50/50,0.31666666,0.05333333333333334,0.58
20,bing,True,DeepFool,alexnet,20/80,vgg,google,20/80,0.20333333,0.24666666666666667,0.16
21,bing,True,DeepFool,alexnet,20/80,vgg,google,30/70,0.35,0.11333333333333333,0.5866666666666667
22,bing,True,DeepFool,alexnet,20/80,vgg,google,40/60,0.3866667,0.07333333333333333,0.7
23,bing,True,DeepFool,alexnet,20/80,vgg,google,50/50,0.45000002,0.05333333333333334,0.8466666666666667
24,bing,True,DeepFool,alexnet,30/70,alexnet,bing,20/80,0.07392996,0.10619469026548672,0.04861111111111111
25,bing,True,DeepFool,alexnet,30/70,alexnet,bing,30/70,0.109433964,0.0967741935483871,0.12056737588652482
26,bing,True,DeepFool,alexnet,30/70,alexnet,bing,40/60,0.0729927,0.06569343065693431,0.08029197080291971
27,bing,True,DeepFool,alexnet,30/70,alexnet,bing,50/50,0.05109489,0.04285714285714286,0.05970149253731343
28,bing,True,DeepFool,alexnet,30/70,resnet,bing,20/80,0.043165468,0.045112781954887216,0.041379310344827586
29,bing,True,DeepFool,alexnet,30/70,resnet,bing,30/70,0.04195804,0.0425531914893617,0.041379310344827586
30,bing,True,DeepFool,alexnet,30/70,resnet,bing,40/60,0.06690141,0.027972027972027972,0.10638297872340426
31,bing,True,DeepFool,alexnet,30/70,resnet,bing,50/50,0.052083332,0.00684931506849315,0.09859154929577464
32,bing,True,DeepFool,alexnet,30/70,vgg,bing,20/80,0.032490976,0.022556390977443608,0.041666666666666664
33,bing,True,DeepFool,alexnet,30/70,vgg,bing,30/70,0.0433213,0.014814814814814815,0.07042253521126761
34,bing,True,DeepFool,alexnet,30/70,vgg,bing,40/60,0.10600707,0.006993006993006993,0.20714285714285716
35,bing,True,DeepFool,alexnet,30/70,vgg,bing,50/50,0.06690141,0.006993006993006993,0.1276595744680851
36,bing,True,DeepFool,alexnet,30/70,alexnet,google,20/80,0.21333334,0.41333333333333333,0.013333333333333334
37,bing,True,DeepFool,alexnet,30/70,alexnet,google,30/70,0.24666667,0.26,0.23333333333333334
