,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,FGSM,alexnet,20/80,alexnet,bing,20/80,0.51361865,0.8849557522123894,0.2222222222222222
1,bing,True,FGSM,alexnet,20/80,alexnet,bing,30/70,0.53207546,0.8709677419354839,0.23404255319148937
2,bing,True,FGSM,alexnet,20/80,alexnet,bing,40/60,0.540146,0.8540145985401459,0.22627737226277372
3,bing,True,FGSM,alexnet,20/80,alexnet,bing,50/50,0.49270073,0.75,0.22388059701492538
4,bing,True,FGSM,alexnet,20/80,resnet,bing,20/80,0.29856116,0.48872180451127817,0.12413793103448276
5,bing,True,FGSM,alexnet,20/80,resnet,bing,30/70,0.37062937,0.6666666666666666,0.08275862068965517
6,bing,True,FGSM,alexnet,20/80,resnet,bing,40/60,0.34507042,0.35664335664335667,0.3333333333333333
7,bing,True,FGSM,alexnet,20/80,resnet,bing,50/50,0.34375,0.3767123287671233,0.30985915492957744
8,bing,True,FGSM,alexnet,20/80,vgg,bing,20/80,0.37906137,0.48872180451127817,0.2777777777777778
9,bing,True,FGSM,alexnet,20/80,vgg,bing,30/70,0.36823106,0.43703703703703706,0.3028169014084507
10,bing,True,FGSM,alexnet,20/80,vgg,bing,40/60,0.43109542,0.1958041958041958,0.6714285714285714
11,bing,True,FGSM,alexnet,20/80,vgg,bing,50/50,0.40140843,0.20279720279720279,0.6028368794326241
12,bing,True,FGSM,alexnet,20/80,alexnet,google,20/80,0.5366667,0.96,0.11333333333333333
13,bing,True,FGSM,alexnet,20/80,alexnet,google,30/70,0.5233334,0.76,0.2866666666666667
14,bing,True,FGSM,alexnet,20/80,alexnet,google,40/60,0.5133333,0.8266666666666667,0.2
15,bing,True,FGSM,alexnet,20/80,alexnet,google,50/50,0.47,0.58,0.36
16,bing,True,FGSM,alexnet,20/80,resnet,google,20/80,0.32,0.5666666666666667,0.07333333333333333
