,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,20/80,0.25680932,0.3893805309734513,0.1527777777777778
1,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,30/70,0.23773585,0.3467741935483871,0.14184397163120568
2,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,40/60,0.229927,0.26277372262773724,0.19708029197080293
3,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,50/50,0.16423358,0.09285714285714286,0.23880597014925373
4,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,20/80,0.11510792,0.08270676691729323,0.14482758620689656
5,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,30/70,0.1048951,0.1276595744680851,0.08275862068965517
6,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,40/60,0.16197182,0.08391608391608392,0.24113475177304963
7,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,50/50,0.1701389,0.0684931506849315,0.2746478873239437
8,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,20/80,0.13718411,0.06766917293233082,0.2013888888888889
9,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,30/70,0.14079422,0.044444444444444446,0.2323943661971831
10,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,40/60,0.28268552,0.04895104895104895,0.5214285714285715
11,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,50/50,0.2535211,0.04195804195804196,0.46808510638297873
12,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,20/80,0.32666668,0.4866666666666667,0.16666666666666666
13,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,30/70,0.27333334,0.25333333333333335,0.29333333333333333
14,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,40/60,0.27,0.3,0.24
15,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,50/50,0.26666668,0.12,0.41333333333333333
16,bing,False,GaussianNoise,alexnet,20/80,resnet,google,20/80,0.18333334,0.20666666666666667,0.16
17,bing,False,GaussianNoise,alexnet,20/80,resnet,google,30/70,0.23333333,0.11333333333333333,0.35333333333333333
18,bing,False,GaussianNoise,alexnet,20/80,resnet,google,40/60,0.31666666,0.02,0.6133333333333333
19,bing,False,GaussianNoise,alexnet,20/80,resnet,google,50/50,0.32,0.013333333333333334,0.6266666666666667
20,bing,False,GaussianNoise,alexnet,20/80,vgg,google,20/80,0.26666668,0.18,0.35333333333333333
21,bing,False,GaussianNoise,alexnet,20/80,vgg,google,30/70,0.36333334,0.03333333333333333,0.6933333333333334
22,bing,False,GaussianNoise,alexnet,20/80,vgg,google,40/60,0.41,0.0,0.82
23,bing,False,GaussianNoise,alexnet,20/80,vgg,google,50/50,0.45333335,0.0,0.9066666666666666
24,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,20/80,0.25291827,0.34513274336283184,0.18055555555555555
25,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,30/70,0.26415095,0.3629032258064516,0.1773049645390071
26,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,40/60,0.24087591,0.26277372262773724,0.21897810218978103
27,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,50/50,0.17518248,0.10714285714285714,0.2462686567164179
28,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,20/80,0.11510792,0.09774436090225563,0.1310344827586207
29,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,30/70,0.13286713,0.14893617021276595,0.11724137931034483
30,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,40/60,0.14788732,0.055944055944055944,0.24113475177304963
31,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,50/50,0.18402778,0.0684931506849315,0.3028169014084507
32,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,20/80,0.1299639,0.07518796992481203,0.18055555555555555
33,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,30/70,0.15523465,0.06666666666666667,0.23943661971830985
34,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,40/60,0.27561837,0.03496503496503497,0.5214285714285715
35,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,50/50,0.24295774,0.027972027972027972,0.46099290780141844
36,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,20/80,0.31333333,0.46,0.16666666666666666
37,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,30/70,0.28,0.26666666666666666,0.29333333333333333
38,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,40/60,0.27333334,0.31333333333333335,0.23333333333333334
39,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,50/50,0.26333335,0.12666666666666668,0.4
40,bing,False,GaussianNoise,alexnet,30/70,resnet,google,20/80,0.2,0.26,0.14
41,bing,False,GaussianNoise,alexnet,30/70,resnet,google,30/70,0.23666668,0.12,0.35333333333333333
42,bing,False,GaussianNoise,alexnet,30/70,resnet,google,40/60,0.31666666,0.013333333333333334,0.62
43,bing,False,GaussianNoise,alexnet,30/70,resnet,google,50/50,0.32666668,0.013333333333333334,0.64
44,bing,False,GaussianNoise,alexnet,30/70,vgg,google,20/80,0.27333334,0.2,0.3466666666666667
45,bing,False,GaussianNoise,alexnet,30/70,vgg,google,30/70,0.35333335,0.02666666666666667,0.68
46,bing,False,GaussianNoise,alexnet,30/70,vgg,google,40/60,0.40666667,0.0,0.8133333333333334
47,bing,False,GaussianNoise,alexnet,30/70,vgg,google,50/50,0.46,0.0,0.92
48,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,20/80,0.24513619,0.36283185840707965,0.1527777777777778
49,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,30/70,0.25660378,0.3790322580645161,0.14893617021276595
50,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,40/60,0.2080292,0.24087591240875914,0.17518248175182483
51,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,50/50,0.16058394,0.09285714285714286,0.23134328358208955
52,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,20/80,0.11510792,0.09774436090225563,0.1310344827586207
53,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,30/70,0.115384616,0.12056737588652482,0.1103448275862069
54,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,40/60,0.15845071,0.08391608391608392,0.23404255319148937
55,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,50/50,0.1701389,0.0684931506849315,0.2746478873239437
56,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,20/80,0.1299639,0.06766917293233082,0.1875
57,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,30/70,0.14801444,0.05185185185185185,0.23943661971830985
58,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,40/60,0.2862191,0.04195804195804196,0.5357142857142857
59,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,50/50,0.26760563,0.04195804195804196,0.49645390070921985
60,bing,False,GaussianNoise,alexnet,40/60,alexnet,google,20/80,0.31,0.4666666666666667,0.15333333333333332
