,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,GreyScale,alexnet,20/80,alexnet,bing,20/80,0.069767445,0.10526315789473684,0.041666666666666664
1,bing,False,GreyScale,alexnet,20/80,alexnet,bing,30/70,0.06037736,0.056451612903225805,0.06382978723404255
2,bing,False,GreyScale,alexnet,20/80,alexnet,bing,40/60,0.108695656,0.10144927536231885,0.11594202898550725
3,bing,False,GreyScale,alexnet,20/80,alexnet,bing,50/50,0.07720588,0.02877697841726619,0.12781954887218044
4,bing,False,GreyScale,alexnet,20/80,resnet,bing,20/80,0.032490976,0.03787878787878788,0.027586206896551724
5,bing,False,GreyScale,alexnet,20/80,resnet,bing,30/70,0.027972028,0.03546099290780142,0.020689655172413793
6,bing,False,GreyScale,alexnet,20/80,resnet,bing,40/60,0.038732395,0.013986013986013986,0.06382978723404255
7,bing,False,GreyScale,alexnet,20/80,resnet,bing,50/50,0.013888889,0.00684931506849315,0.02112676056338028
8,bing,False,GreyScale,alexnet,20/80,vgg,bing,20/80,0.025270758,0.007518796992481203,0.041666666666666664
9,bing,False,GreyScale,alexnet,20/80,vgg,bing,30/70,0.025270758,0.0,0.04929577464788732
10,bing,False,GreyScale,alexnet,20/80,vgg,bing,40/60,0.03180212,0.006993006993006993,0.05714285714285714
11,bing,False,GreyScale,alexnet,20/80,vgg,bing,50/50,0.024647888,0.006993006993006993,0.0425531914893617
12,bing,False,GreyScale,alexnet,20/80,alexnet,google,20/80,0.23666668,0.4066666666666667,0.06666666666666667
13,bing,False,GreyScale,alexnet,20/80,alexnet,google,30/70,0.16666667,0.26666666666666666,0.06666666666666667
14,bing,False,GreyScale,alexnet,20/80,alexnet,google,40/60,0.14,0.13333333333333333,0.14666666666666667
15,bing,False,GreyScale,alexnet,20/80,alexnet,google,50/50,0.15666667,0.08,0.23333333333333334
16,bing,False,GreyScale,alexnet,20/80,resnet,google,20/80,0.16666667,0.30666666666666664,0.02666666666666667
17,bing,False,GreyScale,alexnet,20/80,resnet,google,30/70,0.14333333,0.22666666666666666,0.06
18,bing,False,GreyScale,alexnet,20/80,resnet,google,40/60,0.086666666,0.08,0.09333333333333334
19,bing,False,GreyScale,alexnet,20/80,resnet,google,50/50,0.07333334,0.07333333333333333,0.07333333333333333
20,bing,False,GreyScale,alexnet,20/80,vgg,google,20/80,0.14,0.24,0.04
21,bing,False,GreyScale,alexnet,20/80,vgg,google,30/70,0.093333334,0.13333333333333333,0.05333333333333334
22,bing,False,GreyScale,alexnet,20/80,vgg,google,40/60,0.07333334,0.06666666666666667,0.08
23,bing,False,GreyScale,alexnet,20/80,vgg,google,50/50,0.07,0.04666666666666667,0.09333333333333334
24,bing,False,GreyScale,alexnet,30/70,alexnet,bing,20/80,0.069767445,0.10526315789473684,0.041666666666666664
25,bing,False,GreyScale,alexnet,30/70,alexnet,bing,30/70,0.06037736,0.056451612903225805,0.06382978723404255
26,bing,False,GreyScale,alexnet,30/70,alexnet,bing,40/60,0.108695656,0.10144927536231885,0.11594202898550725
27,bing,False,GreyScale,alexnet,30/70,alexnet,bing,50/50,0.07720588,0.02877697841726619,0.12781954887218044
