,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,PGD,alexnet,20/80,alexnet,bing,20/80,0.62015504,0.7894736842105263,0.4861111111111111
1,bing,True,PGD,alexnet,20/80,alexnet,bing,30/70,0.60754716,0.7580645161290323,0.475177304964539
2,bing,True,PGD,alexnet,20/80,alexnet,bing,40/60,0.6014493,0.6376811594202898,0.5652173913043478
3,bing,True,PGD,alexnet,20/80,alexnet,bing,50/50,0.52205884,0.460431654676259,0.5864661654135338
4,bing,True,PGD,alexnet,20/80,resnet,bing,20/80,0.26714802,0.1893939393939394,0.33793103448275863
5,bing,True,PGD,alexnet,20/80,resnet,bing,30/70,0.27622378,0.23404255319148937,0.31724137931034485
6,bing,True,PGD,alexnet,20/80,resnet,bing,40/60,0.306338,0.13286713286713286,0.48226950354609927
7,bing,True,PGD,alexnet,20/80,resnet,bing,50/50,0.34375,0.13013698630136986,0.5633802816901409
8,bing,True,PGD,alexnet,20/80,vgg,bing,20/80,0.42238268,0.21052631578947367,0.6180555555555556
9,bing,True,PGD,alexnet,20/80,vgg,bing,30/70,0.40433213,0.1259259259259259,0.6690140845070423
10,bing,True,PGD,alexnet,20/80,vgg,bing,40/60,0.45229682,0.06293706293706294,0.85
11,bing,True,PGD,alexnet,20/80,vgg,bing,50/50,0.45774648,0.07692307692307693,0.8439716312056738
12,bing,True,PGD,alexnet,20/80,alexnet,google,20/80,0.57666665,0.7333333333333333,0.42
13,bing,True,PGD,alexnet,20/80,alexnet,google,30/70,0.53000003,0.5133333333333333,0.5466666666666666
14,bing,True,PGD,alexnet,20/80,alexnet,google,40/60,0.5466667,0.56,0.5333333333333333
15,bing,True,PGD,alexnet,20/80,alexnet,google,50/50,0.53000003,0.41333333333333333,0.6466666666666666
16,bing,True,PGD,alexnet,20/80,resnet,google,20/80,0.33,0.24,0.42
17,bing,True,PGD,alexnet,20/80,resnet,google,30/70,0.4,0.12666666666666668,0.6733333333333333
18,bing,True,PGD,alexnet,20/80,resnet,google,40/60,0.44333336,0.04,0.8466666666666667
19,bing,True,PGD,alexnet,20/80,resnet,google,50/50,0.44333336,0.02666666666666667,0.86
20,bing,True,PGD,alexnet,20/80,vgg,google,20/80,0.45000002,0.25333333333333335,0.6466666666666666
21,bing,True,PGD,alexnet,20/80,vgg,google,30/70,0.49,0.06,0.92
22,bing,True,PGD,alexnet,20/80,vgg,google,40/60,0.4766667,0.0,0.9533333333333334
23,bing,True,PGD,alexnet,20/80,vgg,google,50/50,0.49,0.0,0.98
24,bing,True,PGD,alexnet,30/70,alexnet,bing,20/80,0.58914727,0.7719298245614035,0.4444444444444444
25,bing,True,PGD,alexnet,30/70,alexnet,bing,30/70,0.6716981,0.8145161290322581,0.5460992907801419
26,bing,True,PGD,alexnet,30/70,alexnet,bing,40/60,0.634058,0.6811594202898551,0.5869565217391305
27,bing,True,PGD,alexnet,30/70,alexnet,bing,50/50,0.5735294,0.48201438848920863,0.6691729323308271
28,bing,True,PGD,alexnet,30/70,resnet,bing,20/80,0.26714802,0.20454545454545456,0.32413793103448274
29,bing,True,PGD,alexnet,30/70,resnet,bing,30/70,0.2972028,0.23404255319148937,0.3586206896551724
30,bing,True,PGD,alexnet,30/70,resnet,bing,40/60,0.33450705,0.16083916083916083,0.5106382978723404
31,bing,True,PGD,alexnet,30/70,resnet,bing,50/50,0.3923611,0.15753424657534246,0.6338028169014085
32,bing,True,PGD,alexnet,30/70,vgg,bing,20/80,0.4440433,0.2631578947368421,0.6111111111111112
33,bing,True,PGD,alexnet,30/70,vgg,bing,30/70,0.45487365,0.1925925925925926,0.704225352112676
34,bing,True,PGD,alexnet,30/70,vgg,bing,40/60,0.44876325,0.06993006993006994,0.8357142857142857
35,bing,True,PGD,alexnet,30/70,vgg,bing,50/50,0.44366196,0.06293706293706294,0.8297872340425532
36,bing,True,PGD,alexnet,30/70,alexnet,google,20/80,0.58000004,0.72,0.44
37,bing,True,PGD,alexnet,30/70,alexnet,google,30/70,0.5566667,0.5266666666666666,0.5866666666666667
38,bing,True,PGD,alexnet,30/70,alexnet,google,40/60,0.54,0.5266666666666666,0.5533333333333333
39,bing,True,PGD,alexnet,30/70,alexnet,google,50/50,0.53333336,0.3933333333333333,0.6733333333333333
40,bing,True,PGD,alexnet,30/70,resnet,google,20/80,0.36333334,0.28,0.44666666666666666
41,bing,True,PGD,alexnet,30/70,resnet,google,30/70,0.40333334,0.13333333333333333,0.6733333333333333
42,bing,True,PGD,alexnet,30/70,resnet,google,40/60,0.44333336,0.04,0.8466666666666667
43,bing,True,PGD,alexnet,30/70,resnet,google,50/50,0.42666668,0.02666666666666667,0.8266666666666667
44,bing,True,PGD,alexnet,30/70,vgg,google,20/80,0.4466667,0.26666666666666666,0.6266666666666667
45,bing,True,PGD,alexnet,30/70,vgg,google,30/70,0.46666667,0.05333333333333334,0.88
46,bing,True,PGD,alexnet,30/70,vgg,google,40/60,0.46333334,0.013333333333333334,0.9133333333333333
47,bing,True,PGD,alexnet,30/70,vgg,google,50/50,0.4766667,0.006666666666666667,0.9466666666666667
48,bing,True,PGD,alexnet,40/60,alexnet,bing,20/80,0.58914727,0.8157894736842105,0.4097222222222222
49,bing,True,PGD,alexnet,40/60,alexnet,bing,30/70,0.61886793,0.8387096774193549,0.425531914893617
50,bing,True,PGD,alexnet,40/60,alexnet,bing,40/60,0.70652175,0.8260869565217391,0.5869565217391305
51,bing,True,PGD,alexnet,40/60,alexnet,bing,50/50,0.60294116,0.6115107913669064,0.5939849624060151
52,bing,True,PGD,alexnet,40/60,resnet,bing,20/80,0.28880867,0.2196969696969697,0.35172413793103446
53,bing,True,PGD,alexnet,40/60,resnet,bing,30/70,0.3216783,0.3546099290780142,0.2896551724137931
54,bing,True,PGD,alexnet,40/60,resnet,bing,40/60,0.32042253,0.18181818181818182,0.46099290780141844
55,bing,True,PGD,alexnet,40/60,resnet,bing,50/50,0.3923611,0.2191780821917808,0.5704225352112676
56,bing,True,PGD,alexnet,40/60,vgg,bing,20/80,0.4259928,0.2631578947368421,0.5763888888888888
57,bing,True,PGD,alexnet,40/60,vgg,bing,30/70,0.4368231,0.21481481481481482,0.647887323943662
58,bing,True,PGD,alexnet,40/60,vgg,bing,40/60,0.4558304,0.055944055944055944,0.8642857142857143
59,bing,True,PGD,alexnet,40/60,vgg,bing,50/50,0.48239437,0.11188811188811189,0.8581560283687943
60,bing,True,PGD,alexnet,40/60,alexnet,google,20/80,0.6,0.8066666666666666,0.3933333333333333
61,bing,True,PGD,alexnet,40/60,alexnet,google,30/70,0.59333336,0.6266666666666667,0.56
62,bing,True,PGD,alexnet,40/60,alexnet,google,40/60,0.6,0.6933333333333334,0.5066666666666667
63,bing,True,PGD,alexnet,40/60,alexnet,google,50/50,0.56666666,0.5266666666666666,0.6066666666666667
64,bing,True,PGD,alexnet,40/60,resnet,google,20/80,0.3866667,0.32,0.4533333333333333
65,bing,True,PGD,alexnet,40/60,resnet,google,30/70,0.42666668,0.16,0.6933333333333334
66,bing,True,PGD,alexnet,40/60,resnet,google,40/60,0.45666668,0.02,0.8933333333333333
67,bing,True,PGD,alexnet,40/60,resnet,google,50/50,0.4466667,0.006666666666666667,0.8866666666666667
68,bing,True,PGD,alexnet,40/60,vgg,google,20/80,0.46666667,0.23333333333333334,0.7
69,bing,True,PGD,alexnet,40/60,vgg,google,30/70,0.48333335,0.04,0.9266666666666666
70,bing,True,PGD,alexnet,40/60,vgg,google,40/60,0.48666668,0.0,0.9733333333333334
71,bing,True,PGD,alexnet,40/60,vgg,google,50/50,0.49666667,0.0,0.9933333333333333
72,bing,True,PGD,alexnet,50/50,alexnet,bing,20/80,0.6085271,0.8245614035087719,0.4375
73,bing,True,PGD,alexnet,50/50,alexnet,bing,30/70,0.6490566,0.8387096774193549,0.48226950354609927
