,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,RFGSM,alexnet,20/80,alexnet,bing,20/80,0.59143966,0.7699115044247787,0.4513888888888889
1,bing,True,RFGSM,alexnet,20/80,alexnet,bing,30/70,0.59622645,0.6693548387096774,0.5319148936170213
2,bing,True,RFGSM,alexnet,20/80,alexnet,bing,40/60,0.59489053,0.5766423357664233,0.6131386861313869
3,bing,True,RFGSM,alexnet,20/80,alexnet,bing,50/50,0.55474454,0.4642857142857143,0.6492537313432836
4,bing,True,RFGSM,alexnet,20/80,resnet,bing,20/80,0.26258993,0.2706766917293233,0.25517241379310346
5,bing,True,RFGSM,alexnet,20/80,resnet,bing,30/70,0.3041958,0.3120567375886525,0.296551724137931
6,bing,True,RFGSM,alexnet,20/80,resnet,bing,40/60,0.30985916,0.18181818181818182,0.4397163120567376
7,bing,True,RFGSM,alexnet,20/80,resnet,bing,50/50,0.3402778,0.17123287671232876,0.5140845070422535
8,bing,True,RFGSM,alexnet,20/80,vgg,bing,20/80,0.3501805,0.3007518796992481,0.3958333333333333
9,bing,True,RFGSM,alexnet,20/80,vgg,bing,30/70,0.33935016,0.2222222222222222,0.4507042253521127
10,bing,True,RFGSM,alexnet,20/80,vgg,bing,40/60,0.40282685,0.13986013986013987,0.6714285714285714
11,bing,True,RFGSM,alexnet,20/80,vgg,bing,50/50,0.3838028,0.11888111888111888,0.6524822695035462
12,bing,True,RFGSM,alexnet,20/80,alexnet,google,20/80,0.6,0.6933333333333334,0.5066666666666667
13,bing,True,RFGSM,alexnet,20/80,alexnet,google,30/70,0.51,0.47333333333333333,0.5466666666666666
14,bing,True,RFGSM,alexnet,20/80,alexnet,google,40/60,0.55,0.4,0.7
15,bing,True,RFGSM,alexnet,20/80,alexnet,google,50/50,0.51,0.35333333333333333,0.6666666666666666
16,bing,True,RFGSM,alexnet,20/80,resnet,google,20/80,0.31333333,0.2733333333333333,0.35333333333333333
17,bing,True,RFGSM,alexnet,20/80,resnet,google,30/70,0.34333333,0.15333333333333332,0.5333333333333333
18,bing,True,RFGSM,alexnet,20/80,resnet,google,40/60,0.39666668,0.08,0.7133333333333334
19,bing,True,RFGSM,alexnet,20/80,resnet,google,50/50,0.37,0.06666666666666667,0.6733333333333333
20,bing,True,RFGSM,alexnet,20/80,vgg,google,20/80,0.41,0.36,0.46
21,bing,True,RFGSM,alexnet,20/80,vgg,google,30/70,0.4,0.15333333333333332,0.6466666666666666
22,bing,True,RFGSM,alexnet,20/80,vgg,google,40/60,0.39666668,0.08666666666666667,0.7066666666666667
23,bing,True,RFGSM,alexnet,20/80,vgg,google,50/50,0.4,0.06666666666666667,0.7333333333333333
24,bing,True,RFGSM,alexnet,30/70,alexnet,bing,20/80,0.5719844,0.7522123893805309,0.4305555555555556
25,bing,True,RFGSM,alexnet,30/70,alexnet,bing,30/70,0.7018868,0.7983870967741935,0.6170212765957447
26,bing,True,RFGSM,alexnet,30/70,alexnet,bing,40/60,0.620438,0.6131386861313869,0.6277372262773723
27,bing,True,RFGSM,alexnet,30/70,alexnet,bing,50/50,0.58759123,0.5071428571428571,0.6716417910447762
28,bing,True,RFGSM,alexnet,30/70,resnet,bing,20/80,0.3057554,0.3082706766917293,0.30344827586206896
29,bing,True,RFGSM,alexnet,30/70,resnet,bing,30/70,0.33566433,0.3546099290780142,0.31724137931034485
30,bing,True,RFGSM,alexnet,30/70,resnet,bing,40/60,0.34859154,0.22377622377622378,0.475177304964539
31,bing,True,RFGSM,alexnet,30/70,resnet,bing,50/50,0.3923611,0.2054794520547945,0.5845070422535211
32,bing,True,RFGSM,alexnet,30/70,vgg,bing,20/80,0.36101082,0.3082706766917293,0.4097222222222222
33,bing,True,RFGSM,alexnet,30/70,vgg,bing,30/70,0.35740072,0.22962962962962963,0.4788732394366197
34,bing,True,RFGSM,alexnet,30/70,vgg,bing,40/60,0.3886926,0.13986013986013987,0.6428571428571429
35,bing,True,RFGSM,alexnet,30/70,vgg,bing,50/50,0.3838028,0.13986013986013987,0.6312056737588653
36,bing,True,RFGSM,alexnet,30/70,alexnet,google,20/80,0.5733333,0.6466666666666666,0.5
37,bing,True,RFGSM,alexnet,30/70,alexnet,google,30/70,0.54,0.5133333333333333,0.5666666666666667
38,bing,True,RFGSM,alexnet,30/70,alexnet,google,40/60,0.5566667,0.44,0.6733333333333333
39,bing,True,RFGSM,alexnet,30/70,alexnet,google,50/50,0.53333336,0.37333333333333335,0.6933333333333334
40,bing,True,RFGSM,alexnet,30/70,resnet,google,20/80,0.33,0.34,0.32
41,bing,True,RFGSM,alexnet,30/70,resnet,google,30/70,0.35666668,0.23333333333333334,0.48
42,bing,True,RFGSM,alexnet,30/70,resnet,google,40/60,0.3866667,0.1,0.6733333333333333
43,bing,True,RFGSM,alexnet,30/70,resnet,google,50/50,0.38,0.11333333333333333,0.6466666666666666
44,bing,True,RFGSM,alexnet,30/70,vgg,google,20/80,0.37666667,0.30666666666666664,0.44666666666666666
45,bing,True,RFGSM,alexnet,30/70,vgg,google,30/70,0.37666667,0.14,0.6133333333333333
46,bing,True,RFGSM,alexnet,30/70,vgg,google,40/60,0.39000002,0.1,0.68
47,bing,True,RFGSM,alexnet,30/70,vgg,google,50/50,0.40666667,0.08,0.7333333333333333
48,bing,True,RFGSM,alexnet,40/60,alexnet,bing,20/80,0.540856,0.7522123893805309,0.375
49,bing,True,RFGSM,alexnet,40/60,alexnet,bing,30/70,0.6226415,0.7096774193548387,0.5460992907801419
50,bing,True,RFGSM,alexnet,40/60,alexnet,bing,40/60,0.65328467,0.6642335766423357,0.6423357664233577
51,bing,True,RFGSM,alexnet,40/60,alexnet,bing,50/50,0.59489053,0.5428571428571428,0.6492537313432836
52,bing,True,RFGSM,alexnet,40/60,resnet,bing,20/80,0.30215827,0.3082706766917293,0.296551724137931
53,bing,True,RFGSM,alexnet,40/60,resnet,bing,30/70,0.36363637,0.3546099290780142,0.3724137931034483
54,bing,True,RFGSM,alexnet,40/60,resnet,bing,40/60,0.34507042,0.23776223776223776,0.45390070921985815
55,bing,True,RFGSM,alexnet,40/60,resnet,bing,50/50,0.375,0.2191780821917808,0.5352112676056338
56,bing,True,RFGSM,alexnet,40/60,vgg,bing,20/80,0.3501805,0.3308270676691729,0.3680555555555556
57,bing,True,RFGSM,alexnet,40/60,vgg,bing,30/70,0.33935016,0.24444444444444444,0.4295774647887324
58,bing,True,RFGSM,alexnet,40/60,vgg,bing,40/60,0.3886926,0.16783216783216784,0.6142857142857143
59,bing,True,RFGSM,alexnet,40/60,vgg,bing,50/50,0.3838028,0.16783216783216784,0.6028368794326241
60,bing,True,RFGSM,alexnet,40/60,alexnet,google,20/80,0.58000004,0.68,0.48
