,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,20/80,0.4224806,0.9385964912280702,0.013888888888888888
1,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,30/70,0.36603773,0.7016129032258065,0.07092198581560284
2,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,40/60,0.35869566,0.6666666666666666,0.050724637681159424
3,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,50/50,0.36764705,0.6546762589928058,0.06766917293233082
4,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,20/80,0.46931407,0.9848484848484849,0.0
5,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,30/70,0.48251748,0.9716312056737588,0.006896551724137931
6,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,40/60,0.46478873,0.8881118881118881,0.03546099290780142
7,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,50/50,0.44444445,0.821917808219178,0.056338028169014086
8,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,20/80,0.45487365,0.9097744360902256,0.034722222222222224
9,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,30/70,0.46570396,0.9407407407407408,0.014084507042253521
10,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,40/60,0.39222616,0.7342657342657343,0.04285714285714286
11,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,50/50,0.3591549,0.6433566433566433,0.07092198581560284
12,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,20/80,0.49666667,0.9866666666666667,0.006666666666666667
13,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,30/70,0.41,0.6666666666666666,0.15333333333333332
14,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,40/60,0.34333333,0.54,0.14666666666666667
15,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,50/50,0.36333334,0.37333333333333335,0.35333333333333333
16,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,20/80,0.49333334,0.9866666666666667,0.0
17,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,30/70,0.47333336,0.9466666666666667,0.0
18,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,40/60,0.40666667,0.6666666666666666,0.14666666666666667
19,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,50/50,0.35666668,0.36666666666666664,0.3466666666666667
20,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,20/80,0.49333334,0.98,0.006666666666666667
21,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,30/70,0.42666668,0.8066666666666666,0.04666666666666667
22,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,40/60,0.37,0.62,0.12
23,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,50/50,0.31666666,0.21333333333333335,0.42
24,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,20/80,0.41860464,0.9035087719298246,0.034722222222222224
25,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,30/70,0.38490567,0.717741935483871,0.09219858156028368
26,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,40/60,0.36956522,0.6739130434782609,0.06521739130434782
27,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,50/50,0.3970588,0.6834532374100719,0.09774436090225563
28,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,20/80,0.47292417,0.9924242424242424,0.0
29,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,30/70,0.46153846,0.9361702127659575,0.0
30,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,40/60,0.45070422,0.8741258741258742,0.02127659574468085
31,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,50/50,0.43055555,0.8082191780821918,0.04225352112676056
32,bing,False,RandomBlackBox,alexnet,30/70,vgg,bing,20/80,0.4440433,0.9172932330827067,0.006944444444444444
