,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,20/80,0.38132295,0.504424778761062,0.2847222222222222
1,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,30/70,0.38490567,0.4435483870967742,0.3333333333333333
2,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,40/60,0.36131388,0.35766423357664234,0.36496350364963503
3,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,50/50,0.3211679,0.17142857142857143,0.47761194029850745
4,bing,False,SaltPepper,alexnet,20/80,resnet,bing,20/80,0.21582735,0.16541353383458646,0.2620689655172414
5,bing,False,SaltPepper,alexnet,20/80,resnet,bing,30/70,0.22377622,0.2624113475177305,0.18620689655172415
6,bing,False,SaltPepper,alexnet,20/80,resnet,bing,40/60,0.20774648,0.1958041958041958,0.2198581560283688
7,bing,False,SaltPepper,alexnet,20/80,resnet,bing,50/50,0.27083334,0.0821917808219178,0.4647887323943662
8,bing,False,SaltPepper,alexnet,20/80,vgg,bing,20/80,0.24909747,0.3233082706766917,0.18055555555555555
9,bing,False,SaltPepper,alexnet,20/80,vgg,bing,30/70,0.27436823,0.3111111111111111,0.23943661971830985
10,bing,False,SaltPepper,alexnet,20/80,vgg,bing,40/60,0.31095406,0.22377622377622378,0.4
11,bing,False,SaltPepper,alexnet,20/80,vgg,bing,50/50,0.25704226,0.27972027972027974,0.23404255319148937
12,bing,False,SaltPepper,alexnet,20/80,alexnet,google,20/80,0.42666668,0.66,0.19333333333333333
13,bing,False,SaltPepper,alexnet,20/80,alexnet,google,30/70,0.34,0.37333333333333335,0.30666666666666664
14,bing,False,SaltPepper,alexnet,20/80,alexnet,google,40/60,0.38333336,0.5266666666666666,0.24
15,bing,False,SaltPepper,alexnet,20/80,alexnet,google,50/50,0.3866667,0.08,0.6933333333333334
16,bing,False,SaltPepper,alexnet,20/80,resnet,google,20/80,0.27666667,0.38666666666666666,0.16666666666666666
17,bing,False,SaltPepper,alexnet,20/80,resnet,google,30/70,0.32333335,0.3333333333333333,0.31333333333333335
