,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,Sharpen,alexnet,20/80,alexnet,bing,20/80,0.038910504,0.07964601769911504,0.006944444444444444
1,bing,False,Sharpen,alexnet,20/80,alexnet,bing,30/70,0.03773585,0.08064516129032258,0.0
2,bing,False,Sharpen,alexnet,20/80,alexnet,bing,40/60,0.032846715,0.051094890510948905,0.014598540145985401
3,bing,False,Sharpen,alexnet,20/80,alexnet,bing,50/50,0.01459854,0.02142857142857143,0.007462686567164179
4,bing,False,Sharpen,alexnet,20/80,resnet,bing,20/80,0.010791367,0.022556390977443608,0.0
5,bing,False,Sharpen,alexnet,20/80,resnet,bing,30/70,0.01048951,0.014184397163120567,0.006896551724137931
6,bing,False,Sharpen,alexnet,20/80,resnet,bing,40/60,0.014084507,0.013986013986013986,0.014184397163120567
7,bing,False,Sharpen,alexnet,20/80,resnet,bing,50/50,0.013888889,0.0136986301369863,0.014084507042253521
8,bing,False,Sharpen,alexnet,20/80,vgg,bing,20/80,0.02166065,0.03007518796992481,0.013888888888888888
9,bing,False,Sharpen,alexnet,20/80,vgg,bing,30/70,0.0036101083,0.0,0.007042253521126761
10,bing,False,Sharpen,alexnet,20/80,vgg,bing,40/60,0.010600707,0.013986013986013986,0.007142857142857143
11,bing,False,Sharpen,alexnet,20/80,vgg,bing,50/50,0.0035211267,0.0,0.0070921985815602835
12,bing,False,Sharpen,alexnet,20/80,alexnet,google,20/80,0.19,0.35333333333333333,0.02666666666666667
13,bing,False,Sharpen,alexnet,20/80,alexnet,google,30/70,0.13000001,0.21333333333333335,0.04666666666666667
14,bing,False,Sharpen,alexnet,20/80,alexnet,google,40/60,0.10333334,0.12666666666666668,0.08
15,bing,False,Sharpen,alexnet,20/80,alexnet,google,50/50,0.09,0.08666666666666667,0.09333333333333334
16,bing,False,Sharpen,alexnet,20/80,resnet,google,20/80,0.13333334,0.24,0.02666666666666667
17,bing,False,Sharpen,alexnet,20/80,resnet,google,30/70,0.09666667,0.13333333333333333,0.06
18,bing,False,Sharpen,alexnet,20/80,resnet,google,40/60,0.06333333,0.06,0.06666666666666667
19,bing,False,Sharpen,alexnet,20/80,resnet,google,50/50,0.06333333,0.05333333333333334,0.07333333333333333
20,bing,False,Sharpen,alexnet,20/80,vgg,google,20/80,0.13000001,0.22666666666666666,0.03333333333333333
21,bing,False,Sharpen,alexnet,20/80,vgg,google,30/70,0.083333336,0.12,0.04666666666666667
22,bing,False,Sharpen,alexnet,20/80,vgg,google,40/60,0.06333333,0.07333333333333333,0.05333333333333334
23,bing,False,Sharpen,alexnet,20/80,vgg,google,50/50,0.07333334,0.06,0.08666666666666667
24,bing,False,Sharpen,alexnet,30/70,alexnet,bing,20/80,0.038910504,0.07964601769911504,0.006944444444444444
25,bing,False,Sharpen,alexnet,30/70,alexnet,bing,30/70,0.03773585,0.08064516129032258,0.0
26,bing,False,Sharpen,alexnet,30/70,alexnet,bing,40/60,0.032846715,0.051094890510948905,0.014598540145985401
27,bing,False,Sharpen,alexnet,30/70,alexnet,bing,50/50,0.01459854,0.02142857142857143,0.007462686567164179
28,bing,False,Sharpen,alexnet,30/70,resnet,bing,20/80,0.010791367,0.022556390977443608,0.0
29,bing,False,Sharpen,alexnet,30/70,resnet,bing,30/70,0.01048951,0.014184397163120567,0.006896551724137931
30,bing,False,Sharpen,alexnet,30/70,resnet,bing,40/60,0.014084507,0.013986013986013986,0.014184397163120567
31,bing,False,Sharpen,alexnet,30/70,resnet,bing,50/50,0.013888889,0.0136986301369863,0.014084507042253521
32,bing,False,Sharpen,alexnet,30/70,vgg,bing,20/80,0.02166065,0.03007518796992481,0.013888888888888888
33,bing,False,Sharpen,alexnet,30/70,vgg,bing,30/70,0.0036101083,0.0,0.007042253521126761
34,bing,False,Sharpen,alexnet,30/70,vgg,bing,40/60,0.010600707,0.013986013986013986,0.007142857142857143
35,bing,False,Sharpen,alexnet,30/70,vgg,bing,50/50,0.0035211267,0.0,0.0070921985815602835
36,bing,False,Sharpen,alexnet,30/70,alexnet,google,20/80,0.19,0.35333333333333333,0.02666666666666667
37,bing,False,Sharpen,alexnet,30/70,alexnet,google,30/70,0.13000001,0.21333333333333335,0.04666666666666667
38,bing,False,Sharpen,alexnet,30/70,alexnet,google,40/60,0.10333334,0.12666666666666668,0.08
39,bing,False,Sharpen,alexnet,30/70,alexnet,google,50/50,0.09,0.08666666666666667,0.09333333333333334
40,bing,False,Sharpen,alexnet,30/70,resnet,google,20/80,0.13333334,0.24,0.02666666666666667
41,bing,False,Sharpen,alexnet,30/70,resnet,google,30/70,0.09666667,0.13333333333333333,0.06
42,bing,False,Sharpen,alexnet,30/70,resnet,google,40/60,0.06333333,0.06,0.06666666666666667
