,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,20/80,0.2635659,0.5877192982456141,0.006944444444444444
1,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,30/70,0.34716982,0.7338709677419355,0.0070921985815602835
2,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,40/60,0.2210145,0.42028985507246375,0.021739130434782608
3,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,50/50,0.21691176,0.4028776978417266,0.022556390977443608
4,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,20/80,0.18050541,0.3787878787878788,0.0
5,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,30/70,0.15034965,0.3049645390070922,0.0
6,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,40/60,0.112676054,0.2097902097902098,0.014184397163120567
7,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,50/50,0.083333336,0.15753424657534246,0.007042253521126761
8,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,20/80,0.2166065,0.44360902255639095,0.006944444444444444
9,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,30/70,0.15884477,0.32592592592592595,0.0
10,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,40/60,0.09893993,0.1958041958041958,0.0
11,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,50/50,0.112676054,0.22377622377622378,0.0
12,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,20/80,0.43333334,0.86,0.006666666666666667
13,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,30/70,0.33333334,0.62,0.04666666666666667
14,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,40/60,0.36,0.6533333333333333,0.06666666666666667
15,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,50/50,0.24666667,0.38666666666666666,0.10666666666666667
16,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,20/80,0.22,0.4066666666666667,0.03333333333333333
17,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,30/70,0.19666667,0.31333333333333335,0.08
18,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,40/60,0.16,0.18,0.14
19,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,50/50,0.11,0.08666666666666667,0.13333333333333333
20,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,20/80,0.31333333,0.6266666666666667,0.0
21,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,30/70,0.19333334,0.36666666666666664,0.02
22,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,40/60,0.13666667,0.25333333333333335,0.02
23,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,50/50,0.10666667,0.17333333333333334,0.04
24,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,20/80,0.2635659,0.5877192982456141,0.006944444444444444
25,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,30/70,0.34716982,0.7338709677419355,0.0070921985815602835
26,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,40/60,0.2210145,0.42028985507246375,0.021739130434782608
27,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,50/50,0.21691176,0.4028776978417266,0.022556390977443608
28,bing,False,SplitMergeRGB,alexnet,30/70,resnet,bing,20/80,0.18050541,0.3787878787878788,0.0
29,bing,False,SplitMergeRGB,alexnet,30/70,resnet,bing,30/70,0.15034965,0.3049645390070922,0.0
30,bing,False,SplitMergeRGB,alexnet,30/70,resnet,bing,40/60,0.112676054,0.2097902097902098,0.014184397163120567
