,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,Square,alexnet,20/80,alexnet,bing,20/80,0.101167314,0.20353982300884957,0.020833333333333332
1,bing,True,Square,alexnet,20/80,alexnet,bing,30/70,0.094339624,0.1774193548387097,0.02127659574468085
2,bing,True,Square,alexnet,20/80,alexnet,bing,40/60,0.12043796,0.1678832116788321,0.072992700729927
3,bing,True,Square,alexnet,20/80,alexnet,bing,50/50,0.45620438,0.15714285714285714,0.7686567164179104
4,bing,True,Square,alexnet,20/80,resnet,bing,20/80,0.086330935,0.17293233082706766,0.006896551724137931
5,bing,True,Square,alexnet,20/80,resnet,bing,30/70,0.09090909,0.15602836879432624,0.027586206896551724
6,bing,True,Square,alexnet,20/80,resnet,bing,40/60,0.09154929,0.15384615384615385,0.028368794326241134
7,bing,True,Square,alexnet,20/80,resnet,bing,50/50,0.19097222,0.0958904109589041,0.2887323943661972
8,bing,True,Square,alexnet,20/80,vgg,bing,20/80,0.09386282,0.16541353383458646,0.027777777777777776
9,bing,True,Square,alexnet,20/80,vgg,bing,30/70,0.090252705,0.17037037037037037,0.014084507042253521
10,bing,True,Square,alexnet,20/80,vgg,bing,40/60,0.12720849,0.16083916083916083,0.09285714285714286
11,bing,True,Square,alexnet,20/80,vgg,bing,50/50,0.12676056,0.16083916083916083,0.09219858156028368
12,bing,True,Square,alexnet,20/80,alexnet,google,20/80,0.24000001,0.46,0.02
13,bing,True,Square,alexnet,20/80,alexnet,google,30/70,0.27,0.34,0.2
14,bing,True,Square,alexnet,20/80,alexnet,google,40/60,0.22333334,0.26666666666666666,0.18
15,bing,True,Square,alexnet,20/80,alexnet,google,50/50,0.51,0.2,0.82
16,bing,True,Square,alexnet,20/80,resnet,google,20/80,0.18333334,0.36666666666666664,0.0
17,bing,True,Square,alexnet,20/80,resnet,google,30/70,0.20333333,0.30666666666666664,0.1
