,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,20/80,0.8638132,0.9911504424778761,0.7638888888888888
1,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,30/70,0.89056605,0.9919354838709677,0.8014184397163121
2,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,40/60,0.91240877,0.9781021897810219,0.8467153284671532
3,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,50/50,0.8905109,0.95,0.8283582089552238
4,bing,True,TIFGSM,alexnet,20/80,resnet,bing,20/80,0.36330935,0.5112781954887218,0.22758620689655173
5,bing,True,TIFGSM,alexnet,20/80,resnet,bing,30/70,0.42657343,0.5957446808510638,0.2620689655172414
6,bing,True,TIFGSM,alexnet,20/80,resnet,bing,40/60,0.41197184,0.3916083916083916,0.4326241134751773
7,bing,True,TIFGSM,alexnet,20/80,resnet,bing,50/50,0.4201389,0.3493150684931507,0.49295774647887325
8,bing,True,TIFGSM,alexnet,20/80,vgg,bing,20/80,0.46209386,0.631578947368421,0.3055555555555556
9,bing,True,TIFGSM,alexnet,20/80,vgg,bing,30/70,0.46209386,0.5481481481481482,0.38028169014084506
10,bing,True,TIFGSM,alexnet,20/80,vgg,bing,40/60,0.49823323,0.3776223776223776,0.6214285714285714
11,bing,True,TIFGSM,alexnet,20/80,vgg,bing,50/50,0.5,0.4405594405594406,0.5602836879432624
12,bing,True,TIFGSM,alexnet,20/80,alexnet,google,20/80,0.81,0.9733333333333334,0.6466666666666666
13,bing,True,TIFGSM,alexnet,20/80,alexnet,google,30/70,0.81666666,0.9133333333333333,0.72
14,bing,True,TIFGSM,alexnet,20/80,alexnet,google,40/60,0.8933334,0.9066666666666666,0.88
15,bing,True,TIFGSM,alexnet,20/80,alexnet,google,50/50,0.8666667,0.9,0.8333333333333334
16,bing,True,TIFGSM,alexnet,20/80,resnet,google,20/80,0.38333336,0.4,0.36666666666666664
17,bing,True,TIFGSM,alexnet,20/80,resnet,google,30/70,0.4,0.4266666666666667,0.37333333333333335
18,bing,True,TIFGSM,alexnet,20/80,resnet,google,40/60,0.43333334,0.24666666666666667,0.62
19,bing,True,TIFGSM,alexnet,20/80,resnet,google,50/50,0.4166667,0.23333333333333334,0.6
20,bing,True,TIFGSM,alexnet,20/80,vgg,google,20/80,0.50666666,0.6333333333333333,0.38
21,bing,True,TIFGSM,alexnet,20/80,vgg,google,30/70,0.48666668,0.32,0.6533333333333333
