,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,BIM,bikeMotorbike,alexnet,20_80,bing,0.9592608213424683,0.01,0.023728814,0.04827586206896552,0.0
1,BIM,bikeMotorbike,alexnet,20_80,bing,0.8792592287063599,0.02,0.054237287,0.10344827586206896,0.006666666666666667
2,BIM,bikeMotorbike,alexnet,20_80,bing,0.8358483910560608,0.03,0.07457627,0.1310344827586207,0.02
3,BIM,bikeMotorbike,alexnet,20_80,bing,0.7927097678184509,0.04,0.1118644,0.19310344827586207,0.03333333333333333
4,BIM,bikeMotorbike,alexnet,20_80,bing,0.7746617794036865,0.05,0.13559322,0.2206896551724138,0.05333333333333334
5,BIM,bikeMotorbike,alexnet,20_80,bing,0.7582436203956604,0.06,0.1661017,0.2482758620689655,0.08666666666666667
6,BIM,bikeMotorbike,alexnet,20_80,bing,0.7536647915840149,0.07,0.17288135,0.2482758620689655,0.1
7,BIM,bikeMotorbike,alexnet,20_80,bing,0.7497233152389526,0.08,0.18305084,0.2689655172413793,0.1
8,BIM,bikeMotorbike,alexnet,20_80,bing,0.7497020959854126,0.09,0.18644068,0.2689655172413793,0.10666666666666667
9,BIM,bikeMotorbike,alexnet,20_80,bing,0.7497538924217224,0.1,0.18644068,0.2689655172413793,0.10666666666666667
10,BIM,bikeMotorbike,alexnet,20_80,bing,0.7497062087059021,0.11,0.19661017,0.27586206896551724,0.12
11,BIM,bikeMotorbike,alexnet,20_80,bing,0.7496016621589661,0.12,0.18305084,0.2620689655172414,0.10666666666666667
12,BIM,bikeMotorbike,alexnet,20_80,bing,0.7497086524963379,0.13,0.19322033,0.2827586206896552,0.10666666666666667
13,BIM,bikeMotorbike,alexnet,20_80,bing,0.7496559023857117,0.14,0.18644068,0.27586206896551724,0.1
14,BIM,bikeMotorbike,alexnet,20_80,bing,0.7496902346611023,0.15,0.18983051,0.2689655172413793,0.11333333333333333
15,BIM,bikeMotorbike,alexnet,20_80,bing,0.7495825886726379,0.16,0.17966102,0.2620689655172414,0.1
16,BIM,bikeMotorbike,alexnet,20_80,bing,0.7496037483215332,0.17,0.18983051,0.27586206896551724,0.10666666666666667
17,BIM,bikeMotorbike,alexnet,20_80,bing,0.7496340274810791,0.18,0.18644068,0.2689655172413793,0.10666666666666667
18,BIM,bikeMotorbike,alexnet,20_80,bing,0.7496712803840637,0.19,0.18644068,0.2689655172413793,0.10666666666666667
19,BIM,bikeMotorbike,alexnet,20_80,bing,0.7496968507766724,0.2,0.18644068,0.2689655172413793,0.10666666666666667
20,BIM,bikeMotorbike,alexnet,20_80,bing,0.7497166395187378,0.21,0.18983051,0.27586206896551724,0.10666666666666667
21,BIM,bikeMotorbike,alexnet,20_80,bing,0.7496213316917419,0.22,0.18983051,0.27586206896551724,0.10666666666666667
22,BIM,bikeMotorbike,alexnet,20_80,bing,0.7497079968452454,0.23,0.19322033,0.2827586206896552,0.10666666666666667
23,BIM,bikeMotorbike,alexnet,20_80,bing,0.7495748400688171,0.24,0.18983051,0.27586206896551724,0.10666666666666667
24,BIM,bikeMotorbike,alexnet,20_80,bing,0.7496477365493774,0.25,0.18983051,0.2689655172413793,0.11333333333333333
25,BIM,bikeMotorbike,alexnet,20_80,bing,0.749679446220398,0.26,0.19322033,0.2827586206896552,0.10666666666666667
26,BIM,bikeMotorbike,alexnet,20_80,bing,0.7497144937515259,0.27,0.18644068,0.2689655172413793,0.10666666666666667
27,BIM,bikeMotorbike,alexnet,20_80,bing,0.7496268153190613,0.28,0.18983051,0.27586206896551724,0.10666666666666667
28,BIM,bikeMotorbike,alexnet,20_80,bing,0.7496193051338196,0.29,0.18644068,0.2689655172413793,0.10666666666666667
29,BIM,bikeMotorbike,alexnet,20_80,bing,0.7496539950370789,0.3,0.17966102,0.2620689655172414,0.1
30,BIM,bikeMotorbike,alexnet,30_70,bing,0.9644702076911926,0.01,0.0034482758,0.007142857142857143,0.0
31,BIM,bikeMotorbike,alexnet,30_70,bing,0.8869319558143616,0.02,0.03448276,0.06428571428571428,0.006666666666666667
32,BIM,bikeMotorbike,alexnet,30_70,bing,0.8433917164802551,0.03,0.048275862,0.09285714285714286,0.006666666666666667
33,BIM,bikeMotorbike,alexnet,30_70,bing,0.7991393208503723,0.04,0.062068965,0.11428571428571428,0.013333333333333334
34,BIM,bikeMotorbike,alexnet,30_70,bing,0.7805989980697632,0.05,0.072413795,0.12142857142857143,0.02666666666666667
35,BIM,bikeMotorbike,alexnet,30_70,bing,0.7640368342399597,0.06,0.089655176,0.15,0.03333333333333333
36,BIM,bikeMotorbike,alexnet,30_70,bing,0.7592260241508484,0.07,0.089655176,0.15,0.03333333333333333
37,BIM,bikeMotorbike,alexnet,30_70,bing,0.7550145983695984,0.08,0.093103446,0.15714285714285714,0.03333333333333333
