,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.9339394569396973,0.5,0.006802721,0.013333334,0.0
1,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.9018413424491882,1.0,0.017006803,0.033333335,0.0
2,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.7974908351898193,1.5,0.020408163,0.04,0.0
3,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.7265488505363464,2.0,0.027210884,0.053333335,0.0
4,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.6391412615776062,2.5,0.027210884,0.053333335,0.0
5,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.5787854790687561,3.0,0.027210884,0.053333335,0.0
6,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.5219905376434326,3.5,0.034013607,0.06666667,0.0
7,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.47808560729026794,4.0,0.044217687,0.08,0.006993007
8,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.4389188289642334,4.5,0.05782313,0.10666667,0.006993007
9,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.4078774154186249,5.0,0.07823129,0.15333334,0.0
10,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.38047704100608826,5.5,0.091836736,0.18,0.0
11,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.3582325577735901,6.0,0.1122449,0.22,0.0
12,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.3378913998603821,6.5,0.12244898,0.24000001,0.0
13,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.3217850625514984,7.0,0.13265306,0.26000002,0.0
14,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.3072260320186615,7.5,0.1462585,0.28666666,0.0
15,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.2946271300315857,8.0,0.16666666,0.32666668,0.0
16,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.2836140990257263,8.5,0.17346938,0.34,0.0
17,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.27405843138694763,9.0,0.18367347,0.36,0.0
18,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.2655332386493683,9.5,0.21088435,0.41333336,0.0
19,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.2582043409347534,10.0,0.2244898,0.44,0.0
20,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.9339394569396973,0.5,0.010238907,0.02,0.0
21,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.9018413424491882,1.0,0.010238907,0.02,0.0
22,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.7974908351898193,1.5,0.010238907,0.02,0.0
23,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.7265488505363464,2.0,0.0068259384,0.013333334,0.0
24,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.6391412615776062,2.5,0.013651877,0.026666667,0.0
25,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.5787854790687561,3.0,0.017064845,0.033333335,0.0
26,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.5219905376434326,3.5,0.027303753,0.04,0.014084507
27,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.47808560729026794,4.0,0.03412969,0.046666667,0.02112676
28,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.4389188289642334,4.5,0.0443686,0.06666667,0.02112676
29,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.4078774154186249,5.0,0.047781568,0.07333334,0.02112676
30,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.38047704100608826,5.5,0.054607507,0.086666666,0.02112676
31,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.3582325577735901,6.0,0.054607507,0.093333334,0.014084507
32,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.3378913998603821,6.5,0.06825938,0.120000005,0.014084507
33,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.3217850625514984,7.0,0.06825938,0.12666667,0.0070422534
34,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.3072260320186615,7.5,0.09215017,0.17333333,0.0070422534
35,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.2946271300315857,8.0,0.102389075,0.19333334,0.0070422534
