,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.8777258992195129,10,0.094915256,0.19310344827586207,0.0
1,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.8665593862533569,11,0.10169491,0.20689655172413793,0.0
2,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.855654776096344,12,0.122033894,0.2482758620689655,0.0
3,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.8451074361801147,13,0.12542373,0.25517241379310346,0.0
4,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.8350241780281067,14,0.13559322,0.27586206896551724,0.0
5,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.8249074816703796,15,0.15254237,0.3103448275862069,0.0
6,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.8153102993965149,16,0.17966102,0.36551724137931035,0.0
7,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.8059754967689514,17,0.18644068,0.3793103448275862,0.0
8,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.7967469692230225,18,0.2,0.4,0.006666666666666667
9,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.7879760265350342,19,0.20338982,0.4068965517241379,0.006666666666666667
10,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.7792394757270813,20,0.2237288,0.4482758620689655,0.006666666666666667
11,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.770717978477478,21,0.22711864,0.45517241379310347,0.006666666666666667
12,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.7623085975646973,22,0.24067797,0.47586206896551725,0.013333333333333334
13,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.7542812824249268,23,0.24067797,0.47586206896551725,0.013333333333333334
14,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.7465088367462158,24,0.24745762,0.4896551724137931,0.013333333333333334
15,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.7389328479766846,25,0.24745762,0.4896551724137931,0.013333333333333334
16,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.7315029501914978,26,0.25762713,0.503448275862069,0.02
17,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.7242490649223328,27,0.2542373,0.496551724137931,0.02
18,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.7172300219535828,28,0.25762713,0.503448275862069,0.02
19,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.7103403210639954,29,0.25762713,0.503448275862069,0.02
20,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.7037302851676941,30,0.26440677,0.5172413793103449,0.02
21,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6970869302749634,31,0.26101694,0.5103448275862069,0.02
22,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6907211542129517,32,0.2677966,0.5172413793103449,0.02666666666666667
23,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6845042705535889,33,0.26101694,0.503448275862069,0.02666666666666667
24,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6784077882766724,34,0.26440677,0.5103448275862069,0.02666666666666667
25,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6724681258201599,35,0.2779661,0.5379310344827586,0.02666666666666667
26,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6667190790176392,36,0.28474575,0.5448275862068965,0.03333333333333333
27,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6611204743385315,37,0.29491526,0.5586206896551724,0.04
28,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6556571125984192,38,0.3016949,0.5724137931034483,0.04
29,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6502203345298767,39,0.2881356,0.5448275862068965,0.04
30,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6448479890823364,40,0.29152542,0.5517241379310345,0.04
31,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6395657062530518,41,0.30508474,0.5793103448275863,0.04
32,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.634550154209137,42,0.29491526,0.5586206896551724,0.04
33,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6295092105865479,43,0.3016949,0.5655172413793104,0.04666666666666667
34,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6247276663780212,44,0.29491526,0.5448275862068965,0.05333333333333334
35,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.619951605796814,45,0.3118644,0.5724137931034483,0.06
36,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6153407692909241,46,0.31864408,0.5793103448275863,0.06666666666666667
37,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6108853220939636,47,0.32203388,0.5793103448275863,0.07333333333333333
38,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6063544154167175,48,0.3322034,0.6,0.07333333333333333
39,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6020209789276123,49,0.34237286,0.6068965517241379,0.08666666666666667
40,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5979312062263489,50,0.33898306,0.593103448275862,0.09333333333333334
41,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.593828022480011,51,0.33898306,0.593103448275862,0.09333333333333334
42,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5898414254188538,52,0.3457627,0.5793103448275863,0.12
43,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5858701467514038,53,0.33559322,0.5517241379310345,0.12666666666666668
44,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5818836688995361,54,0.3457627,0.5724137931034483,0.12666666666666668
45,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5779818296432495,55,0.3457627,0.5724137931034483,0.12666666666666668
46,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5740320682525635,56,0.34237286,0.5586206896551724,0.13333333333333333
47,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5703622698783875,57,0.35254237,0.5793103448275863,0.13333333333333333
48,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.566604733467102,58,0.3559322,0.5862068965517241,0.13333333333333333
49,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5631260275840759,59,0.36949152,0.6068965517241379,0.14
50,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5596166849136353,60,0.36610168,0.593103448275862,0.14666666666666667
51,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5561165809631348,61,0.36949152,0.593103448275862,0.15333333333333332
52,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5529176592826843,62,0.3898305,0.6275862068965518,0.16
53,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5496150851249695,63,0.38644066,0.6206896551724138,0.16
54,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5464183688163757,64,0.39322034,0.6344827586206897,0.16
55,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5431824922561646,65,0.37966102,0.6,0.16666666666666666
56,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.54018634557724,66,0.40677965,0.6620689655172414,0.16
57,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5369726419448853,67,0.40677965,0.6344827586206897,0.18666666666666668
58,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5339154601097107,68,0.40677965,0.6275862068965518,0.19333333333333333
59,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5308998227119446,69,0.41016948,0.6344827586206897,0.19333333333333333
60,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5279370546340942,70,0.4,0.6137931034482759,0.19333333333333333
61,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5250745415687561,71,0.39661017,0.6068965517241379,0.19333333333333333
62,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5222569704055786,72,0.4033898,0.6137931034482759,0.2
63,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5194557309150696,73,0.3898305,0.5793103448275863,0.20666666666666667
64,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5167528390884399,74,0.3898305,0.5793103448275863,0.20666666666666667
65,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.51385498046875,75,0.37966102,0.5586206896551724,0.20666666666666667
66,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5112196803092957,76,0.4,0.6,0.20666666666666667
67,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5087087750434875,77,0.37966102,0.5517241379310345,0.21333333333333335
68,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5062758922576904,78,0.38644066,0.5724137931034483,0.20666666666666667
69,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.503749430179596,79,0.38305083,0.5517241379310345,0.22
70,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5012534260749817,80,0.38305083,0.5517241379310345,0.22
71,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.49895456433296204,81,0.37966102,0.5379310344827586,0.22666666666666666
72,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.4965302348136902,82,0.38305083,0.5448275862068965,0.22666666666666666
73,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.49424275755882263,83,0.39661017,0.5655172413793104,0.23333333333333334
74,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.49212947487831116,84,0.39661017,0.5517241379310345,0.24666666666666667
75,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.4900899827480316,85,0.39661017,0.5586206896551724,0.24
76,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.48791226744651794,86,0.40677965,0.5586206896551724,0.26
77,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.48576536774635315,87,0.39322034,0.5379310344827586,0.25333333333333335
