,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,FGSM,bikeMotorbike,alexnet,20_80,bing,0.9508315920829773,0.01,0.023728814,0.04827586206896552,0.0
1,FGSM,bikeMotorbike,alexnet,20_80,bing,0.8428323864936829,0.02,0.047457628,0.08275862068965517,0.013333333333333334
2,FGSM,bikeMotorbike,alexnet,20_80,bing,0.7824063897132874,0.03,0.07457627,0.11724137931034483,0.03333333333333333
3,FGSM,bikeMotorbike,alexnet,20_80,bing,0.705295741558075,0.04,0.11525424,0.1793103448275862,0.05333333333333334
4,FGSM,bikeMotorbike,alexnet,20_80,bing,0.6648485660552979,0.05,0.12881356,0.1793103448275862,0.08
5,FGSM,bikeMotorbike,alexnet,20_80,bing,0.6101515889167786,0.06,0.18305084,0.2,0.16666666666666666
6,FGSM,bikeMotorbike,alexnet,20_80,bing,0.5774772763252258,0.07,0.2338983,0.20689655172413793,0.26
7,FGSM,bikeMotorbike,alexnet,20_80,bing,0.5348291993141174,0.08,0.2881356,0.19310344827586207,0.38
8,FGSM,bikeMotorbike,alexnet,20_80,bing,0.508467972278595,0.09,0.32542372,0.1793103448275862,0.4666666666666667
9,FGSM,bikeMotorbike,alexnet,20_80,bing,0.47299742698669434,0.1,0.39661017,0.1724137931034483,0.6133333333333333
10,FGSM,bikeMotorbike,alexnet,20_80,bing,0.4398040175437927,0.11,0.43728814,0.1724137931034483,0.6933333333333334
11,FGSM,bikeMotorbike,alexnet,20_80,bing,0.4199656546115875,0.12,0.45084745,0.15862068965517243,0.7333333333333333
12,FGSM,bikeMotorbike,alexnet,20_80,bing,0.3918381929397583,0.13,0.4915254,0.15862068965517243,0.8133333333333334
13,FGSM,bikeMotorbike,alexnet,20_80,bing,0.3737657964229584,0.14,0.49491525,0.15172413793103448,0.8266666666666667
14,FGSM,bikeMotorbike,alexnet,20_80,bing,0.34963762760162354,0.15,0.51525426,0.13793103448275862,0.88
15,FGSM,bikeMotorbike,alexnet,20_80,bing,0.33398663997650146,0.16,0.5220339,0.11724137931034483,0.9133333333333333
16,FGSM,bikeMotorbike,alexnet,20_80,bing,0.3128894865512848,0.17,0.51864403,0.0896551724137931,0.9333333333333333
17,FGSM,bikeMotorbike,alexnet,20_80,bing,0.2996715307235718,0.18,0.51864403,0.0896551724137931,0.9333333333333333
18,FGSM,bikeMotorbike,alexnet,20_80,bing,0.280900239944458,0.19,0.5084746,0.06896551724137931,0.9333333333333333
19,FGSM,bikeMotorbike,alexnet,20_80,bing,0.2659931480884552,0.2,0.5084746,0.05517241379310345,0.9466666666666667
20,FGSM,bikeMotorbike,alexnet,20_80,bing,0.252577006816864,0.21,0.5084746,0.04827586206896552,0.9533333333333334
21,FGSM,bikeMotorbike,alexnet,20_80,bing,0.2372206449508667,0.22,0.5118644,0.041379310344827586,0.9666666666666667
22,FGSM,bikeMotorbike,alexnet,20_80,bing,0.2272830456495285,0.23,0.5118644,0.041379310344827586,0.9666666666666667
23,FGSM,bikeMotorbike,alexnet,20_80,bing,0.21348240971565247,0.24,0.51864403,0.041379310344827586,0.98
24,FGSM,bikeMotorbike,alexnet,20_80,bing,0.20478878915309906,0.25,0.5220339,0.041379310344827586,0.9866666666666667
25,FGSM,bikeMotorbike,alexnet,20_80,bing,0.19219717383384705,0.26,0.51864403,0.034482758620689655,0.9866666666666667
26,FGSM,bikeMotorbike,alexnet,20_80,bing,0.1842782348394394,0.27,0.51525426,0.027586206896551724,0.9866666666666667
27,FGSM,bikeMotorbike,alexnet,20_80,bing,0.17287607491016388,0.28,0.5220339,0.027586206896551724,1.0
28,FGSM,bikeMotorbike,alexnet,20_80,bing,0.16559715569019318,0.29,0.5220339,0.027586206896551724,1.0
29,FGSM,bikeMotorbike,alexnet,20_80,bing,0.1552274376153946,0.3,0.5118644,0.006896551724137931,1.0
30,FGSM,bikeMotorbike,alexnet,30_70,bing,0.955014705657959,0.01,0.0068965517,0.014285714285714285,0.0
31,FGSM,bikeMotorbike,alexnet,30_70,bing,0.8507653474807739,0.02,0.027586207,0.05,0.006666666666666667
32,FGSM,bikeMotorbike,alexnet,30_70,bing,0.7897260785102844,0.03,0.044827588,0.07857142857142857,0.013333333333333334
33,FGSM,bikeMotorbike,alexnet,30_70,bing,0.7119773030281067,0.04,0.062068965,0.1,0.02666666666666667
34,FGSM,bikeMotorbike,alexnet,30_70,bing,0.6708680391311646,0.05,0.075862065,0.10714285714285714,0.04666666666666667
35,FGSM,bikeMotorbike,alexnet,30_70,bing,0.6155742406845093,0.06,0.1,0.11428571428571428,0.08666666666666667
36,FGSM,bikeMotorbike,alexnet,30_70,bing,0.5822939872741699,0.07,0.12413793,0.10714285714285714,0.14
37,FGSM,bikeMotorbike,alexnet,30_70,bing,0.5389541983604431,0.08,0.18965517,0.11428571428571428,0.26
38,FGSM,bikeMotorbike,alexnet,30_70,bing,0.512274444103241,0.09,0.22758621,0.1,0.3466666666666667
39,FGSM,bikeMotorbike,alexnet,30_70,bing,0.47619760036468506,0.1,0.29655173,0.1,0.48
40,FGSM,bikeMotorbike,alexnet,30_70,bing,0.4424433410167694,0.11,0.36551723,0.07857142857142857,0.6333333333333333
41,FGSM,bikeMotorbike,alexnet,30_70,bing,0.4223886728286743,0.12,0.4,0.06428571428571428,0.7133333333333334
42,FGSM,bikeMotorbike,alexnet,30_70,bing,0.3939567804336548,0.13,0.4448276,0.05714285714285714,0.8066666666666666
43,FGSM,bikeMotorbike,alexnet,30_70,bing,0.37570077180862427,0.14,0.46206897,0.05,0.8466666666666667
44,FGSM,bikeMotorbike,alexnet,30_70,bing,0.3513123393058777,0.15,0.47586206,0.05,0.8733333333333333
