,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.6888603568077087,0.005,0.0034013605,0.006666667,0.0
1,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.6009691953659058,0.01,0.010204081,0.006666667,0.013986014
2,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.5396966338157654,0.015,0.017006803,0.006666667,0.027972028
3,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.49097543954849243,0.02,0.020408163,0.013333334,0.027972028
4,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.45033082365989685,0.025,0.017006803,0.006666667,0.027972028
5,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.4159814119338989,0.03,0.017006803,0.006666667,0.027972028
6,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.38646259903907776,0.035,0.027210884,0.0,0.055944055
7,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.36052414774894714,0.04,0.034013607,0.013333334,0.055944055
8,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.33763960003852844,0.045,0.05782313,0.0,0.11888112
9,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.31703537702560425,0.05,0.054421768,0.0,0.11188811
10,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.2985020577907562,0.055,0.08163265,0.013333334,0.15384614
11,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.28148964047431946,0.06,0.10204081,0.006666667,0.2027972
12,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.265708863735199,0.065,0.1292517,0.013333334,0.25174826
13,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.25121259689331055,0.07,0.14285713,0.006666667,0.28671327
14,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.23810291290283203,0.075,0.17006803,0.013333334,0.33566433
15,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.22555093467235565,0.08,0.21768707,0.02,0.42657343
