,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,InvertColor,bikeMotorbike,alexnet,20_80,bing,0.3892880976200104,1,0.051020406,0.06944444444444445,0.03333333333333333
1,InvertColor,bikeMotorbike,alexnet,30_70,bing,0.3892880976200104,1,0.04137931,0.05714285714285714,0.02666666666666667
2,InvertColor,bikeMotorbike,alexnet,40_60,bing,0.3892880976200104,1,0.05782313,0.041379310344827586,0.0738255033557047
3,InvertColor,bikeMotorbike,alexnet,50_50,bing,0.3892880976200104,1,0.04095563,0.027777777777777776,0.053691275167785234
4,InvertColor,bikeMotorbike,resnet,20_80,bing,0.3892880976200104,1,0.010238907,0.02097902097902098,0.0
5,InvertColor,bikeMotorbike,resnet,30_70,bing,0.3892880976200104,1,0.0,0.0,0.0
6,InvertColor,bikeMotorbike,resnet,40_60,bing,0.3892880976200104,1,0.016949153,0.013793103448275862,0.02
7,InvertColor,bikeMotorbike,resnet,50_50,bing,0.3892880976200104,1,0.016949153,0.006896551724137931,0.02666666666666667
8,InvertColor,bikeMotorbike,vgg,20_80,bing,0.3892880976200104,1,0.0034013605,0.006944444444444444,0.0
9,InvertColor,bikeMotorbike,vgg,30_70,bing,0.3892880976200104,1,0.006779661,0.006896551724137931,0.006666666666666667
10,InvertColor,bikeMotorbike,vgg,40_60,bing,0.3892880976200104,1,0.006779661,0.0,0.013333333333333334
11,InvertColor,bikeMotorbike,vgg,50_50,bing,0.3892880976200104,1,0.013513514,0.00684931506849315,0.02
12,InvertColor,bikeMotorbike,alexnet,20_80,google,0.3216092586517334,1,0.08135593,0.034482758620689655,0.12666666666666668
13,InvertColor,bikeMotorbike,alexnet,30_70,google,0.3216092586517334,1,0.084745765,0.02040816326530612,0.14864864864864866
14,InvertColor,bikeMotorbike,alexnet,40_60,google,0.3216092586517334,1,0.08783784,0.013605442176870748,0.1610738255033557
15,InvertColor,bikeMotorbike,alexnet,50_50,google,0.3216092586517334,1,0.11486487,0.02666666666666667,0.2054794520547945
16,InvertColor,bikeMotorbike,resnet,20_80,google,0.3216092586517334,1,0.013513514,0.0,0.02666666666666667
17,InvertColor,bikeMotorbike,resnet,30_70,google,0.3216092586517334,1,0.010067115,0.006756756756756757,0.013333333333333334
18,InvertColor,bikeMotorbike,resnet,40_60,google,0.3216092586517334,1,0.02020202,0.006711409395973154,0.033783783783783786
19,InvertColor,bikeMotorbike,resnet,50_50,google,0.3216092586517334,1,0.074324325,0.0,0.14965986394557823
20,InvertColor,bikeMotorbike,vgg,20_80,google,0.3216092586517334,1,0.013468013,0.006802721088435374,0.02
21,InvertColor,bikeMotorbike,vgg,30_70,google,0.3216092586517334,1,0.036789298,0.006711409395973154,0.06666666666666667
22,InvertColor,bikeMotorbike,vgg,40_60,google,0.3216092586517334,1,0.060402684,0.0,0.12080536912751678
23,InvertColor,bikeMotorbike,vgg,50_50,google,0.3216092586517334,1,0.0738255,0.0,0.1476510067114094
