,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.9590786099433899,0.01,0.023728814,0.04827586206896552,0.0
1,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.8781372904777527,0.02,0.050847456,0.10344827586206896,0.0
2,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.8381236791610718,0.03,0.07118644,0.11724137931034483,0.02666666666666667
3,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7905813455581665,0.04,0.108474575,0.18620689655172415,0.03333333333333333
4,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7734333872795105,0.05,0.12542373,0.20689655172413793,0.04666666666666667
5,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.755856990814209,0.06,0.1559322,0.2482758620689655,0.06666666666666667
6,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7494544386863708,0.07,0.17627119,0.25517241379310346,0.1
7,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7456851005554199,0.08,0.18644068,0.2689655172413793,0.10666666666666667
8,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.744310200214386,0.09,0.19322033,0.2827586206896552,0.10666666666666667
9,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.744412899017334,0.1,0.18305084,0.2689655172413793,0.1
10,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7444565892219543,0.11,0.18305084,0.2689655172413793,0.1
11,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.74435955286026,0.12,0.18305084,0.2620689655172414,0.10666666666666667
12,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7444574236869812,0.13,0.18983051,0.2689655172413793,0.11333333333333333
13,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7442425489425659,0.14,0.18983051,0.2689655172413793,0.11333333333333333
14,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7444064617156982,0.15,0.18644068,0.2689655172413793,0.10666666666666667
15,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7444961667060852,0.16,0.18305084,0.2620689655172414,0.10666666666666667
16,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7443331480026245,0.17,0.19322033,0.27586206896551724,0.11333333333333333
17,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7442994117736816,0.18,0.18305084,0.2620689655172414,0.10666666666666667
18,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7443461418151855,0.19,0.19322033,0.2827586206896552,0.10666666666666667
19,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7444042563438416,0.2,0.18644068,0.2689655172413793,0.10666666666666667
20,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7444185018539429,0.21,0.18983051,0.27586206896551724,0.10666666666666667
21,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.744370698928833,0.22,0.18305084,0.2689655172413793,0.1
22,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.744432270526886,0.23,0.18983051,0.27586206896551724,0.10666666666666667
