,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.9960429668426514,10,0.0,0.0,0.0
1,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.9908328652381897,20,0.006802721,0.013888888888888888,0.0
2,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.9827776551246643,30,0.023809522,0.04861111111111111,0.0
3,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.9728201031684875,40,0.020408163,0.041666666666666664,0.0
4,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.960216224193573,50,0.020408163,0.041666666666666664,0.0
5,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.9449402689933777,60,0.034013607,0.06944444444444445,0.0
6,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.92715984582901,70,0.040816326,0.08333333333333333,0.0
7,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.9065780639648438,80,0.037414964,0.0763888888888889,0.0
8,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.8841780424118042,90,0.044217687,0.09027777777777778,0.0
9,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.8580345511436462,100,0.040816326,0.08333333333333333,0.0
10,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.8295385837554932,110,0.05782313,0.11805555555555555,0.0
11,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.7990968227386475,120,0.06122449,0.1111111111111111,0.013333333333333334
12,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.7670822739601135,130,0.044217687,0.09027777777777778,0.0
13,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.7294681668281555,140,0.06462585,0.125,0.006666666666666667
14,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.692023515701294,150,0.07142857,0.11805555555555555,0.02666666666666667
15,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.6501427292823792,160,0.088435374,0.1388888888888889,0.04
