,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.727873682975769,0.005,0.044217687,0.09027777777777778,0.0
1,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.6600038409233093,0.01,0.044217687,0.09027777777777778,0.0
2,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.6161885857582092,0.015,0.040816326,0.08333333333333333,0.0
3,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.5857005715370178,0.02,0.037414964,0.0763888888888889,0.0
4,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.5620326399803162,0.025,0.044217687,0.09027777777777778,0.0
5,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.5429377555847168,0.03,0.040816326,0.08333333333333333,0.0
6,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.5266413688659668,0.035,0.034013607,0.06944444444444445,0.0
7,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.5125298500061035,0.04,0.037414964,0.0763888888888889,0.0
8,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.4999106526374817,0.045,0.037414964,0.0763888888888889,0.0
9,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.48867496848106384,0.05,0.027210884,0.05555555555555555,0.0
10,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.4780777394771576,0.055,0.027210884,0.05555555555555555,0.0
11,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.46832937002182007,0.06,0.034013607,0.06944444444444445,0.0
12,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.4592045247554779,0.065,0.034013607,0.06944444444444445,0.0
13,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.45031312108039856,0.07,0.030612245,0.0625,0.0
14,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.4421544373035431,0.075,0.034013607,0.06944444444444445,0.0
15,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.4345233738422394,0.08,0.034013607,0.06944444444444445,0.0
16,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.42694246768951416,0.085,0.020408163,0.041666666666666664,0.0
17,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.4196770191192627,0.09,0.030612245,0.0625,0.0
18,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.41296330094337463,0.095,0.020408163,0.041666666666666664,0.0
19,SaltPepper,bikeMotorbike,alexnet,20_80,bing,0.40615350008010864,0.1,0.017006803,0.034722222222222224,0.0
20,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.727873682975769,0.005,0.024137931,0.05,0.0
21,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.6600038409233093,0.01,0.024137931,0.05,0.0
22,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.6161885857582092,0.015,0.020689655,0.04285714285714286,0.0
23,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.5857005715370178,0.02,0.027586207,0.05714285714285714,0.0
24,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.5620326399803162,0.025,0.020689655,0.04285714285714286,0.0
25,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.5429377555847168,0.03,0.024137931,0.05,0.0
26,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.5266413688659668,0.035,0.024137931,0.05,0.0
27,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.5125298500061035,0.04,0.027586207,0.05714285714285714,0.0
28,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.4999106526374817,0.045,0.031034483,0.06428571428571428,0.0
29,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.48867496848106384,0.05,0.020689655,0.04285714285714286,0.0
30,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.4780777394771576,0.055,0.027586207,0.05714285714285714,0.0
31,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.46832937002182007,0.06,0.024137931,0.05,0.0
32,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.4592045247554779,0.065,0.027586207,0.05714285714285714,0.0
33,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.45031312108039856,0.07,0.024137931,0.05,0.0
34,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.4421544373035431,0.075,0.027586207,0.05714285714285714,0.0
35,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.4345233738422394,0.08,0.027586207,0.05714285714285714,0.0
36,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.42694246768951416,0.085,0.03448276,0.07142857142857142,0.0
37,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.4196770191192627,0.09,0.037931032,0.07857142857142857,0.0
38,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.41296330094337463,0.095,0.020689655,0.04285714285714286,0.0
39,SaltPepper,bikeMotorbike,alexnet,30_70,bing,0.40615350008010864,0.1,0.04137931,0.08571428571428572,0.0
40,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.727873682975769,0.005,0.006802721,0.013793103448275862,0.0
41,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.6600038409233093,0.01,0.010204081,0.020689655172413793,0.0
42,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.6161885857582092,0.015,0.0034013605,0.006896551724137931,0.0
43,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.5857005715370178,0.02,0.0,0.0,0.0
44,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.5620326399803162,0.025,0.0034013605,0.0,0.006711409395973154
45,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.5429377555847168,0.03,0.0,0.0,0.0
46,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.5266413688659668,0.035,0.0034013605,0.0,0.006711409395973154
47,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.5125298500061035,0.04,0.0034013605,0.0,0.006711409395973154
48,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.4999106526374817,0.045,0.006802721,0.0,0.013422818791946308
49,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.48867496848106384,0.05,0.013605442,0.0,0.026845637583892617
50,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.4780777394771576,0.055,0.013605442,0.0,0.026845637583892617
51,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.46832937002182007,0.06,0.027210884,0.0,0.053691275167785234
52,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.4592045247554779,0.065,0.020408163,0.0,0.040268456375838924
53,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.45031312108039856,0.07,0.017006803,0.0,0.03355704697986577
54,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.4421544373035431,0.075,0.030612245,0.0,0.06040268456375839
55,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.4345233738422394,0.08,0.017006803,0.0,0.03355704697986577
56,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.42694246768951416,0.085,0.030612245,0.0,0.06040268456375839
57,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.4196770191192627,0.09,0.023809522,0.0,0.04697986577181208
58,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.41296330094337463,0.095,0.037414964,0.0,0.0738255033557047
59,SaltPepper,bikeMotorbike,alexnet,40_60,bing,0.40615350008010864,0.1,0.040816326,0.0,0.08053691275167785
