,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,Sharpen,bikeMotorbike,alexnet,20_80,bing,0.9320645332336426,1,0.0033898305,0.006896551724137931,0.0
1,Sharpen,bikeMotorbike,alexnet,30_70,bing,0.9320645332336426,1,0.0,0.0,0.0
2,Sharpen,bikeMotorbike,alexnet,40_60,bing,0.9320645332336426,1,0.0,0.0,0.0
3,Sharpen,bikeMotorbike,alexnet,50_50,bing,0.9320645332336426,1,0.0,0.0,0.0
4,Sharpen,bikeMotorbike,resnet,20_80,bing,0.9320645332336426,1,0.0,0.0,0.0
5,Sharpen,bikeMotorbike,resnet,30_70,bing,0.9320645332336426,1,0.0,0.0,0.0
6,Sharpen,bikeMotorbike,resnet,40_60,bing,0.9320645332336426,1,0.0033898305,0.0,0.006666666666666667
7,Sharpen,bikeMotorbike,resnet,50_50,bing,0.9320645332336426,1,0.0,0.0,0.0
8,Sharpen,bikeMotorbike,vgg,20_80,bing,0.9320645332336426,1,0.0,0.0,0.0
9,Sharpen,bikeMotorbike,vgg,30_70,bing,0.9320645332336426,1,0.0,0.0,0.0
10,Sharpen,bikeMotorbike,vgg,40_60,bing,0.9320645332336426,1,0.0,0.0,0.0
11,Sharpen,bikeMotorbike,vgg,50_50,bing,0.9320645332336426,1,0.0,0.0,0.0
12,Sharpen,bikeMotorbike,alexnet,20_80,google,0.9374088644981384,1,0.0,0.0,0.0
13,Sharpen,bikeMotorbike,alexnet,30_70,google,0.9374088644981384,1,0.0033898305,0.006802721088435374,0.0
14,Sharpen,bikeMotorbike,alexnet,40_60,google,0.9374088644981384,1,0.0033898305,0.0,0.006802721088435374
15,Sharpen,bikeMotorbike,alexnet,50_50,google,0.9374088644981384,1,0.013468013,0.006666666666666667,0.02040816326530612
16,Sharpen,bikeMotorbike,resnet,20_80,google,0.9374088644981384,1,0.0033783785,0.00684931506849315,0.0
17,Sharpen,bikeMotorbike,resnet,30_70,google,0.9374088644981384,1,0.0033557047,0.006756756756756757,0.0
18,Sharpen,bikeMotorbike,resnet,40_60,google,0.9374088644981384,1,0.0033670033,0.0,0.006756756756756757
19,Sharpen,bikeMotorbike,resnet,50_50,google,0.9374088644981384,1,0.0033783785,0.0,0.006802721088435374
20,Sharpen,bikeMotorbike,vgg,20_80,google,0.9374088644981384,1,0.0033670033,0.006802721088435374,0.0
21,Sharpen,bikeMotorbike,vgg,30_70,google,0.9374088644981384,1,0.0033444816,0.006711409395973154,0.0
22,Sharpen,bikeMotorbike,vgg,40_60,google,0.9374088644981384,1,0.0,0.0,0.0
23,Sharpen,bikeMotorbike,vgg,50_50,google,0.9374088644981384,1,0.0033557047,0.0,0.006711409395973154
