,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,SplitMergeRGB,bikeMotorbike,alexnet,20_80,bing,0.85701984167099,1,0.0034013605,0.006666667,0.0
1,SplitMergeRGB,bikeMotorbike,alexnet,30_70,bing,0.85701984167099,1,0.0034129692,0.006666667,0.0
2,SplitMergeRGB,bikeMotorbike,alexnet,40_60,bing,0.85701984167099,1,0.0,0.0,0.0
3,SplitMergeRGB,bikeMotorbike,alexnet,50_50,bing,0.85701984167099,1,0.0034129692,0.0,0.0070422534
4,SplitMergeRGB,bikeMotorbike,resnet,20_80,bing,0.85701984167099,1,0.0,0.0,0.0
5,SplitMergeRGB,bikeMotorbike,resnet,30_70,bing,0.85701984167099,1,0.0,0.0,0.0
6,SplitMergeRGB,bikeMotorbike,resnet,40_60,bing,0.85701984167099,1,0.0,0.0,0.0
7,SplitMergeRGB,bikeMotorbike,resnet,50_50,bing,0.85701984167099,1,0.0033898305,0.0,0.0069444445
8,SplitMergeRGB,bikeMotorbike,vgg,20_80,bing,0.85701984167099,1,0.0,0.0,0.0
9,SplitMergeRGB,bikeMotorbike,vgg,30_70,bing,0.85701984167099,1,0.0,0.0,0.0
10,SplitMergeRGB,bikeMotorbike,vgg,40_60,bing,0.85701984167099,1,0.0,0.0,0.0
11,SplitMergeRGB,bikeMotorbike,vgg,50_50,bing,0.85701984167099,1,0.0,0.0,0.0
12,SplitMergeRGB,bikeMotorbike,alexnet,20_80,google,0.8833047747612,1,0.0033898305,0.006666667,0.0
13,SplitMergeRGB,bikeMotorbike,alexnet,30_70,google,0.8833047747612,1,0.006802721,0.0,0.013986014
14,SplitMergeRGB,bikeMotorbike,alexnet,40_60,google,0.8833047747612,1,0.006756757,0.0,0.013793103
15,SplitMergeRGB,bikeMotorbike,alexnet,50_50,google,0.8833047747612,1,0.0067340066,0.0,0.01369863
16,SplitMergeRGB,bikeMotorbike,resnet,20_80,google,0.8833047747612,1,0.0,0.0,0.0
17,SplitMergeRGB,bikeMotorbike,resnet,30_70,google,0.8833047747612,1,0.0,0.0,0.0
18,SplitMergeRGB,bikeMotorbike,resnet,40_60,google,0.8833047747612,1,0.0,0.0,0.0
19,SplitMergeRGB,bikeMotorbike,resnet,50_50,google,0.8833047747612,1,0.006756757,0.0,0.013793103
20,SplitMergeRGB,bikeMotorbike,vgg,20_80,google,0.8833047747612,1,0.0,0.0,0.0
21,SplitMergeRGB,bikeMotorbike,vgg,30_70,google,0.8833047747612,1,0.006688963,0.0,0.013513514
22,SplitMergeRGB,bikeMotorbike,vgg,40_60,google,0.8833047747612,1,0.010067115,0.0,0.020408163
23,SplitMergeRGB,bikeMotorbike,vgg,50_50,google,0.8833047747612,1,0.016778523,0.0,0.034013607
