,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.9403214454650879,0.01,0.037288137,0.07586206896551724,0.0
1,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.8473531603813171,0.02,0.11525424,0.18620689655172415,0.04666666666666667
2,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.8027448058128357,0.03,0.2,0.2689655172413793,0.13333333333333333
3,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7566236853599548,0.04,0.35932204,0.3724137931034483,0.3466666666666667
4,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7380883693695068,0.05,0.420339,0.4206896551724138,0.42
5,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7218471169471741,0.06,0.51864403,0.46206896551724136,0.5733333333333334
6,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.71728515625,0.07,0.5559322,0.4896551724137931,0.62
7,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7139941453933716,0.08,0.620339,0.5310344827586206,0.7066666666666667
8,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.713949978351593,0.09,0.5898305,0.5172413793103449,0.66
9,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7139259576797485,0.1,0.5864407,0.5103448275862069,0.66
10,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7137869000434875,0.11,0.6135593,0.5103448275862069,0.7133333333333334
11,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.713851809501648,0.12,0.60677963,0.5172413793103449,0.6933333333333334
12,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7139248251914978,0.13,0.59999996,0.503448275862069,0.6933333333333334
13,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7138811349868774,0.14,0.6135593,0.5310344827586206,0.6933333333333334
14,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.713860034942627,0.15,0.59999996,0.5103448275862069,0.6866666666666666
15,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7139269709587097,0.16,0.59322035,0.5172413793103449,0.6666666666666666
16,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7138978838920593,0.17,0.60677963,0.5172413793103449,0.6933333333333334
17,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7136998176574707,0.18,0.6033898,0.503448275862069,0.7
18,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7138110995292664,0.19,0.6101695,0.5310344827586206,0.6866666666666666
19,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7140325307846069,0.2,0.5864407,0.5103448275862069,0.66
20,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7137266397476196,0.21,0.61694914,0.5310344827586206,0.7
21,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7139906287193298,0.22,0.6101695,0.5241379310344828,0.6933333333333334
22,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7139802575111389,0.23,0.60677963,0.5241379310344828,0.6866666666666666
23,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7139039039611816,0.24,0.59322035,0.5172413793103449,0.6666666666666666
24,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7139489650726318,0.25,0.6033898,0.5241379310344828,0.68
25,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7139232754707336,0.26,0.59999996,0.5241379310344828,0.6733333333333333
26,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7139522433280945,0.27,0.6101695,0.5103448275862069,0.7066666666666667
27,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7138072848320007,0.28,0.5966102,0.5172413793103449,0.6733333333333333
28,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7137699127197266,0.29,0.6101695,0.5379310344827586,0.68
29,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7137622833251953,0.3,0.6101695,0.5103448275862069,0.7066666666666667
30,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.9416684508323669,0.01,0.01724138,0.02857142857142857,0.006666666666666667
31,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.8499662280082703,0.02,0.075862065,0.12142857142857143,0.03333333333333333
32,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.8050689697265625,0.03,0.14482759,0.18571428571428572,0.10666666666666667
33,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7578485608100891,0.04,0.28275862,0.2785714285714286,0.2866666666666667
34,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7387658357620239,0.05,0.35517243,0.32857142857142857,0.38
35,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7221458554267883,0.06,0.45517242,0.39285714285714285,0.5133333333333333
36,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7174410820007324,0.07,0.4827586,0.4,0.56
37,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7140872478485107,0.08,0.50344825,0.4142857142857143,0.5866666666666667
38,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7138755917549133,0.09,0.5103448,0.4142857142857143,0.6
39,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7139561772346497,0.1,0.50689656,0.40714285714285714,0.6
40,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7138724327087402,0.11,0.5103448,0.42142857142857143,0.5933333333333334
41,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7139679789543152,0.12,0.5103448,0.4142857142857143,0.6
42,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7138686180114746,0.13,0.5103448,0.40714285714285714,0.6066666666666667
43,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7140495777130127,0.14,0.52068967,0.4142857142857143,0.62
44,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7141461372375488,0.15,0.5275862,0.42142857142857143,0.6266666666666667
45,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7140697240829468,0.16,0.50689656,0.40714285714285714,0.6
46,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7141048312187195,0.17,0.5137931,0.40714285714285714,0.6133333333333333
47,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7139500975608826,0.18,0.5137931,0.42857142857142855,0.5933333333333334
48,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7140448689460754,0.19,0.50689656,0.40714285714285714,0.6
49,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7139534950256348,0.2,0.50689656,0.42142857142857143,0.5866666666666667
50,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7141513228416443,0.21,0.5137931,0.42142857142857143,0.6
51,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7139773368835449,0.22,0.5137931,0.4142857142857143,0.6066666666666667
52,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7139260768890381,0.23,0.5137931,0.4142857142857143,0.6066666666666667
53,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7139583230018616,0.24,0.51724136,0.4142857142857143,0.6133333333333333
