,attack,model,dataset,balance,best_eps
0,BIM,alexnet,bing,20_80,0.26
1,BIM,alexnet,bing,30_70,0.13
2,BIM,alexnet,bing,40_60,0.19
3,BIM,alexnet,bing,50_50,0.08
4,BIM,resnet,bing,20_80,0.3
5,BIM,resnet,bing,30_70,0.19
6,BIM,resnet,bing,40_60,0.13
7,BIM,resnet,bing,50_50,0.13
8,BIM,vgg,bing,20_80,0.1
9,BIM,vgg,bing,30_70,0.11
10,BIM,vgg,bing,40_60,0.18
11,BIM,vgg,bing,50_50,0.08
12,BIM,alexnet,google,20_80,0.14
13,BIM,alexnet,google,30_70,0.25
14,BIM,alexnet,google,40_60,0.3
15,BIM,alexnet,google,50_50,0.2
16,BIM,resnet,google,20_80,0.3
17,BIM,resnet,google,30_70,0.08
18,BIM,resnet,google,40_60,0.11
19,BIM,resnet,google,50_50,0.09
20,BIM,vgg,google,20_80,0.08
21,BIM,vgg,google,30_70,0.09
22,BIM,vgg,google,40_60,0.14
23,BIM,vgg,google,50_50,0.18
24,BoxBlur,alexnet,bing,20_80,5.0
25,BoxBlur,alexnet,bing,30_70,5.0
26,BoxBlur,alexnet,bing,40_60,5.0
27,BoxBlur,alexnet,bing,50_50,5.0
28,BoxBlur,resnet,bing,20_80,5.0
29,BoxBlur,resnet,bing,30_70,5.0
30,BoxBlur,resnet,bing,40_60,5.0
31,BoxBlur,resnet,bing,50_50,5.0
32,BoxBlur,vgg,bing,20_80,5.0
33,BoxBlur,vgg,bing,30_70,5.0
34,BoxBlur,vgg,bing,40_60,5.0
35,BoxBlur,vgg,bing,50_50,5.0
36,BoxBlur,alexnet,google,20_80,5.5
37,BoxBlur,alexnet,google,30_70,5.5
38,BoxBlur,alexnet,google,40_60,5.5
39,BoxBlur,alexnet,google,50_50,5.5
40,BoxBlur,resnet,google,20_80,5.5
41,BoxBlur,resnet,google,30_70,5.0
42,BoxBlur,resnet,google,40_60,5.5
43,BoxBlur,resnet,google,50_50,5.5
44,BoxBlur,vgg,google,20_80,5.5
45,BoxBlur,vgg,google,30_70,5.5
46,BoxBlur,vgg,google,40_60,5.5
47,BoxBlur,vgg,google,50_50,5.5
48,DeepFool,alexnet,bing,20_80,69.0
49,DeepFool,alexnet,bing,30_70,97.0
50,DeepFool,alexnet,bing,40_60,65.0
51,DeepFool,alexnet,bing,50_50,15.0
52,DeepFool,resnet,bing,20_80,97.0
53,DeepFool,resnet,bing,30_70,96.0
54,DeepFool,resnet,bing,40_60,98.0
55,DeepFool,resnet,bing,50_50,100.0
56,DeepFool,vgg,bing,20_80,93.0
57,DeepFool,vgg,bing,30_70,53.0
58,DeepFool,vgg,bing,40_60,57.0
59,DeepFool,vgg,bing,50_50,58.0
60,DeepFool,alexnet,google,20_80,99.0
61,DeepFool,alexnet,google,30_70,21.0
62,DeepFool,alexnet,google,40_60,15.0
63,DeepFool,alexnet,google,50_50,16.0
64,DeepFool,resnet,google,20_80,99.0
65,DeepFool,resnet,google,30_70,94.0
66,DeepFool,resnet,google,40_60,74.0
67,DeepFool,resnet,google,50_50,98.0
68,DeepFool,vgg,google,20_80,77.0
69,DeepFool,vgg,google,30_70,67.0
70,DeepFool,vgg,google,40_60,58.0
71,DeepFool,vgg,google,50_50,58.0
72,FGSM,alexnet,bing,20_80,0.12
73,FGSM,alexnet,bing,30_70,0.12
74,FGSM,alexnet,bing,40_60,0.12
75,FGSM,alexnet,bing,50_50,0.12
76,FGSM,resnet,bing,20_80,0.13
77,FGSM,resnet,bing,30_70,0.13
