,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,BIM,catDog,alexnet,20_80,bing,0.9654662609100342,0.01,0.05860806,0.093333334,0.016393442
1,BIM,catDog,alexnet,20_80,bing,0.8935266733169556,0.02,0.1904762,0.28,0.081967205
2,BIM,catDog,alexnet,20_80,bing,0.85288006067276,0.03,0.2783883,0.41333336,0.10655737
3,BIM,catDog,alexnet,20_80,bing,0.8108132481575012,0.04,0.3809524,0.56666666,0.14754097
4,BIM,catDog,alexnet,20_80,bing,0.7926657795906067,0.05,0.42857143,0.64,0.16393441
5,BIM,catDog,alexnet,20_80,bing,0.7778398394584656,0.06,0.46886447,0.68666667,0.1967213
6,BIM,catDog,alexnet,20_80,bing,0.773703396320343,0.07,0.4871795,0.7,0.22131146
7,BIM,catDog,alexnet,20_80,bing,0.7706418037414551,0.08,0.50183153,0.7066667,0.24590163
8,BIM,catDog,alexnet,20_80,bing,0.7706606388092041,0.09,0.51282054,0.7066667,0.27049178
9,BIM,catDog,alexnet,20_80,bing,0.7705931663513184,0.1,0.50549453,0.7066667,0.25409836
10,BIM,catDog,alexnet,20_80,bing,0.7706337571144104,0.11,0.51282054,0.7066667,0.27049178
11,BIM,catDog,alexnet,20_80,bing,0.7705013155937195,0.12,0.50915754,0.7,0.27049178
12,BIM,catDog,alexnet,20_80,bing,0.7705467343330383,0.13,0.50549453,0.71333337,0.24590163
13,BIM,catDog,alexnet,20_80,bing,0.7704910635948181,0.14,0.51282054,0.7066667,0.27049178
14,BIM,catDog,alexnet,20_80,bing,0.7704731225967407,0.15,0.51282054,0.7066667,0.27049178
15,BIM,catDog,alexnet,20_80,bing,0.7705285549163818,0.16,0.4981685,0.7,0.24590163
16,BIM,catDog,alexnet,20_80,bing,0.7705406546592712,0.17,0.51648355,0.7,0.28688523
17,BIM,catDog,alexnet,20_80,bing,0.7704624533653259,0.18,0.50183153,0.7,0.25409836
18,BIM,catDog,alexnet,20_80,bing,0.7704893350601196,0.19,0.51282054,0.7066667,0.27049178
19,BIM,catDog,alexnet,20_80,bing,0.770663857460022,0.2,0.4981685,0.6933333,0.25409836
20,BIM,catDog,alexnet,20_80,bing,0.7703816890716553,0.21,0.50549453,0.7,0.26229507
21,BIM,catDog,alexnet,20_80,bing,0.770610511302948,0.22,0.50915754,0.7066667,0.26229507
22,BIM,catDog,alexnet,20_80,bing,0.7705890536308289,0.23,0.50549453,0.7066667,0.25409836
23,BIM,catDog,alexnet,20_80,bing,0.7704310417175293,0.24,0.50915754,0.7066667,0.26229507
24,BIM,catDog,alexnet,20_80,bing,0.7703436613082886,0.25,0.50915754,0.7066667,0.26229507
25,BIM,catDog,alexnet,20_80,bing,0.7705874443054199,0.26,0.50549453,0.7066667,0.25409836
26,BIM,catDog,alexnet,20_80,bing,0.7706320881843567,0.27,0.52014655,0.7,0.29508194
27,BIM,catDog,alexnet,20_80,bing,0.7706089615821838,0.28,0.50183153,0.7066667,0.24590163
28,BIM,catDog,alexnet,20_80,bing,0.7706183791160583,0.29,0.51282054,0.71333337,0.26229507
29,BIM,catDog,alexnet,20_80,bing,0.7704840302467346,0.3,0.4981685,0.7,0.24590163
30,BIM,catDog,alexnet,30_70,bing,0.9661552906036377,0.01,0.039145906,0.053333335,0.023076924
31,BIM,catDog,alexnet,30_70,bing,0.8953275084495544,0.02,0.15658362,0.2,0.10769231
32,BIM,catDog,alexnet,30_70,bing,0.8550733327865601,0.03,0.22419928,0.3,0.13846155
33,BIM,catDog,alexnet,30_70,bing,0.8130400776863098,0.04,0.3202847,0.42666668,0.2
34,BIM,catDog,alexnet,30_70,bing,0.7949747443199158,0.05,0.3629893,0.49333334,0.21538462
35,BIM,catDog,alexnet,30_70,bing,0.7800020575523376,0.06,0.42704627,0.54,0.2923077
36,BIM,catDog,alexnet,30_70,bing,0.7757775783538818,0.07,0.44128114,0.5466667,0.31538463
37,BIM,catDog,alexnet,30_70,bing,0.7725399136543274,0.08,0.46975088,0.58000004,0.33846155
38,BIM,catDog,alexnet,30_70,bing,0.7728068828582764,0.09,0.46263346,0.56666666,0.33846155
39,BIM,catDog,alexnet,30_70,bing,0.7724696397781372,0.1,0.4733096,0.5866667,0.33846155
40,BIM,catDog,alexnet,30_70,bing,0.772805392742157,0.11,0.44839856,0.55333334,0.32307693
41,BIM,catDog,alexnet,30_70,bing,0.7724661827087402,0.12,0.46619216,0.5866667,0.32307693
42,BIM,catDog,alexnet,30_70,bing,0.7725531458854675,0.13,0.45907474,0.5733333,0.32307693
43,BIM,catDog,alexnet,30_70,bing,0.7726260423660278,0.14,0.46263346,0.56666666,0.33846155
44,BIM,catDog,alexnet,30_70,bing,0.7726004123687744,0.15,0.45907474,0.5733333,0.32307693
45,BIM,catDog,alexnet,30_70,bing,0.7725705504417419,0.16,0.455516,0.56666666,0.32307693
46,BIM,catDog,alexnet,30_70,bing,0.772409975528717,0.17,0.46619216,0.56666666,0.34615386
47,BIM,catDog,alexnet,30_70,bing,0.7727649807929993,0.18,0.46263346,0.58000004,0.32307693
48,BIM,catDog,alexnet,30_70,bing,0.7726141810417175,0.19,0.47686833,0.59333336,0.33846155
49,BIM,catDog,alexnet,30_70,bing,0.7727392315864563,0.2,0.46263346,0.5733333,0.33076924
50,BIM,catDog,alexnet,30_70,bing,0.7725057601928711,0.21,0.48042706,0.6,0.33846155
51,BIM,catDog,alexnet,30_70,bing,0.7726916074752808,0.22,0.46263346,0.5733333,0.33076924
52,BIM,catDog,alexnet,30_70,bing,0.7726503610610962,0.23,0.45907474,0.56666666,0.33076924
53,BIM,catDog,alexnet,30_70,bing,0.7728122472763062,0.24,0.46975088,0.5733333,0.34615386
54,BIM,catDog,alexnet,30_70,bing,0.7726404070854187,0.25,0.4733096,0.5866667,0.33846155
55,BIM,catDog,alexnet,30_70,bing,0.7726274728775024,0.26,0.46619216,0.58000004,0.33076924
56,BIM,catDog,alexnet,30_70,bing,0.7726508378982544,0.27,0.45907474,0.5733333,0.32307693
57,BIM,catDog,alexnet,30_70,bing,0.7726054191589355,0.28,0.46975088,0.58000004,0.33846155
58,BIM,catDog,alexnet,30_70,bing,0.7726336717605591,0.29,0.4519573,0.56666666,0.31538463
59,BIM,catDog,alexnet,30_70,bing,0.772676944732666,0.3,0.46263346,0.5866667,0.31538463
60,BIM,catDog,alexnet,40_60,bing,0.9656671285629272,0.01,0.038596492,0.04,0.03731343
61,BIM,catDog,alexnet,40_60,bing,0.891949474811554,0.02,0.1508772,0.21333334,0.08208955
62,BIM,catDog,alexnet,40_60,bing,0.8510152101516724,0.03,0.23508772,0.30666667,0.15671642
63,BIM,catDog,alexnet,40_60,bing,0.8084686994552612,0.04,0.36842105,0.42666668,0.30597013
64,BIM,catDog,alexnet,40_60,bing,0.7899366021156311,0.05,0.4385965,0.52000004,0.35074627
65,BIM,catDog,alexnet,40_60,bing,0.7742284536361694,0.06,0.5157895,0.59333336,0.43283582
66,BIM,catDog,alexnet,40_60,bing,0.7698767781257629,0.07,0.5614035,0.6466667,0.47014925
67,BIM,catDog,alexnet,40_60,bing,0.7662758231163025,0.08,0.5719298,0.65333337,0.4850746
68,BIM,catDog,alexnet,40_60,bing,0.7661137580871582,0.09,0.5824562,0.6666667,0.4925373
69,BIM,catDog,alexnet,40_60,bing,0.766291618347168,0.1,0.5859649,0.6666667,0.5
70,BIM,catDog,alexnet,40_60,bing,0.766294002532959,0.11,0.57894737,0.66,0.4925373
71,BIM,catDog,alexnet,40_60,bing,0.7662084698677063,0.12,0.5964912,0.68666667,0.5
72,BIM,catDog,alexnet,40_60,bing,0.766365647315979,0.13,0.5929825,0.67333335,0.5074627
73,BIM,catDog,alexnet,40_60,bing,0.7662506103515625,0.14,0.5754386,0.67333335,0.47014925
74,BIM,catDog,alexnet,40_60,bing,0.7661699056625366,0.15,0.5859649,0.66,0.5074627
75,BIM,catDog,alexnet,40_60,bing,0.7663338780403137,0.16,0.5719298,0.65333337,0.4850746
76,BIM,catDog,alexnet,40_60,bing,0.7662909030914307,0.17,0.5754386,0.66,0.4850746
77,BIM,catDog,alexnet,40_60,bing,0.7662584185600281,0.18,0.5824562,0.6666667,0.4925373
78,BIM,catDog,alexnet,40_60,bing,0.7662253379821777,0.19,0.5719298,0.66,0.47761193
79,BIM,catDog,alexnet,40_60,bing,0.7662709355354309,0.2,0.55789477,0.6466667,0.46268657
80,BIM,catDog,alexnet,40_60,bing,0.7663019299507141,0.21,0.5894737,0.6666667,0.5074627
81,BIM,catDog,alexnet,40_60,bing,0.7662393450737,0.22,0.57894737,0.67333335,0.47761193
82,BIM,catDog,alexnet,40_60,bing,0.7661665678024292,0.23,0.5894737,0.67333335,0.5
83,BIM,catDog,alexnet,40_60,bing,0.7661846280097961,0.24,0.5754386,0.6666667,0.47761193
84,BIM,catDog,alexnet,40_60,bing,0.766347348690033,0.25,0.5824562,0.67333335,0.4850746
85,BIM,catDog,alexnet,40_60,bing,0.7661650776863098,0.26,0.56842107,0.66,0.47014925
86,BIM,catDog,alexnet,40_60,bing,0.7661935687065125,0.27,0.5754386,0.6666667,0.47761193
87,BIM,catDog,alexnet,40_60,bing,0.7663297653198242,0.28,0.5719298,0.6466667,0.4925373
88,BIM,catDog,alexnet,40_60,bing,0.7663931846618652,0.29,0.5824562,0.6666667,0.4925373
89,BIM,catDog,alexnet,40_60,bing,0.7663623094558716,0.3,0.5824562,0.67333335,0.4850746
90,BIM,catDog,alexnet,50_50,bing,0.964839518070221,0.01,0.024475524,0.04,0.0074074073
91,BIM,catDog,alexnet,50_50,bing,0.891285240650177,0.02,0.16783217,0.24000001,0.08888888
92,BIM,catDog,alexnet,50_50,bing,0.8504087328910828,0.03,0.24825175,0.36,0.12592593
93,BIM,catDog,alexnet,50_50,bing,0.8079440593719482,0.04,0.35314685,0.50666666,0.18518518
94,BIM,catDog,alexnet,50_50,bing,0.7892717123031616,0.05,0.44405594,0.5866667,0.28888887
95,BIM,catDog,alexnet,50_50,bing,0.7737818956375122,0.06,0.5034965,0.64,0.35555553
96,BIM,catDog,alexnet,50_50,bing,0.7693962454795837,0.07,0.54195803,0.68,0.39259258
97,BIM,catDog,alexnet,50_50,bing,0.7657732367515564,0.08,0.56643355,0.6933333,0.42962962
98,BIM,catDog,alexnet,50_50,bing,0.7656410932540894,0.09,0.55944055,0.6933333,0.4148148
99,BIM,catDog,alexnet,50_50,bing,0.7655778527259827,0.1,0.548951,0.68,0.4074074
100,BIM,catDog,alexnet,50_50,bing,0.765757143497467,0.11,0.5699301,0.71333337,0.4148148
101,BIM,catDog,alexnet,50_50,bing,0.7657148241996765,0.12,0.55244756,0.67333335,0.42222223
102,BIM,catDog,alexnet,50_50,bing,0.7657849192619324,0.13,0.5699301,0.7,0.42962962
103,BIM,catDog,alexnet,50_50,bing,0.7657602429389954,0.14,0.5629371,0.68,0.43703702
104,BIM,catDog,alexnet,50_50,bing,0.76573246717453,0.15,0.57342654,0.7,0.43703702
105,BIM,catDog,alexnet,50_50,bing,0.7658187747001648,0.16,0.5699301,0.68666667,0.44444445
106,BIM,catDog,alexnet,50_50,bing,0.7656121850013733,0.17,0.56643355,0.7,0.42222223
107,BIM,catDog,alexnet,50_50,bing,0.7659156918525696,0.18,0.56643355,0.6933333,0.42962962
108,BIM,catDog,alexnet,50_50,bing,0.7656118273735046,0.19,0.55944055,0.68,0.42962962
109,BIM,catDog,alexnet,50_50,bing,0.7659761309623718,0.2,0.56643355,0.68666667,0.43703702
110,BIM,catDog,alexnet,50_50,bing,0.7657617330551147,0.21,0.55944055,0.68666667,0.42222223
111,BIM,catDog,alexnet,50_50,bing,0.7657689452171326,0.22,0.56643355,0.6933333,0.42962962
112,BIM,catDog,alexnet,50_50,bing,0.7657029628753662,0.23,0.57342654,0.6933333,0.44444445
113,BIM,catDog,alexnet,50_50,bing,0.7657990455627441,0.24,0.5629371,0.7,0.4148148
114,BIM,catDog,alexnet,50_50,bing,0.7656808495521545,0.25,0.5804196,0.6933333,0.45925924
115,BIM,catDog,alexnet,50_50,bing,0.7657192945480347,0.26,0.56643355,0.7,0.42222223
116,BIM,catDog,alexnet,50_50,bing,0.7656422853469849,0.27,0.5699301,0.6933333,0.43703702
117,BIM,catDog,alexnet,50_50,bing,0.765471875667572,0.28,0.5629371,0.6933333,0.42222223
118,BIM,catDog,alexnet,50_50,bing,0.765716016292572,0.29,0.55944055,0.6933333,0.4148148
119,BIM,catDog,alexnet,50_50,bing,0.7657068371772766,0.3,0.55944055,0.6933333,0.4148148
120,BIM,catDog,resnet,20_80,bing,0.9721149802207947,0.01,0.024137931,0.033333335,0.01438849
121,BIM,catDog,resnet,20_80,bing,0.9190332293510437,0.02,0.0862069,0.12666667,0.043165468
122,BIM,catDog,resnet,20_80,bing,0.888424813747406,0.03,0.14482759,0.21333334,0.07194245
123,BIM,catDog,resnet,20_80,bing,0.858625590801239,0.04,0.18275861,0.26666668,0.09352518
124,BIM,catDog,resnet,20_80,bing,0.8474939465522766,0.05,0.23103449,0.32666668,0.12949641
125,BIM,catDog,resnet,20_80,bing,0.8410228490829468,0.06,0.2551724,0.35333335,0.15107913
126,BIM,catDog,resnet,20_80,bing,0.8394371867179871,0.07,0.25172412,0.36,0.13669065
127,BIM,catDog,resnet,20_80,bing,0.8388460278511047,0.08,0.2689655,0.3866667,0.1438849
128,BIM,catDog,resnet,20_80,bing,0.8388116955757141,0.09,0.2689655,0.39333335,0.13669065
129,BIM,catDog,resnet,20_80,bing,0.8388626575469971,0.1,0.2724138,0.38,0.15827338
130,BIM,catDog,resnet,20_80,bing,0.8387783169746399,0.11,0.2724138,0.4,0.13669065
131,BIM,catDog,resnet,20_80,bing,0.8387703895568848,0.12,0.27586207,0.39333335,0.15107913
132,BIM,catDog,resnet,20_80,bing,0.838914692401886,0.13,0.25862068,0.37333333,0.13669065
133,BIM,catDog,resnet,20_80,bing,0.8388139605522156,0.14,0.26206896,0.38,0.13669065
134,BIM,catDog,resnet,20_80,bing,0.838852047920227,0.15,0.25862068,0.36666667,0.1438849
135,BIM,catDog,resnet,20_80,bing,0.8388589024543762,0.16,0.26551723,0.38,0.1438849
136,BIM,catDog,resnet,20_80,bing,0.8387875556945801,0.17,0.25862068,0.36666667,0.1438849
137,BIM,catDog,resnet,20_80,bing,0.8388133645057678,0.18,0.2551724,0.36,0.1438849
138,BIM,catDog,resnet,20_80,bing,0.838745653629303,0.19,0.25172412,0.36666667,0.12949641
139,BIM,catDog,resnet,20_80,bing,0.8388018012046814,0.2,0.27586207,0.39333335,0.15107913
140,BIM,catDog,resnet,20_80,bing,0.8387718200683594,0.21,0.2724138,0.4,0.13669065
141,BIM,catDog,resnet,20_80,bing,0.8388378024101257,0.22,0.2724138,0.3866667,0.15107913
142,BIM,catDog,resnet,20_80,bing,0.8388087749481201,0.23,0.2724138,0.3866667,0.15107913
143,BIM,catDog,resnet,20_80,bing,0.8388565182685852,0.24,0.27586207,0.3866667,0.15827338
144,BIM,catDog,resnet,20_80,bing,0.8388766050338745,0.25,0.27931035,0.39333335,0.15827338
