,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,BoxBlur,catDog,alexnet,20_80,bing,0.9467770457267761,0.5,0.010989011,0.013333334,0.008196721
1,BoxBlur,catDog,alexnet,20_80,bing,0.9204569458961487,1.0,0.014652015,0.02,0.008196721
2,BoxBlur,catDog,alexnet,20_80,bing,0.8330883383750916,1.5,0.01831502,0.02,0.016393442
3,BoxBlur,catDog,alexnet,20_80,bing,0.774817168712616,2.0,0.025641026,0.033333335,0.016393442
4,BoxBlur,catDog,alexnet,20_80,bing,0.6921898126602173,2.5,0.054945055,0.06666667,0.040983602
5,BoxBlur,catDog,alexnet,20_80,bing,0.635998547077179,3.0,0.07326008,0.07333334,0.073770486
6,BoxBlur,catDog,alexnet,20_80,bing,0.5768401026725769,3.5,0.08424909,0.093333334,0.073770486
7,BoxBlur,catDog,alexnet,20_80,bing,0.5306553840637207,4.0,0.08424909,0.093333334,0.073770486
8,BoxBlur,catDog,alexnet,20_80,bing,0.4871901869773865,4.5,0.08058608,0.086666666,0.073770486
9,BoxBlur,catDog,alexnet,20_80,bing,0.45276135206222534,5.0,0.09157509,0.10666667,0.073770486
10,BoxBlur,catDog,alexnet,20_80,bing,0.4211958944797516,5.5,0.10989011,0.13333334,0.081967205
11,BoxBlur,catDog,alexnet,20_80,bing,0.39522626996040344,6.0,0.11721612,0.14666668,0.081967205
12,BoxBlur,catDog,alexnet,20_80,bing,0.3708309233188629,6.5,0.14652015,0.18666667,0.09836065
13,BoxBlur,catDog,alexnet,20_80,bing,0.3512764871120453,7.0,0.16483517,0.21333334,0.10655737
14,BoxBlur,catDog,alexnet,20_80,bing,0.3330719470977783,7.5,0.18681319,0.24666667,0.114754096
15,BoxBlur,catDog,alexnet,20_80,bing,0.31707513332366943,8.0,0.1941392,0.24666667,0.13114753
16,BoxBlur,catDog,alexnet,20_80,bing,0.3024766147136688,8.5,0.21978022,0.3,0.122950815
17,BoxBlur,catDog,alexnet,20_80,bing,0.2897980213165283,9.0,0.22710623,0.3,0.13934426
18,BoxBlur,catDog,alexnet,20_80,bing,0.2778424918651581,9.5,0.24908425,0.32,0.16393441
19,BoxBlur,catDog,alexnet,20_80,bing,0.2675442397594452,10.0,0.26373628,0.32666668,0.18852457
20,BoxBlur,catDog,alexnet,30_70,bing,0.9467770457267761,0.5,0.010676157,0.006666667,0.015384615
21,BoxBlur,catDog,alexnet,30_70,bing,0.9204569458961487,1.0,0.017793594,0.013333334,0.023076924
22,BoxBlur,catDog,alexnet,30_70,bing,0.8330883383750916,1.5,0.03202847,0.026666667,0.03846154
23,BoxBlur,catDog,alexnet,30_70,bing,0.774817168712616,2.0,0.039145906,0.033333335,0.046153847
24,BoxBlur,catDog,alexnet,30_70,bing,0.6921898126602173,2.5,0.06049822,0.04,0.08461539
25,BoxBlur,catDog,alexnet,30_70,bing,0.635998547077179,3.0,0.0569395,0.033333335,0.08461539
26,BoxBlur,catDog,alexnet,30_70,bing,0.5768401026725769,3.5,0.07829181,0.053333335,0.10769231
27,BoxBlur,catDog,alexnet,30_70,bing,0.5306553840637207,4.0,0.085409254,0.053333335,0.12307692
28,BoxBlur,catDog,alexnet,30_70,bing,0.4871901869773865,4.5,0.10676157,0.093333334,0.12307692
29,BoxBlur,catDog,alexnet,30_70,bing,0.45276135206222534,5.0,0.10320285,0.086666666,0.12307692
