,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,DeepFool,catDog,alexnet,20_80,bing,0.9498938322067261,10,0.12867647,0.2845528455284553,0.0
1,DeepFool,catDog,alexnet,20_80,bing,0.9435181617736816,11,0.14338236,0.3170731707317073,0.0
2,DeepFool,catDog,alexnet,20_80,bing,0.9369547963142395,12,0.14338236,0.3170731707317073,0.0
3,DeepFool,catDog,alexnet,20_80,bing,0.9298889636993408,13,0.15808824,0.34146341463414637,0.006711409395973154
4,DeepFool,catDog,alexnet,20_80,bing,0.9229230284690857,14,0.1764706,0.36585365853658536,0.020134228187919462
5,DeepFool,catDog,alexnet,20_80,bing,0.9155986905097961,15,0.1985294,0.4146341463414634,0.020134228187919462
6,DeepFool,catDog,alexnet,20_80,bing,0.908056378364563,16,0.21691176,0.43902439024390244,0.03355704697986577
7,DeepFool,catDog,alexnet,20_80,bing,0.9005499482154846,17,0.24264707,0.4959349593495935,0.03355704697986577
8,DeepFool,catDog,alexnet,20_80,bing,0.892754077911377,18,0.25367647,0.5121951219512195,0.040268456375838924
9,DeepFool,catDog,alexnet,20_80,bing,0.8853875994682312,19,0.25367647,0.5121951219512195,0.040268456375838924
10,DeepFool,catDog,alexnet,20_80,bing,0.8774358630180359,20,0.2720588,0.5447154471544715,0.04697986577181208
11,DeepFool,catDog,alexnet,20_80,bing,0.8693627715110779,21,0.29779413,0.5934959349593496,0.053691275167785234
12,DeepFool,catDog,alexnet,20_80,bing,0.8609956502914429,22,0.30882353,0.6097560975609756,0.06040268456375839
13,DeepFool,catDog,alexnet,20_80,bing,0.853465735912323,23,0.30514705,0.6016260162601627,0.06040268456375839
14,DeepFool,catDog,alexnet,20_80,bing,0.8456302285194397,24,0.3125,0.6178861788617886,0.06040268456375839
15,DeepFool,catDog,alexnet,20_80,bing,0.8377571105957031,25,0.30147058,0.5853658536585366,0.06711409395973154
16,DeepFool,catDog,alexnet,20_80,bing,0.8302019238471985,26,0.31617647,0.6178861788617886,0.06711409395973154
17,DeepFool,catDog,alexnet,20_80,bing,0.8223037719726562,27,0.3125,0.6097560975609756,0.06711409395973154
18,DeepFool,catDog,alexnet,20_80,bing,0.8143938779830933,28,0.3382353,0.6585365853658537,0.0738255033557047
19,DeepFool,catDog,alexnet,20_80,bing,0.806600034236908,29,0.3492647,0.6829268292682927,0.0738255033557047
20,DeepFool,catDog,alexnet,20_80,bing,0.798525869846344,30,0.36397058,0.7154471544715447,0.0738255033557047
21,DeepFool,catDog,alexnet,20_80,bing,0.7909972667694092,31,0.37132353,0.7317073170731707,0.0738255033557047
22,DeepFool,catDog,alexnet,20_80,bing,0.7830681204795837,32,0.37132353,0.7317073170731707,0.0738255033557047
23,DeepFool,catDog,alexnet,20_80,bing,0.7760249972343445,33,0.3897059,0.7723577235772358,0.0738255033557047
24,DeepFool,catDog,alexnet,20_80,bing,0.7690370678901672,34,0.39338234,0.7804878048780488,0.0738255033557047
25,DeepFool,catDog,alexnet,20_80,bing,0.7614690065383911,35,0.40441176,0.8048780487804879,0.0738255033557047
26,DeepFool,catDog,alexnet,20_80,bing,0.7543860673904419,36,0.39338234,0.7804878048780488,0.0738255033557047
27,DeepFool,catDog,alexnet,20_80,bing,0.746770441532135,37,0.39338234,0.7804878048780488,0.0738255033557047
28,DeepFool,catDog,alexnet,20_80,bing,0.7399846911430359,38,0.39338234,0.7804878048780488,0.0738255033557047
29,DeepFool,catDog,alexnet,20_80,bing,0.7332928776741028,39,0.3970588,0.7886178861788617,0.0738255033557047
30,DeepFool,catDog,alexnet,20_80,bing,0.7258980870246887,40,0.4117647,0.8211382113821138,0.0738255033557047
31,DeepFool,catDog,alexnet,20_80,bing,0.7183000445365906,41,0.40441176,0.8048780487804879,0.0738255033557047
32,DeepFool,catDog,alexnet,20_80,bing,0.7112550735473633,42,0.4117647,0.8211382113821138,0.0738255033557047
33,DeepFool,catDog,alexnet,20_80,bing,0.704866886138916,43,0.4154412,0.8292682926829268,0.0738255033557047
34,DeepFool,catDog,alexnet,20_80,bing,0.6983850002288818,44,0.4117647,0.8048780487804879,0.087248322147651
35,DeepFool,catDog,alexnet,20_80,bing,0.6921052932739258,45,0.4154412,0.8211382113821138,0.08053691275167785
36,DeepFool,catDog,alexnet,20_80,bing,0.6849243640899658,46,0.43014705,0.8455284552845529,0.087248322147651
37,DeepFool,catDog,alexnet,20_80,bing,0.6799562573432922,47,0.41911766,0.8211382113821138,0.087248322147651
38,DeepFool,catDog,alexnet,20_80,bing,0.67360919713974,48,0.4154412,0.8130081300813008,0.087248322147651
39,DeepFool,catDog,alexnet,20_80,bing,0.6680213809013367,49,0.42279413,0.8292682926829268,0.087248322147651
40,DeepFool,catDog,alexnet,20_80,bing,0.6627978682518005,50,0.4117647,0.7967479674796748,0.09395973154362416
41,DeepFool,catDog,alexnet,20_80,bing,0.6577306985855103,51,0.4117647,0.7886178861788617,0.10067114093959731
42,DeepFool,catDog,alexnet,20_80,bing,0.6525075435638428,52,0.43014705,0.8292682926829268,0.10067114093959731
43,DeepFool,catDog,alexnet,20_80,bing,0.6472470164299011,53,0.42279413,0.8048780487804879,0.10738255033557047
44,DeepFool,catDog,alexnet,20_80,bing,0.6425660252571106,54,0.42279413,0.8048780487804879,0.10738255033557047
45,DeepFool,catDog,alexnet,20_80,bing,0.636938214302063,55,0.43014705,0.8130081300813008,0.11409395973154363
46,DeepFool,catDog,alexnet,20_80,bing,0.6314046382904053,56,0.43382353,0.8211382113821138,0.11409395973154363
47,DeepFool,catDog,alexnet,20_80,bing,0.6269400119781494,57,0.43382353,0.8211382113821138,0.11409395973154363
48,DeepFool,catDog,alexnet,20_80,bing,0.6223852634429932,58,0.41911766,0.7886178861788617,0.11409395973154363
49,DeepFool,catDog,alexnet,20_80,bing,0.617974042892456,59,0.41911766,0.7886178861788617,0.11409395973154363
50,DeepFool,catDog,alexnet,20_80,bing,0.6132307052612305,60,0.40441176,0.7560975609756098,0.11409395973154363
51,DeepFool,catDog,alexnet,20_80,bing,0.6092432141304016,61,0.42279413,0.7967479674796748,0.11409395973154363
52,DeepFool,catDog,alexnet,20_80,bing,0.603931725025177,62,0.4154412,0.7723577235772358,0.12080536912751678
53,DeepFool,catDog,alexnet,20_80,bing,0.5999552607536316,63,0.4117647,0.7560975609756098,0.12751677852348994
54,DeepFool,catDog,alexnet,20_80,bing,0.5951815843582153,64,0.3897059,0.7073170731707317,0.12751677852348994
55,DeepFool,catDog,alexnet,20_80,bing,0.5920459032058716,65,0.42279413,0.7560975609756098,0.1476510067114094
56,DeepFool,catDog,alexnet,20_80,bing,0.5876653790473938,66,0.42279413,0.7479674796747967,0.15436241610738255
57,DeepFool,catDog,alexnet,20_80,bing,0.5835924744606018,67,0.42647058,0.7642276422764228,0.1476510067114094
58,DeepFool,catDog,alexnet,20_80,bing,0.5797490477561951,68,0.38602942,0.6829268292682927,0.14093959731543623
59,DeepFool,catDog,alexnet,20_80,bing,0.5765621066093445,69,0.38602942,0.6829268292682927,0.14093959731543623
60,DeepFool,catDog,alexnet,20_80,bing,0.572716236114502,70,0.38602942,0.6747967479674797,0.1476510067114094
61,DeepFool,catDog,alexnet,20_80,bing,0.5692177414894104,71,0.38602942,0.6747967479674797,0.1476510067114094
62,DeepFool,catDog,alexnet,20_80,bing,0.5660689473152161,72,0.40441176,0.7154471544715447,0.1476510067114094
