,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
2904,FGSM,catDog,alexnet,20_80,bing,0.9560888409614563,0.01,0.025830258,0.033333335,0.016666668
2905,FGSM,catDog,alexnet,20_80,bing,0.8509925007820129,0.02,0.12177122,0.16666667,0.06666667
2906,FGSM,catDog,alexnet,20_80,bing,0.7882746458053589,0.03,0.17712177,0.24666667,0.09166667
2907,FGSM,catDog,alexnet,20_80,bing,0.7007020115852356,0.04,0.2583026,0.36,0.13333334
2908,FGSM,catDog,alexnet,20_80,bing,0.6518051028251648,0.05,0.32472324,0.42666668,0.20000002
2909,FGSM,catDog,alexnet,20_80,bing,0.5841644406318665,0.06,0.3505535,0.44,0.24166667
2910,FGSM,catDog,alexnet,20_80,bing,0.5438483357429504,0.07,0.37638378,0.44,0.3
2911,FGSM,catDog,alexnet,20_80,bing,0.4911317229270935,0.08,0.398524,0.46,0.32500002
2912,FGSM,catDog,alexnet,20_80,bing,0.45842882990837097,0.09,0.44280443,0.46666667,0.4166667
2913,FGSM,catDog,alexnet,20_80,bing,0.4156748056411743,0.1,0.4575646,0.5,0.40833336
2914,FGSM,catDog,alexnet,20_80,bing,0.37656617164611816,0.11,0.48708487,0.49333334,0.48333335
2915,FGSM,catDog,alexnet,20_80,bing,0.3536495268344879,0.12,0.501845,0.50666666,0.5
2916,FGSM,catDog,alexnet,20_80,bing,0.3220992386341095,0.13,0.52398527,0.56666666,0.47500002
2917,FGSM,catDog,alexnet,20_80,bing,0.30230674147605896,0.14,0.5461255,0.62,0.45833334
2918,FGSM,catDog,alexnet,20_80,bing,0.27664169669151306,0.15,0.55350554,0.65333337,0.43333337
2919,FGSM,catDog,alexnet,20_80,bing,0.26032131910324097,0.16,0.5571956,0.68666667,0.40000004
2920,FGSM,catDog,alexnet,20_80,bing,0.23901568353176117,0.17,0.5498155,0.7,0.36666667
2921,FGSM,catDog,alexnet,20_80,bing,0.2259630411863327,0.18,0.55350554,0.73333335,0.33333334
2922,FGSM,catDog,alexnet,20_80,bing,0.207825168967247,0.19,0.53136533,0.72,0.3
2923,FGSM,catDog,alexnet,20_80,bing,0.19376370310783386,0.2,0.5092251,0.73333335,0.23333335
2924,FGSM,catDog,alexnet,20_80,bing,0.18144671618938446,0.21,0.50553507,0.74,0.21666668
2925,FGSM,catDog,alexnet,20_80,bing,0.16774562001228333,0.22,0.47601476,0.74,0.15
2926,FGSM,catDog,alexnet,20_80,bing,0.15896420180797577,0.23,0.46494466,0.74666667,0.116666675
