,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,GaussianNoise,catDog,alexnet,20_80,bing,0.687807559967041,0.005,0.05882353,0.11382113821138211,0.013422818791946308
1,GaussianNoise,catDog,alexnet,20_80,bing,0.578137218952179,0.01,0.07720588,0.15447154471544716,0.013422818791946308
2,GaussianNoise,catDog,alexnet,20_80,bing,0.500922441482544,0.015,0.10294118,0.1951219512195122,0.026845637583892617
3,GaussianNoise,catDog,alexnet,20_80,bing,0.44007059931755066,0.02,0.0992647,0.17886178861788618,0.03355704697986577
4,GaussianNoise,catDog,alexnet,20_80,bing,0.3921365737915039,0.025,0.11029412,0.2032520325203252,0.03355704697986577
5,GaussianNoise,catDog,alexnet,20_80,bing,0.35286617279052734,0.03,0.12132353,0.21951219512195122,0.040268456375838924
6,GaussianNoise,catDog,alexnet,20_80,bing,0.32027390599250793,0.035,0.12867647,0.21951219512195122,0.053691275167785234
7,GaussianNoise,catDog,alexnet,20_80,bing,0.2932160198688507,0.04,0.13235295,0.22764227642276422,0.053691275167785234
8,GaussianNoise,catDog,alexnet,20_80,bing,0.2697700560092926,0.045,0.15808824,0.2682926829268293,0.06711409395973154
9,GaussianNoise,catDog,alexnet,20_80,bing,0.24981024861335754,0.05,0.16911764,0.3008130081300813,0.06040268456375839
10,GaussianNoise,catDog,alexnet,20_80,bing,0.23203566670417786,0.055,0.18014707,0.3170731707317073,0.06711409395973154
11,GaussianNoise,catDog,alexnet,20_80,bing,0.21623064577579498,0.06,0.20220588,0.35772357723577236,0.0738255033557047
12,GaussianNoise,catDog,alexnet,20_80,bing,0.20201078057289124,0.065,0.19117647,0.3170731707317073,0.087248322147651
13,GaussianNoise,catDog,alexnet,20_80,bing,0.1890326738357544,0.07,0.22058824,0.36585365853658536,0.10067114093959731
14,GaussianNoise,catDog,alexnet,20_80,bing,0.1773344725370407,0.075,0.23161764,0.3983739837398374,0.09395973154362416
15,GaussianNoise,catDog,alexnet,20_80,bing,0.16666634380817413,0.08,0.25,0.4065040650406504,0.12080536912751678
16,GaussianNoise,catDog,alexnet,20_80,bing,0.15689274668693542,0.085,0.26102942,0.45528455284552843,0.10067114093959731
17,GaussianNoise,catDog,alexnet,20_80,bing,0.1478954255580902,0.09,0.26838234,0.4146341463414634,0.1476510067114094
18,GaussianNoise,catDog,alexnet,20_80,bing,0.1395830512046814,0.095,0.2904412,0.43089430894308944,0.174496644295302
19,GaussianNoise,catDog,alexnet,20_80,bing,0.13176727294921875,0.1,0.2904412,0.4715447154471545,0.14093959731543623
20,GaussianNoise,catDog,alexnet,30_70,bing,0.687981367111206,0.005,0.03169014,0.043795620437956206,0.02040816326530612
21,GaussianNoise,catDog,alexnet,30_70,bing,0.5781300067901611,0.01,0.06338028,0.10948905109489052,0.02040816326530612
22,GaussianNoise,catDog,alexnet,30_70,bing,0.5008159279823303,0.015,0.059859153,0.10218978102189781,0.02040816326530612
23,GaussianNoise,catDog,alexnet,30_70,bing,0.44006508588790894,0.02,0.07394366,0.13138686131386862,0.02040816326530612
24,GaussianNoise,catDog,alexnet,30_70,bing,0.3919823467731476,0.025,0.09154929,0.16058394160583941,0.027210884353741496
25,GaussianNoise,catDog,alexnet,30_70,bing,0.35289111733436584,0.03,0.1056338,0.17518248175182483,0.04081632653061224
26,GaussianNoise,catDog,alexnet,30_70,bing,0.3207293450832367,0.035,0.1056338,0.1897810218978102,0.027210884353741496
27,GaussianNoise,catDog,alexnet,30_70,bing,0.29345467686653137,0.04,0.14084506,0.24817518248175183,0.04081632653061224
28,GaussianNoise,catDog,alexnet,30_70,bing,0.2700367867946625,0.045,0.14436619,0.24817518248175183,0.047619047619047616
29,GaussianNoise,catDog,alexnet,30_70,bing,0.24979382753372192,0.05,0.13380282,0.24817518248175183,0.027210884353741496
30,GaussianNoise,catDog,alexnet,30_70,bing,0.23194506764411926,0.055,0.14788732,0.27007299270072993,0.034013605442176874
31,GaussianNoise,catDog,alexnet,30_70,bing,0.21615493297576904,0.06,0.17605634,0.30656934306569344,0.05442176870748299
32,GaussianNoise,catDog,alexnet,30_70,bing,0.20176906883716583,0.065,0.19366197,0.35036496350364965,0.047619047619047616
33,GaussianNoise,catDog,alexnet,30_70,bing,0.18914680182933807,0.07,0.19014084,0.35766423357664234,0.034013605442176874
34,GaussianNoise,catDog,alexnet,30_70,bing,0.17730964720249176,0.075,0.23239437,0.44525547445255476,0.034013605442176874
35,GaussianNoise,catDog,alexnet,30_70,bing,0.16673293709754944,0.08,0.22535211,0.41605839416058393,0.047619047619047616
