,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,InvertColor,catDog,alexnet,20_80,bing,0.5114566683769226,1,0.15441176,0.04878048780487805,0.24161073825503357
1,InvertColor,catDog,alexnet,30_70,bing,0.5114566683769226,1,0.23239437,0.0072992700729927005,0.4421768707482993
2,InvertColor,catDog,alexnet,40_60,bing,0.5114566683769226,1,0.18881118,0.03546099290780142,0.33793103448275863
3,InvertColor,catDog,alexnet,50_50,bing,0.5114566683769226,1,0.20070422,0.04316546762589928,0.35172413793103446
4,InvertColor,catDog,resnet,20_80,bing,0.5114566683769226,1,0.125,0.04316546762589928,0.20134228187919462
5,InvertColor,catDog,resnet,30_70,bing,0.5114566683769226,1,0.08391608,0.021739130434782608,0.14189189189189189
6,InvertColor,catDog,resnet,40_60,bing,0.5114566683769226,1,0.14186852,0.02097902097902098,0.2602739726027397
7,InvertColor,catDog,resnet,50_50,bing,0.5114566683769226,1,0.23103449,0.006944444444444444,0.4520547945205479
8,InvertColor,catDog,vgg,20_80,bing,0.5114566683769226,1,0.18055555,0.10714285714285714,0.25
9,InvertColor,catDog,vgg,30_70,bing,0.5114566683769226,1,0.18118466,0.06474820143884892,0.2905405405405405
10,InvertColor,catDog,vgg,40_60,bing,0.5114566683769226,1,0.22184299,0.020689655172413793,0.4189189189189189
11,InvertColor,catDog,vgg,50_50,bing,0.5114566683769226,1,0.25342464,0.0,0.5068493150684932
12,InvertColor,catDog,alexnet,20_80,google,0.40551504492759705,1,0.12589929,0.08633093525179857,0.16546762589928057
13,InvertColor,catDog,alexnet,30_70,google,0.40551504492759705,1,0.20070422,0.02112676056338028,0.38028169014084506
14,InvertColor,catDog,alexnet,40_60,google,0.40551504492759705,1,0.16666666,0.02127659574468085,0.3120567375886525
15,InvertColor,catDog,alexnet,50_50,google,0.40551504492759705,1,0.21582735,0.03597122302158273,0.39568345323741005
16,InvertColor,catDog,resnet,20_80,google,0.40551504492759705,1,0.083333336,0.034722222222222224,0.13194444444444445
17,InvertColor,catDog,resnet,30_70,google,0.40551504492759705,1,0.075862065,0.013793103448275862,0.13793103448275862
18,InvertColor,catDog,resnet,40_60,google,0.40551504492759705,1,0.16780822,0.0,0.3356164383561644
19,InvertColor,catDog,resnet,50_50,google,0.40551504492759705,1,0.14726028,0.0,0.2945205479452055
20,InvertColor,catDog,vgg,20_80,google,0.40551504492759705,1,0.09931507,0.03424657534246575,0.1643835616438356
21,InvertColor,catDog,vgg,30_70,google,0.40551504492759705,1,0.14285713,0.006802721088435374,0.2789115646258503
22,InvertColor,catDog,vgg,40_60,google,0.40551504492759705,1,0.24324325,0.0,0.4864864864864865
23,InvertColor,catDog,vgg,50_50,google,0.40551504492759705,1,0.2635135,0.0,0.527027027027027
