,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,PGD,catDog,alexnet,20_80,bing,0.9651390910148621,0.01,0.05514706,0.10569105691056911,0.013422818791946308
1,PGD,catDog,alexnet,20_80,bing,0.8940966725349426,0.02,0.1764706,0.3252032520325203,0.053691275167785234
2,PGD,catDog,alexnet,20_80,bing,0.8576827645301819,0.03,0.24264707,0.44715447154471544,0.0738255033557047
3,PGD,catDog,alexnet,20_80,bing,0.8137242794036865,0.04,0.3492647,0.6422764227642277,0.10738255033557047
4,PGD,catDog,alexnet,20_80,bing,0.792889416217804,0.05,0.36029413,0.6504065040650406,0.12080536912751678
5,PGD,catDog,alexnet,20_80,bing,0.7635221481323242,0.06,0.37132353,0.6747967479674797,0.12080536912751678
6,PGD,catDog,alexnet,20_80,bing,0.7461600303649902,0.07,0.37867647,0.6829268292682927,0.12751677852348994
7,PGD,catDog,alexnet,20_80,bing,0.7207565307617188,0.08,0.41911766,0.7560975609756098,0.14093959731543623
8,PGD,catDog,alexnet,20_80,bing,0.7035405039787292,0.09,0.42279413,0.7317073170731707,0.16778523489932887
9,PGD,catDog,alexnet,20_80,bing,0.6806401610374451,0.1,0.43014705,0.7560975609756098,0.1610738255033557
10,PGD,catDog,alexnet,20_80,bing,0.658946692943573,0.11,0.4632353,0.7967479674796748,0.18791946308724833
11,PGD,catDog,alexnet,20_80,bing,0.6423885226249695,0.12,0.43014705,0.7723577235772358,0.1476510067114094
12,PGD,catDog,alexnet,20_80,bing,0.6223112344741821,0.13,0.44485295,0.7804878048780488,0.16778523489932887
13,PGD,catDog,alexnet,20_80,bing,0.6062261462211609,0.14,0.43382353,0.7804878048780488,0.1476510067114094
14,PGD,catDog,alexnet,20_80,bing,0.587267279624939,0.15,0.44852942,0.7723577235772358,0.18120805369127516
15,PGD,catDog,alexnet,20_80,bing,0.5715694427490234,0.16,0.45588234,0.8048780487804879,0.16778523489932887
16,PGD,catDog,alexnet,20_80,bing,0.5531690120697021,0.17,0.4595588,0.8130081300813008,0.16778523489932887
17,PGD,catDog,alexnet,20_80,bing,0.5373966097831726,0.18,0.44117647,0.7723577235772358,0.16778523489932887
18,PGD,catDog,alexnet,20_80,bing,0.519605278968811,0.19,0.44485295,0.7804878048780488,0.16778523489932887
19,PGD,catDog,alexnet,20_80,bing,0.5029858946800232,0.2,0.4632353,0.8048780487804879,0.18120805369127516
20,PGD,catDog,alexnet,20_80,bing,0.4867951273918152,0.21,0.4742647,0.8292682926829268,0.18120805369127516
21,PGD,catDog,alexnet,20_80,bing,0.46971452236175537,0.22,0.48529413,0.8292682926829268,0.20134228187919462
22,PGD,catDog,alexnet,20_80,bing,0.4547790288925171,0.23,0.4632353,0.7967479674796748,0.18791946308724833
23,PGD,catDog,alexnet,20_80,bing,0.4386284053325653,0.24,0.4779412,0.8048780487804879,0.2080536912751678
24,PGD,catDog,alexnet,20_80,bing,0.4246041178703308,0.25,0.4632353,0.7886178861788617,0.19463087248322147
25,PGD,catDog,alexnet,20_80,bing,0.4095701277256012,0.26,0.46691176,0.8048780487804879,0.18791946308724833
26,PGD,catDog,alexnet,20_80,bing,0.3962969481945038,0.27,0.46691176,0.8048780487804879,0.18791946308724833
27,PGD,catDog,alexnet,20_80,bing,0.38262271881103516,0.28,0.47058824,0.8048780487804879,0.19463087248322147
28,PGD,catDog,alexnet,20_80,bing,0.370243638753891,0.29,0.4742647,0.8130081300813008,0.19463087248322147
29,PGD,catDog,alexnet,20_80,bing,0.3576754033565521,0.3,0.46691176,0.7967479674796748,0.19463087248322147
30,PGD,catDog,alexnet,30_70,bing,0.964958906173706,0.01,0.049295776,0.072992700729927,0.027210884353741496
31,PGD,catDog,alexnet,30_70,bing,0.8945350646972656,0.02,0.16197182,0.22627737226277372,0.10204081632653061
32,PGD,catDog,alexnet,30_70,bing,0.857876718044281,0.03,0.23591548,0.3284671532846715,0.14965986394557823
33,PGD,catDog,alexnet,30_70,bing,0.8135629296302795,0.04,0.31690142,0.45985401459854014,0.1836734693877551
34,PGD,catDog,alexnet,30_70,bing,0.7927839159965515,0.05,0.3274648,0.46715328467153283,0.19727891156462585
35,PGD,catDog,alexnet,30_70,bing,0.7632806301116943,0.06,0.3591549,0.5182481751824818,0.2108843537414966
36,PGD,catDog,alexnet,30_70,bing,0.7458574175834656,0.07,0.38732395,0.5620437956204379,0.22448979591836735
37,PGD,catDog,alexnet,30_70,bing,0.7206854224205017,0.08,0.41549295,0.5912408759124088,0.25170068027210885
38,PGD,catDog,alexnet,30_70,bing,0.7035748958587646,0.09,0.42957747,0.6058394160583942,0.2653061224489796
39,PGD,catDog,alexnet,30_70,bing,0.6805790066719055,0.1,0.44014084,0.6204379562043796,0.272108843537415
40,PGD,catDog,alexnet,30_70,bing,0.6587944626808167,0.11,0.4612676,0.6423357664233577,0.2925170068027211
41,PGD,catDog,alexnet,30_70,bing,0.6423289775848389,0.12,0.4612676,0.6496350364963503,0.2857142857142857
42,PGD,catDog,alexnet,30_70,bing,0.6222463846206665,0.13,0.45422533,0.656934306569343,0.2653061224489796
43,PGD,catDog,alexnet,30_70,bing,0.6062790751457214,0.14,0.45422533,0.6642335766423357,0.2585034013605442
44,PGD,catDog,alexnet,30_70,bing,0.5872397422790527,0.15,0.4612676,0.6642335766423357,0.272108843537415
45,PGD,catDog,alexnet,30_70,bing,0.57167649269104,0.16,0.45774648,0.6642335766423357,0.2653061224489796
46,PGD,catDog,alexnet,30_70,bing,0.5533701181411743,0.17,0.47183096,0.6861313868613139,0.272108843537415
47,PGD,catDog,alexnet,30_70,bing,0.537624716758728,0.18,0.46478873,0.6642335766423357,0.2789115646258503
48,PGD,catDog,alexnet,30_70,bing,0.5195937156677246,0.19,0.48239437,0.6934306569343066,0.2857142857142857
49,PGD,catDog,alexnet,30_70,bing,0.5030434131622314,0.2,0.47183096,0.6788321167883211,0.2789115646258503
50,PGD,catDog,alexnet,30_70,bing,0.48666754364967346,0.21,0.46830985,0.6788321167883211,0.272108843537415
51,PGD,catDog,alexnet,30_70,bing,0.4697105884552002,0.22,0.46478873,0.6715328467153284,0.272108843537415
52,PGD,catDog,alexnet,30_70,bing,0.4547650218009949,0.23,0.4894366,0.7007299270072993,0.2925170068027211
53,PGD,catDog,alexnet,30_70,bing,0.43867626786231995,0.24,0.47183096,0.6715328467153284,0.2857142857142857
54,PGD,catDog,alexnet,30_70,bing,0.42467087507247925,0.25,0.47183096,0.6642335766423357,0.2925170068027211
55,PGD,catDog,alexnet,30_70,bing,0.4095514714717865,0.26,0.48591548,0.6861313868613139,0.29931972789115646
56,PGD,catDog,alexnet,30_70,bing,0.39630717039108276,0.27,0.46478873,0.6642335766423357,0.2789115646258503
57,PGD,catDog,alexnet,30_70,bing,0.3825843632221222,0.28,0.45422533,0.6642335766423357,0.2585034013605442
58,PGD,catDog,alexnet,30_70,bing,0.370347261428833,0.29,0.45422533,0.6496350364963503,0.272108843537415
59,PGD,catDog,alexnet,30_70,bing,0.3577340543270111,0.3,0.45774648,0.6642335766423357,0.2653061224489796
60,PGD,catDog,alexnet,40_60,bing,0.9647040367126465,0.01,0.04895105,0.06382978723404255,0.034482758620689655
61,PGD,catDog,alexnet,40_60,bing,0.8912689089775085,0.02,0.17832167,0.2765957446808511,0.08275862068965517
62,PGD,catDog,alexnet,40_60,bing,0.8540937304496765,0.03,0.26223776,0.36879432624113473,0.15862068965517243
63,PGD,catDog,alexnet,40_60,bing,0.8086459636688232,0.04,0.3881119,0.524822695035461,0.25517241379310346
64,PGD,catDog,alexnet,40_60,bing,0.7881522178649902,0.05,0.45104894,0.624113475177305,0.2827586206896552
65,PGD,catDog,alexnet,40_60,bing,0.7583851218223572,0.06,0.4965035,0.6808510638297872,0.31724137931034485
66,PGD,catDog,alexnet,40_60,bing,0.7411261200904846,0.07,0.5174825,0.6950354609929078,0.3448275862068966
67,PGD,catDog,alexnet,40_60,bing,0.7159007787704468,0.08,0.55244756,0.7375886524822695,0.3724137931034483
68,PGD,catDog,alexnet,40_60,bing,0.6989156007766724,0.09,0.5629371,0.7446808510638298,0.38620689655172413
69,PGD,catDog,alexnet,40_60,bing,0.6759953498840332,0.1,0.5769231,0.7801418439716312,0.3793103448275862
70,PGD,catDog,alexnet,40_60,bing,0.6544862389564514,0.11,0.58391607,0.7801418439716312,0.3931034482758621
71,PGD,catDog,alexnet,40_60,bing,0.6385042071342468,0.12,0.5769231,0.8014184397163121,0.3586206896551724
