,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,RFGSM,catDog,alexnet,20_80,bing,0.9654753804206848,0.01,0.05882353,0.10569105691056911,0.020134228187919462
1,RFGSM,catDog,alexnet,20_80,bing,0.8932828307151794,0.02,0.19485295,0.35772357723577236,0.06040268456375839
2,RFGSM,catDog,alexnet,20_80,bing,0.8558815121650696,0.03,0.26102942,0.4796747967479675,0.08053691275167785
3,RFGSM,catDog,alexnet,20_80,bing,0.8096678256988525,0.04,0.36397058,0.6422764227642277,0.1342281879194631
4,RFGSM,catDog,alexnet,20_80,bing,0.7935938835144043,0.05,0.3970588,0.6910569105691057,0.15436241610738255
5,RFGSM,catDog,alexnet,20_80,bing,0.7768178582191467,0.06,0.4595588,0.7479674796747967,0.2214765100671141
6,RFGSM,catDog,alexnet,20_80,bing,0.7710630893707275,0.07,0.48897058,0.7886178861788617,0.24161073825503357
7,RFGSM,catDog,alexnet,20_80,bing,0.7677803039550781,0.08,0.5,0.7967479674796748,0.2550335570469799
8,RFGSM,catDog,alexnet,20_80,bing,0.7671203017234802,0.09,0.49632353,0.7886178861788617,0.2550335570469799
9,RFGSM,catDog,alexnet,20_80,bing,0.7669079899787903,0.1,0.49632353,0.7967479674796748,0.2483221476510067
10,RFGSM,catDog,alexnet,20_80,bing,0.7669698596000671,0.11,0.5036765,0.8048780487804879,0.2550335570469799
11,RFGSM,catDog,alexnet,20_80,bing,0.7670690417289734,0.12,0.5,0.7967479674796748,0.2550335570469799
12,RFGSM,catDog,alexnet,20_80,bing,0.766883373260498,0.13,0.5,0.7967479674796748,0.2550335570469799
13,RFGSM,catDog,alexnet,20_80,bing,0.7668871879577637,0.14,0.5036765,0.7967479674796748,0.26174496644295303
14,RFGSM,catDog,alexnet,20_80,bing,0.7669901251792908,0.15,0.5,0.7967479674796748,0.2550335570469799
15,RFGSM,catDog,alexnet,20_80,bing,0.7671618461608887,0.16,0.5036765,0.7967479674796748,0.26174496644295303
16,RFGSM,catDog,alexnet,20_80,bing,0.7669797539710999,0.17,0.5,0.7967479674796748,0.2550335570469799
17,RFGSM,catDog,alexnet,20_80,bing,0.7670977115631104,0.18,0.49632353,0.7886178861788617,0.2550335570469799
18,RFGSM,catDog,alexnet,20_80,bing,0.767108678817749,0.19,0.5,0.7804878048780488,0.2684563758389262
19,RFGSM,catDog,alexnet,20_80,bing,0.7669036388397217,0.2,0.49632353,0.7967479674796748,0.2483221476510067
20,RFGSM,catDog,alexnet,20_80,bing,0.766965389251709,0.21,0.50735295,0.7967479674796748,0.2684563758389262
21,RFGSM,catDog,alexnet,20_80,bing,0.7672765851020813,0.22,0.5,0.7967479674796748,0.2550335570469799
22,RFGSM,catDog,alexnet,20_80,bing,0.7669238448143005,0.23,0.5036765,0.7967479674796748,0.26174496644295303
23,RFGSM,catDog,alexnet,20_80,bing,0.7668672204017639,0.24,0.49264705,0.7886178861788617,0.2483221476510067
24,RFGSM,catDog,alexnet,20_80,bing,0.7668718695640564,0.25,0.5,0.7886178861788617,0.26174496644295303
25,RFGSM,catDog,alexnet,20_80,bing,0.7669786214828491,0.26,0.5036765,0.7967479674796748,0.26174496644295303
26,RFGSM,catDog,alexnet,20_80,bing,0.7668555974960327,0.27,0.5110294,0.8048780487804879,0.2684563758389262
27,RFGSM,catDog,alexnet,20_80,bing,0.7668070793151855,0.28,0.5,0.7886178861788617,0.26174496644295303
28,RFGSM,catDog,alexnet,20_80,bing,0.766994297504425,0.29,0.50735295,0.7967479674796748,0.2684563758389262
29,RFGSM,catDog,alexnet,20_80,bing,0.7668569684028625,0.3,0.49632353,0.7886178861788617,0.2550335570469799
30,RFGSM,catDog,alexnet,30_70,bing,0.9651700258255005,0.01,0.049295776,0.072992700729927,0.027210884353741496
31,RFGSM,catDog,alexnet,30_70,bing,0.8933221697807312,0.02,0.15845071,0.2116788321167883,0.10884353741496598
32,RFGSM,catDog,alexnet,30_70,bing,0.8560410737991333,0.03,0.25,0.35766423357664234,0.14965986394557823
33,RFGSM,catDog,alexnet,30_70,bing,0.8096320629119873,0.04,0.35211268,0.49635036496350365,0.21768707482993196
34,RFGSM,catDog,alexnet,30_70,bing,0.793140709400177,0.05,0.39084506,0.5328467153284672,0.2585034013605442
35,RFGSM,catDog,alexnet,30_70,bing,0.7759419083595276,0.06,0.4612676,0.635036496350365,0.29931972789115646
36,RFGSM,catDog,alexnet,30_70,bing,0.7700306177139282,0.07,0.47183096,0.635036496350365,0.3197278911564626
37,RFGSM,catDog,alexnet,30_70,bing,0.7665401101112366,0.08,0.4894366,0.6642335766423357,0.32653061224489793
38,RFGSM,catDog,alexnet,30_70,bing,0.7655876278877258,0.09,0.49647886,0.6642335766423357,0.3401360544217687
39,RFGSM,catDog,alexnet,30_70,bing,0.7654998302459717,0.1,0.49295774,0.6642335766423357,0.3333333333333333
40,RFGSM,catDog,alexnet,30_70,bing,0.7656194567680359,0.11,0.5,0.6642335766423357,0.3469387755102041
41,RFGSM,catDog,alexnet,30_70,bing,0.7656652927398682,0.12,0.5,0.6715328467153284,0.3401360544217687
42,RFGSM,catDog,alexnet,30_70,bing,0.7654337882995605,0.13,0.50352114,0.6642335766423357,0.35374149659863946
43,RFGSM,catDog,alexnet,30_70,bing,0.765598714351654,0.14,0.5,0.6642335766423357,0.3469387755102041
44,RFGSM,catDog,alexnet,30_70,bing,0.7655758261680603,0.15,0.49295774,0.6642335766423357,0.3333333333333333
45,RFGSM,catDog,alexnet,30_70,bing,0.7654277086257935,0.16,0.48591548,0.6423357664233577,0.3401360544217687
46,RFGSM,catDog,alexnet,30_70,bing,0.7654586434364319,0.17,0.5070422,0.6788321167883211,0.3469387755102041
47,RFGSM,catDog,alexnet,30_70,bing,0.7654495239257812,0.18,0.5105634,0.6861313868613139,0.3469387755102041
48,RFGSM,catDog,alexnet,30_70,bing,0.7652644515037537,0.19,0.49647886,0.6642335766423357,0.3401360544217687
49,RFGSM,catDog,alexnet,30_70,bing,0.7654373645782471,0.2,0.49295774,0.6496350364963503,0.3469387755102041
50,RFGSM,catDog,alexnet,30_70,bing,0.7656011581420898,0.21,0.49295774,0.656934306569343,0.3401360544217687
51,RFGSM,catDog,alexnet,30_70,bing,0.7656672596931458,0.22,0.5,0.6642335766423357,0.3469387755102041
52,RFGSM,catDog,alexnet,30_70,bing,0.7654591202735901,0.23,0.5,0.6642335766423357,0.3469387755102041
53,RFGSM,catDog,alexnet,30_70,bing,0.7655491828918457,0.24,0.4894366,0.6496350364963503,0.3401360544217687
54,RFGSM,catDog,alexnet,30_70,bing,0.7653890252113342,0.25,0.5,0.6715328467153284,0.3401360544217687
55,RFGSM,catDog,alexnet,30_70,bing,0.7656169533729553,0.26,0.49295774,0.656934306569343,0.3401360544217687
56,RFGSM,catDog,alexnet,30_70,bing,0.7654540538787842,0.27,0.5070422,0.6715328467153284,0.35374149659863946
57,RFGSM,catDog,alexnet,30_70,bing,0.7654940485954285,0.28,0.49647886,0.6642335766423357,0.3401360544217687
58,RFGSM,catDog,alexnet,30_70,bing,0.7655954360961914,0.29,0.49295774,0.6642335766423357,0.3333333333333333
59,RFGSM,catDog,alexnet,30_70,bing,0.765556275844574,0.3,0.5070422,0.6715328467153284,0.35374149659863946
60,RFGSM,catDog,alexnet,40_60,bing,0.9647989869117737,0.01,0.045454547,0.06382978723404255,0.027586206896551724
61,RFGSM,catDog,alexnet,40_60,bing,0.8902473449707031,0.02,0.19930069,0.2978723404255319,0.10344827586206896
62,RFGSM,catDog,alexnet,40_60,bing,0.8521590828895569,0.03,0.25524476,0.36879432624113473,0.14482758620689656
63,RFGSM,catDog,alexnet,40_60,bing,0.8046222925186157,0.04,0.46503496,0.6312056737588653,0.30344827586206896
64,RFGSM,catDog,alexnet,40_60,bing,0.7874414920806885,0.05,0.5174825,0.6879432624113475,0.35172413793103446
65,RFGSM,catDog,alexnet,40_60,bing,0.7688954472541809,0.06,0.5699301,0.75177304964539,0.3931034482758621
66,RFGSM,catDog,alexnet,40_60,bing,0.7622991800308228,0.07,0.6048951,0.7801418439716312,0.43448275862068964
67,RFGSM,catDog,alexnet,40_60,bing,0.7585014700889587,0.08,0.6153846,0.7801418439716312,0.45517241379310347
68,RFGSM,catDog,alexnet,40_60,bing,0.7576608061790466,0.09,0.62237763,0.7943262411347518,0.45517241379310347
69,RFGSM,catDog,alexnet,40_60,bing,0.757566511631012,0.1,0.6293706,0.8226950354609929,0.4413793103448276
70,RFGSM,catDog,alexnet,40_60,bing,0.7574589848518372,0.11,0.6293706,0.8014184397163121,0.46206896551724136
71,RFGSM,catDog,alexnet,40_60,bing,0.7574829459190369,0.12,0.6363636,0.8085106382978723,0.4689655172413793
72,RFGSM,catDog,alexnet,40_60,bing,0.7574183344841003,0.13,0.6258741,0.7943262411347518,0.46206896551724136
73,RFGSM,catDog,alexnet,40_60,bing,0.7574512958526611,0.14,0.6258741,0.7943262411347518,0.46206896551724136
74,RFGSM,catDog,alexnet,40_60,bing,0.7573542594909668,0.15,0.6293706,0.7943262411347518,0.4689655172413793
75,RFGSM,catDog,alexnet,40_60,bing,0.7574547529220581,0.16,0.6258741,0.7943262411347518,0.46206896551724136
76,RFGSM,catDog,alexnet,40_60,bing,0.7575368881225586,0.17,0.6293706,0.8014184397163121,0.46206896551724136
77,RFGSM,catDog,alexnet,40_60,bing,0.7574891448020935,0.18,0.6188811,0.7943262411347518,0.4482758620689655
78,RFGSM,catDog,alexnet,40_60,bing,0.7573023438453674,0.19,0.6293706,0.8014184397163121,0.46206896551724136
79,RFGSM,catDog,alexnet,40_60,bing,0.757405698299408,0.2,0.6188811,0.7872340425531915,0.45517241379310347
80,RFGSM,catDog,alexnet,40_60,bing,0.7575876712799072,0.21,0.6328671,0.8085106382978723,0.46206896551724136
81,RFGSM,catDog,alexnet,40_60,bing,0.7573034167289734,0.22,0.62237763,0.7943262411347518,0.45517241379310347
82,RFGSM,catDog,alexnet,40_60,bing,0.7576545476913452,0.23,0.6188811,0.7872340425531915,0.45517241379310347
83,RFGSM,catDog,alexnet,40_60,bing,0.7573433518409729,0.24,0.6293706,0.8085106382978723,0.45517241379310347
84,RFGSM,catDog,alexnet,40_60,bing,0.7574638724327087,0.25,0.6293706,0.8085106382978723,0.45517241379310347
85,RFGSM,catDog,alexnet,40_60,bing,0.7574542760848999,0.26,0.6258741,0.8014184397163121,0.45517241379310347
86,RFGSM,catDog,alexnet,40_60,bing,0.7575222253799438,0.27,0.63986015,0.8156028368794326,0.4689655172413793
87,RFGSM,catDog,alexnet,40_60,bing,0.7573738694190979,0.28,0.62237763,0.7872340425531915,0.46206896551724136
88,RFGSM,catDog,alexnet,40_60,bing,0.7575420141220093,0.29,0.6328671,0.8085106382978723,0.46206896551724136
89,RFGSM,catDog,alexnet,40_60,bing,0.7573320865631104,0.3,0.6258741,0.8014184397163121,0.45517241379310347
90,RFGSM,catDog,alexnet,50_50,bing,0.9646283388137817,0.01,0.024647888,0.04316546762589928,0.006896551724137931
91,RFGSM,catDog,alexnet,50_50,bing,0.8923962116241455,0.02,0.17253521,0.2517985611510791,0.09655172413793103
92,RFGSM,catDog,alexnet,50_50,bing,0.8554618954658508,0.03,0.23239437,0.37410071942446044,0.09655172413793103
93,RFGSM,catDog,alexnet,50_50,bing,0.8097786903381348,0.04,0.34507042,0.5179856115107914,0.1793103448275862
94,RFGSM,catDog,alexnet,50_50,bing,0.7932580709457397,0.05,0.41901407,0.60431654676259,0.2413793103448276
95,RFGSM,catDog,alexnet,50_50,bing,0.77630215883255,0.06,0.4753521,0.6618705035971223,0.296551724137931
96,RFGSM,catDog,alexnet,50_50,bing,0.7704300880432129,0.07,0.49647886,0.6762589928057554,0.32413793103448274
97,RFGSM,catDog,alexnet,50_50,bing,0.7675199508666992,0.08,0.5176056,0.6906474820143885,0.35172413793103446
98,RFGSM,catDog,alexnet,50_50,bing,0.7664595246315002,0.09,0.528169,0.7050359712230215,0.3586206896551724
99,RFGSM,catDog,alexnet,50_50,bing,0.7663946747779846,0.1,0.5140845,0.6906474820143885,0.3448275862068966
100,RFGSM,catDog,alexnet,50_50,bing,0.7665758728981018,0.11,0.52112675,0.6834532374100719,0.36551724137931035
101,RFGSM,catDog,alexnet,50_50,bing,0.7660909295082092,0.12,0.5246479,0.697841726618705,0.3586206896551724
102,RFGSM,catDog,alexnet,50_50,bing,0.7663811445236206,0.13,0.5070422,0.6834532374100719,0.33793103448275863
103,RFGSM,catDog,alexnet,50_50,bing,0.7663179636001587,0.14,0.5105634,0.6762589928057554,0.35172413793103446
104,RFGSM,catDog,alexnet,50_50,bing,0.7662262916564941,0.15,0.528169,0.697841726618705,0.36551724137931035
105,RFGSM,catDog,alexnet,50_50,bing,0.7662362456321716,0.16,0.528169,0.697841726618705,0.36551724137931035
106,RFGSM,catDog,alexnet,50_50,bing,0.7664428353309631,0.17,0.52112675,0.6762589928057554,0.3724137931034483
107,RFGSM,catDog,alexnet,50_50,bing,0.7664564251899719,0.18,0.528169,0.6906474820143885,0.3724137931034483
108,RFGSM,catDog,alexnet,50_50,bing,0.7663965821266174,0.19,0.5246479,0.697841726618705,0.3586206896551724
109,RFGSM,catDog,alexnet,50_50,bing,0.7664626836776733,0.2,0.5140845,0.6834532374100719,0.35172413793103446
110,RFGSM,catDog,alexnet,50_50,bing,0.7663996815681458,0.21,0.528169,0.697841726618705,0.36551724137931035
111,RFGSM,catDog,alexnet,50_50,bing,0.7665124535560608,0.22,0.5246479,0.697841726618705,0.3586206896551724
112,RFGSM,catDog,alexnet,50_50,bing,0.7663516998291016,0.23,0.5140845,0.6690647482014388,0.36551724137931035
113,RFGSM,catDog,alexnet,50_50,bing,0.7662139534950256,0.24,0.528169,0.6906474820143885,0.3724137931034483
114,RFGSM,catDog,alexnet,50_50,bing,0.7663390636444092,0.25,0.52112675,0.6834532374100719,0.36551724137931035
115,RFGSM,catDog,alexnet,50_50,bing,0.766417920589447,0.26,0.5176056,0.6906474820143885,0.35172413793103446
116,RFGSM,catDog,alexnet,50_50,bing,0.7665853500366211,0.27,0.5176056,0.6834532374100719,0.3586206896551724
117,RFGSM,catDog,alexnet,50_50,bing,0.7664580345153809,0.28,0.5246479,0.6906474820143885,0.36551724137931035
118,RFGSM,catDog,alexnet,50_50,bing,0.7663775682449341,0.29,0.5246479,0.6834532374100719,0.3724137931034483
119,RFGSM,catDog,alexnet,50_50,bing,0.7664717435836792,0.3,0.5246479,0.6906474820143885,0.36551724137931035
120,RFGSM,catDog,resnet,20_80,bing,0.9719217419624329,0.01,0.013888889,0.02158273381294964,0.006711409395973154
121,RFGSM,catDog,resnet,20_80,bing,0.9189244508743286,0.02,0.06944445,0.1079136690647482,0.03355704697986577
122,RFGSM,catDog,resnet,20_80,bing,0.8906686902046204,0.03,0.114583336,0.17266187050359713,0.06040268456375839
123,RFGSM,catDog,resnet,20_80,bing,0.8572219014167786,0.04,0.19791667,0.2733812949640288,0.12751677852348994
124,RFGSM,catDog,resnet,20_80,bing,0.8464722633361816,0.05,0.20833333,0.2949640287769784,0.12751677852348994
125,RFGSM,catDog,resnet,20_80,bing,0.8377007842063904,0.06,0.23611112,0.3381294964028777,0.14093959731543623
126,RFGSM,catDog,resnet,20_80,bing,0.8354970812797546,0.07,0.25,0.37410071942446044,0.1342281879194631
127,RFGSM,catDog,resnet,20_80,bing,0.8345360159873962,0.08,0.25,0.37410071942446044,0.1342281879194631
128,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.09,0.25347224,0.381294964028777,0.1342281879194631
129,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.1,0.25347224,0.381294964028777,0.1342281879194631
130,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.11,0.25347224,0.381294964028777,0.1342281879194631
131,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.12,0.25347224,0.381294964028777,0.1342281879194631
132,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.13,0.25347224,0.381294964028777,0.1342281879194631
133,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.14,0.25347224,0.381294964028777,0.1342281879194631
134,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.15,0.25347224,0.381294964028777,0.1342281879194631
135,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.16,0.25347224,0.381294964028777,0.1342281879194631
136,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.17,0.25347224,0.381294964028777,0.1342281879194631
137,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.18,0.25347224,0.381294964028777,0.1342281879194631
138,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.19,0.25347224,0.381294964028777,0.1342281879194631
139,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.2,0.25347224,0.381294964028777,0.1342281879194631
140,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.21,0.25347224,0.381294964028777,0.1342281879194631
141,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.22,0.25347224,0.381294964028777,0.1342281879194631
142,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.23,0.25347224,0.381294964028777,0.1342281879194631
143,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.24,0.25347224,0.381294964028777,0.1342281879194631
144,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.25,0.25347224,0.381294964028777,0.1342281879194631
145,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.26,0.25347224,0.381294964028777,0.1342281879194631
146,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.27,0.25347224,0.381294964028777,0.1342281879194631
147,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.28,0.25347224,0.381294964028777,0.1342281879194631
148,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.29,0.25347224,0.381294964028777,0.1342281879194631
149,RFGSM,catDog,resnet,20_80,bing,0.8343523144721985,0.3,0.25347224,0.381294964028777,0.1342281879194631
150,RFGSM,catDog,resnet,30_70,bing,0.9722247123718262,0.01,0.0034965035,0.007246376811594203,0.0
151,RFGSM,catDog,resnet,30_70,bing,0.919991672039032,0.02,0.062937066,0.10144927536231885,0.02702702702702703
152,RFGSM,catDog,resnet,30_70,bing,0.8918702006340027,0.03,0.1013986,0.15217391304347827,0.05405405405405406
153,RFGSM,catDog,resnet,30_70,bing,0.8587157726287842,0.04,0.16783217,0.26811594202898553,0.07432432432432433
154,RFGSM,catDog,resnet,30_70,bing,0.8481367826461792,0.05,0.16783217,0.26811594202898553,0.07432432432432433
155,RFGSM,catDog,resnet,30_70,bing,0.8395292162895203,0.06,0.18881118,0.2971014492753623,0.08783783783783784
156,RFGSM,catDog,resnet,30_70,bing,0.8373363614082336,0.07,0.22027972,0.3333333333333333,0.11486486486486487
157,RFGSM,catDog,resnet,30_70,bing,0.8364466428756714,0.08,0.2027972,0.3188405797101449,0.0945945945945946
158,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.09,0.2027972,0.3188405797101449,0.0945945945945946
159,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.1,0.2027972,0.3188405797101449,0.0945945945945946
160,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.11,0.2027972,0.3188405797101449,0.0945945945945946
161,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.12,0.2027972,0.3188405797101449,0.0945945945945946
162,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.13,0.2027972,0.3188405797101449,0.0945945945945946
163,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.14,0.2027972,0.3188405797101449,0.0945945945945946
164,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.15,0.2027972,0.3188405797101449,0.0945945945945946
165,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.16,0.2027972,0.3188405797101449,0.0945945945945946
166,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.17,0.2027972,0.3188405797101449,0.0945945945945946
167,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.18,0.2027972,0.3188405797101449,0.0945945945945946
168,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.19,0.2027972,0.3188405797101449,0.0945945945945946
169,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.2,0.2027972,0.3188405797101449,0.0945945945945946
170,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.21,0.2027972,0.3188405797101449,0.0945945945945946
171,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.22,0.2027972,0.3188405797101449,0.0945945945945946
172,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.23,0.2027972,0.3188405797101449,0.0945945945945946
173,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.24,0.2027972,0.3188405797101449,0.0945945945945946
174,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.25,0.2027972,0.3188405797101449,0.0945945945945946
175,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.26,0.2027972,0.3188405797101449,0.0945945945945946
176,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.27,0.2027972,0.3188405797101449,0.0945945945945946
177,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.28,0.2027972,0.3188405797101449,0.0945945945945946
178,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.29,0.2027972,0.3188405797101449,0.0945945945945946
179,RFGSM,catDog,resnet,30_70,bing,0.8362844586372375,0.3,0.2027972,0.3188405797101449,0.0945945945945946
180,RFGSM,catDog,resnet,40_60,bing,0.9729448556900024,0.01,0.010380623,0.013986013986013986,0.00684931506849315
181,RFGSM,catDog,resnet,40_60,bing,0.9210165143013,0.02,0.0449827,0.06293706293706294,0.0273972602739726
182,RFGSM,catDog,resnet,40_60,bing,0.8930216431617737,0.03,0.08304498,0.1048951048951049,0.06164383561643835
183,RFGSM,catDog,resnet,40_60,bing,0.8598234057426453,0.04,0.14532873,0.1958041958041958,0.0958904109589041
184,RFGSM,catDog,resnet,40_60,bing,0.849158525466919,0.05,0.1764706,0.2517482517482518,0.10273972602739725
185,RFGSM,catDog,resnet,40_60,bing,0.8404335379600525,0.06,0.19723184,0.27972027972027974,0.11643835616438356
186,RFGSM,catDog,resnet,40_60,bing,0.8382619619369507,0.07,0.20415226,0.2937062937062937,0.11643835616438356
187,RFGSM,catDog,resnet,40_60,bing,0.8373606204986572,0.08,0.20069204,0.2867132867132867,0.11643835616438356
188,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.09,0.20415226,0.2937062937062937,0.11643835616438356
189,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.1,0.20415226,0.2937062937062937,0.11643835616438356
190,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.11,0.20415226,0.2937062937062937,0.11643835616438356
191,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.12,0.20415226,0.2937062937062937,0.11643835616438356
192,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.13,0.20415226,0.2937062937062937,0.11643835616438356
193,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.14,0.20415226,0.2937062937062937,0.11643835616438356
194,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.15,0.20415226,0.2937062937062937,0.11643835616438356
195,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.16,0.20415226,0.2937062937062937,0.11643835616438356
196,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.17,0.20415226,0.2937062937062937,0.11643835616438356
197,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.18,0.20415226,0.2937062937062937,0.11643835616438356
198,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.19,0.20415226,0.2937062937062937,0.11643835616438356
199,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.2,0.20415226,0.2937062937062937,0.11643835616438356
200,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.21,0.20415226,0.2937062937062937,0.11643835616438356
201,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.22,0.20415226,0.2937062937062937,0.11643835616438356
202,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.23,0.20415226,0.2937062937062937,0.11643835616438356
203,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.24,0.20415226,0.2937062937062937,0.11643835616438356
204,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.25,0.20415226,0.2937062937062937,0.11643835616438356
205,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.26,0.20415226,0.2937062937062937,0.11643835616438356
206,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.27,0.20415226,0.2937062937062937,0.11643835616438356
207,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.28,0.20415226,0.2937062937062937,0.11643835616438356
208,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.29,0.20415226,0.2937062937062937,0.11643835616438356
209,RFGSM,catDog,resnet,40_60,bing,0.837177574634552,0.3,0.20415226,0.2937062937062937,0.11643835616438356
