,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,RandomBlackBox,catDog,alexnet,20_80,bing,0.995845377445221,10,0.014652015,0.026666667,0.0
1,RandomBlackBox,catDog,alexnet,20_80,bing,0.9902396202087402,20,0.032967035,0.060000002,0.0
2,RandomBlackBox,catDog,alexnet,20_80,bing,0.98226398229599,30,0.010989011,0.02,0.0
3,RandomBlackBox,catDog,alexnet,20_80,bing,0.9713726043701172,40,0.032967035,0.060000002,0.0
4,RandomBlackBox,catDog,alexnet,20_80,bing,0.9584656953811646,50,0.032967035,0.046666667,0.016393442
5,RandomBlackBox,catDog,alexnet,20_80,bing,0.9430248141288757,60,0.051282052,0.07333334,0.024590163
6,RandomBlackBox,catDog,alexnet,20_80,bing,0.9251211881637573,70,0.04029304,0.053333335,0.024590163
7,RandomBlackBox,catDog,alexnet,20_80,bing,0.9050287008285522,80,0.06593407,0.086666666,0.040983602
8,RandomBlackBox,catDog,alexnet,20_80,bing,0.8819251656532288,90,0.07326008,0.060000002,0.09016393
9,RandomBlackBox,catDog,alexnet,20_80,bing,0.8563492298126221,100,0.08058608,0.06666667,0.09836065
10,RandomBlackBox,catDog,alexnet,20_80,bing,0.8283400535583496,110,0.0989011,0.08,0.122950815
11,RandomBlackBox,catDog,alexnet,20_80,bing,0.7987481951713562,120,0.12820514,0.10666667,0.14754097
12,RandomBlackBox,catDog,alexnet,20_80,bing,0.7658044695854187,130,0.16483517,0.11333334,0.22131146
13,RandomBlackBox,catDog,alexnet,20_80,bing,0.7303391098976135,140,0.2014652,0.120000005,0.30327868
14,RandomBlackBox,catDog,alexnet,20_80,bing,0.6921427249908447,150,0.21245421,0.1,0.34426227
15,RandomBlackBox,catDog,alexnet,20_80,bing,0.6525737047195435,160,0.24542125,0.12666667,0.3852459
16,RandomBlackBox,catDog,alexnet,20_80,bing,0.6090703010559082,170,0.31501833,0.12666667,0.54098356
17,RandomBlackBox,catDog,alexnet,20_80,bing,0.5644221901893616,180,0.37728938,0.11333334,0.69672126
18,RandomBlackBox,catDog,alexnet,20_80,bing,0.5157010555267334,190,0.45054945,0.14666668,0.8196721
19,RandomBlackBox,catDog,alexnet,20_80,bing,0.46734216809272766,200,0.4981685,0.16666667,0.9016393
20,RandomBlackBox,catDog,alexnet,30_70,bing,0.9959239959716797,10,0.0071174377,0.013333334,0.0
21,RandomBlackBox,catDog,alexnet,30_70,bing,0.9901666045188904,20,0.017793594,0.026666667,0.0076923077
22,RandomBlackBox,catDog,alexnet,30_70,bing,0.9821871519088745,30,0.021352313,0.026666667,0.015384615
23,RandomBlackBox,catDog,alexnet,30_70,bing,0.9717878103256226,40,0.021352313,0.026666667,0.015384615
