,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,SaltPepper,catDog,alexnet,20_80,bing,0.6381165981292725,0.005,0.10989011,0.19333334,0.008196721
1,SaltPepper,catDog,alexnet,20_80,bing,0.5824728012084961,0.01,0.13553114,0.24666667,0.0
2,SaltPepper,catDog,alexnet,20_80,bing,0.5427675843238831,0.015,0.13919415,0.24666667,0.008196721
3,SaltPepper,catDog,alexnet,20_80,bing,0.5124561190605164,0.02,0.15750916,0.28,0.008196721
4,SaltPepper,catDog,alexnet,20_80,bing,0.48868149518966675,0.025,0.17582418,0.31333333,0.008196721
5,SaltPepper,catDog,alexnet,20_80,bing,0.4687972962856293,0.03,0.2014652,0.36,0.008196721
6,SaltPepper,catDog,alexnet,20_80,bing,0.45185986161231995,0.035,0.1941392,0.35333335,0.0
7,SaltPepper,catDog,alexnet,20_80,bing,0.43713849782943726,0.04,0.20512821,0.36666667,0.008196721
8,SaltPepper,catDog,alexnet,20_80,bing,0.42381909489631653,0.045,0.20512821,0.36666667,0.008196721
9,SaltPepper,catDog,alexnet,20_80,bing,0.4122578203678131,0.05,0.23076923,0.40666667,0.016393442
10,SaltPepper,catDog,alexnet,20_80,bing,0.4016200006008148,0.055,0.22710623,0.4,0.016393442
11,SaltPepper,catDog,alexnet,20_80,bing,0.39170733094215393,0.06,0.24175824,0.42000002,0.024590163
12,SaltPepper,catDog,alexnet,20_80,bing,0.38257458806037903,0.065,0.26007327,0.46,0.016393442
13,SaltPepper,catDog,alexnet,20_80,bing,0.37396883964538574,0.07,0.24175824,0.43333334,0.008196721
14,SaltPepper,catDog,alexnet,20_80,bing,0.36572548747062683,0.075,0.26373628,0.46666667,0.016393442
15,SaltPepper,catDog,alexnet,20_80,bing,0.3583776652812958,0.08,0.26007327,0.46666667,0.008196721
16,SaltPepper,catDog,alexnet,20_80,bing,0.3510722219944,0.085,0.2747253,0.48666668,0.016393442
17,SaltPepper,catDog,alexnet,20_80,bing,0.34430184960365295,0.09,0.26373628,0.47333336,0.008196721
18,SaltPepper,catDog,alexnet,20_80,bing,0.33767053484916687,0.095,0.2783883,0.5,0.008196721
19,SaltPepper,catDog,alexnet,20_80,bing,0.3315030634403229,0.1,0.27106228,0.48000002,0.016393442
20,SaltPepper,catDog,alexnet,30_70,bing,0.6381165981292725,0.005,0.06049822,0.10666667,0.0076923077
21,SaltPepper,catDog,alexnet,30_70,bing,0.5824728012084961,0.01,0.07829181,0.13333334,0.015384615
22,SaltPepper,catDog,alexnet,30_70,bing,0.5427675843238831,0.015,0.099644125,0.18,0.0076923077
23,SaltPepper,catDog,alexnet,30_70,bing,0.5124561190605164,0.02,0.12099644,0.21333334,0.015384615
24,SaltPepper,catDog,alexnet,30_70,bing,0.48868149518966675,0.025,0.11743772,0.20666668,0.015384615
25,SaltPepper,catDog,alexnet,30_70,bing,0.4687972962856293,0.03,0.12811388,0.23333333,0.0076923077
26,SaltPepper,catDog,alexnet,30_70,bing,0.45185986161231995,0.035,0.16014235,0.29333335,0.0076923077
