,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,Sharpen,catDog,alexnet,20_80,bing,0.942510187625885,1,0.01831502,0.026666667,0.008196721
1,Sharpen,catDog,alexnet,30_70,bing,0.942510187625885,1,0.010676157,0.02,0.0
2,Sharpen,catDog,alexnet,40_60,bing,0.942510187625885,1,0.01754386,0.026666667,0.0074626864
3,Sharpen,catDog,alexnet,50_50,bing,0.942510187625885,1,0.01048951,0.013333334,0.0074074073
4,Sharpen,catDog,resnet,20_80,bing,0.942510187625885,1,0.0068965517,0.013333334,0.0
5,Sharpen,catDog,resnet,30_70,bing,0.942510187625885,1,0.0,0.0,0.0
6,Sharpen,catDog,resnet,40_60,bing,0.942510187625885,1,0.0069204154,0.013333334,0.0
7,Sharpen,catDog,resnet,50_50,bing,0.942510187625885,1,0.010344828,0.013333334,0.007194245
8,Sharpen,catDog,vgg,20_80,bing,0.942510187625885,1,0.0,0.0,0.0
9,Sharpen,catDog,vgg,30_70,bing,0.942510187625885,1,0.006968641,0.006666667,0.007352941
10,Sharpen,catDog,vgg,40_60,bing,0.942510187625885,1,0.0068259384,0.013333334,0.0
11,Sharpen,catDog,vgg,50_50,bing,0.942510187625885,1,0.0,0.0,0.0
12,Sharpen,catDog,alexnet,20_80,google,0.9540894031524658,1,0.0,0.0,0.0
13,Sharpen,catDog,alexnet,30_70,google,0.9540894031524658,1,0.01048951,0.0,0.02222222
14,Sharpen,catDog,alexnet,40_60,google,0.9540894031524658,1,0.010638298,0.006666667,0.015267176
15,Sharpen,catDog,alexnet,50_50,google,0.9540894031524658,1,0.0035971224,0.0,0.007874016
16,Sharpen,catDog,resnet,20_80,google,0.9540894031524658,1,0.0,0.0,0.0
17,Sharpen,catDog,resnet,30_70,google,0.9540894031524658,1,0.0,0.0,0.0
18,Sharpen,catDog,resnet,40_60,google,0.9540894031524658,1,0.0,0.0,0.0
19,Sharpen,catDog,resnet,50_50,google,0.9540894031524658,1,0.0,0.0,0.0
20,Sharpen,catDog,vgg,20_80,google,0.9540894031524658,1,0.0,0.0,0.0
21,Sharpen,catDog,vgg,30_70,google,0.9540894031524658,1,0.0,0.0,0.0
22,Sharpen,catDog,vgg,40_60,google,0.9540894031524658,1,0.0,0.0,0.0
23,Sharpen,catDog,vgg,50_50,google,0.9540894031524658,1,0.0,0.0,0.0
