,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,SplitMergeRGB,catDog,alexnet,20_80,bing,0.7488912343978882,1,0.06593407,0.046666667,0.09016393
1,SplitMergeRGB,catDog,alexnet,30_70,bing,0.7488912343978882,1,0.07473309,0.026666667,0.13076924
2,SplitMergeRGB,catDog,alexnet,40_60,bing,0.7488912343978882,1,0.073684216,0.006666667,0.14925373
3,SplitMergeRGB,catDog,alexnet,50_50,bing,0.7488912343978882,1,0.06993007,0.033333335,0.11111111
4,SplitMergeRGB,catDog,resnet,20_80,bing,0.7488912343978882,1,0.020689655,0.033333335,0.007194245
5,SplitMergeRGB,catDog,resnet,30_70,bing,0.7488912343978882,1,0.017482517,0.02,0.014814815
6,SplitMergeRGB,catDog,resnet,40_60,bing,0.7488912343978882,1,0.013840831,0.013333334,0.014492754
7,SplitMergeRGB,catDog,resnet,50_50,bing,0.7488912343978882,1,0.013793103,0.006666667,0.021582734
8,SplitMergeRGB,catDog,vgg,20_80,bing,0.7488912343978882,1,0.027777778,0.033333335,0.02189781
9,SplitMergeRGB,catDog,vgg,30_70,bing,0.7488912343978882,1,0.024390245,0.026666667,0.022058824
10,SplitMergeRGB,catDog,vgg,40_60,bing,0.7488912343978882,1,0.020477815,0.006666667,0.035211265
11,SplitMergeRGB,catDog,vgg,50_50,bing,0.7488912343978882,1,0.023972603,0.0,0.049645387
12,SplitMergeRGB,catDog,alexnet,20_80,google,0.7899189591407776,1,0.064748205,0.026666667,0.11023622
13,SplitMergeRGB,catDog,alexnet,30_70,google,0.7899189591407776,1,0.1048951,0.026666667,0.18518518
14,SplitMergeRGB,catDog,alexnet,40_60,google,0.7899189591407776,1,0.10638297,0.02,0.20610687
15,SplitMergeRGB,catDog,alexnet,50_50,google,0.7899189591407776,1,0.1438849,0.013333334,0.2992126
16,SplitMergeRGB,catDog,resnet,20_80,google,0.7899189591407776,1,0.013888889,0.02,0.00729927
17,SplitMergeRGB,catDog,resnet,30_70,google,0.7899189591407776,1,0.010344828,0.0,0.021582734
18,SplitMergeRGB,catDog,resnet,40_60,google,0.7899189591407776,1,0.034246575,0.02,0.049645387
19,SplitMergeRGB,catDog,resnet,50_50,google,0.7899189591407776,1,0.034013607,0.0,0.06993007
20,SplitMergeRGB,catDog,vgg,20_80,google,0.7899189591407776,1,0.01369863,0.013333334,0.014184397
21,SplitMergeRGB,catDog,vgg,30_70,google,0.7899189591407776,1,0.013605442,0.006666667,0.02097902
22,SplitMergeRGB,catDog,vgg,40_60,google,0.7899189591407776,1,0.020270271,0.006666667,0.03448276
23,SplitMergeRGB,catDog,vgg,50_50,google,0.7899189591407776,1,0.040540542,0.006666667,0.075862065
