,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,Square,catDog,alexnet,20_80,bing,0.5784189701080322,0.1,0.2783883,0.6129032258064516,0.0
1,Square,catDog,alexnet,20_80,bing,0.3746371269226074,0.2,0.45421246,0.9919354838709677,0.006711409395973154
2,Square,catDog,alexnet,20_80,bing,0.2636817991733551,0.3,0.45421246,0.9919354838709677,0.006711409395973154
3,Square,catDog,alexnet,30_70,bing,0.599776029586792,0.1,0.21708184,0.45185185185185184,0.0
4,Square,catDog,alexnet,30_70,bing,0.42034411430358887,0.2,0.40569395,0.8222222222222222,0.02054794520547945
5,Square,catDog,alexnet,30_70,bing,0.32695940136909485,0.3,0.4733096,0.9629629629629629,0.02054794520547945
6,Square,catDog,alexnet,40_60,bing,0.61766117811203,0.1,0.31929824,0.6293706293706294,0.007042253521126761
7,Square,catDog,alexnet,40_60,bing,0.44055551290512085,0.2,0.4877193,0.965034965034965,0.007042253521126761
8,Square,catDog,alexnet,40_60,bing,0.3446865975856781,0.3,0.5157895,1.0,0.028169014084507043
9,Square,catDog,alexnet,50_50,bing,0.5989236831665039,0.1,0.17132866,0.3404255319148936,0.006896551724137931
10,Square,catDog,alexnet,50_50,bing,0.4142224192619324,0.2,0.43706292,0.6595744680851063,0.2206896551724138
11,Square,catDog,alexnet,50_50,bing,0.30904102325439453,0.3,0.45454544,0.6950354609929078,0.2206896551724138
12,Square,catDog,resnet,20_80,bing,0.5444245338439941,0.1,0.15517241,0.3120567375886525,0.006711409395973154
13,Square,catDog,resnet,20_80,bing,0.31725916266441345,0.2,0.3413793,0.7021276595744681,0.0
14,Square,catDog,resnet,20_80,bing,0.19826431572437286,0.3,0.42413792,0.851063829787234,0.020134228187919462
15,Square,catDog,resnet,30_70,bing,0.524077832698822,0.1,0.11188811,0.17391304347826086,0.05405405405405406
16,Square,catDog,resnet,30_70,bing,0.29560813307762146,0.2,0.26573426,0.35507246376811596,0.18243243243243243
17,Square,catDog,resnet,30_70,bing,0.1657533198595047,0.3,0.3251748,0.4492753623188406,0.20945945945945946
18,Square,catDog,resnet,40_60,bing,0.5721714496612549,0.1,0.17301038,0.32867132867132864,0.02054794520547945
19,Square,catDog,resnet,40_60,bing,0.3620419204235077,0.2,0.46366784,0.8531468531468531,0.0821917808219178
20,Square,catDog,resnet,40_60,bing,0.24389269948005676,0.3,0.51211077,0.9440559440559441,0.08904109589041095
21,Square,catDog,resnet,50_50,bing,0.545921802520752,0.1,0.07931034,0.1111111111111111,0.04794520547945205
22,Square,catDog,resnet,50_50,bing,0.330594927072525,0.2,0.29310346,0.3541666666666667,0.2328767123287671
23,Square,catDog,resnet,50_50,bing,0.21233496069908142,0.3,0.36206895,0.4861111111111111,0.23972602739726026
24,Square,catDog,vgg,20_80,bing,0.5189550518989563,0.1,0.1701389,0.32857142857142857,0.02027027027027027
